batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.676882,211.9677,0.0122,nan,2.06
500,0.451009,48.2956,0.0127,49.8686,1.84
1000,0.397813,38.3972,0.0163,37.0330,1.85
1500,0.343513,38.1518,0.0227,29.8734,1.88
2000,0.328638,28.8640,0.0302,32.0457,1.87
2500,0.308926,25.8163,0.0373,37.7936,1.98
3000,0.289529,21.2055,0.0443,22.6970,1.97
3500,0.273181,16.1545,0.0512,15.9179,1.99
4000,0.264876,16.0206,0.0596,29.0474,1.99
4500,0.260198,14.9792,0.0659,17.9504,1.91
5000,0.256203,14.1767,0.0724,17.8549,1.96
5500,0.245637,11.2861,0.0789,14.6925,1.90
6000,0.248160,15.7698,0.0855,24.7608,1.88
6500,0.244270,15.7431,0.0912,20.7134,1.96
7000,0.234336,6.3701,0.0973,12.5506,1.89
7500,0.233442,8.4409,0.1035,17.2864,1.88
8000,0.233442,7.1762,0.1086,25.6640,1.99
8500,0.231760,11.2511,0.1149,18.4885,1.90
9000,0.229868,4.8007,0.1198,10.3106,1.98
9500,0.231129,4.3844,0.1246,13.7911,1.88
10000,0.231444,7.1631,0.1302,15.4988,1.96
10500,0.220090,4.5470,0.1348,13.5546,1.87
11000,0.227344,3.1440,0.1398,11.1270,1.98
11500,0.230078,5.0843,0.1441,12.6091,2.00
12000,0.228974,3.4971,0.1488,10.0949,1.88
12500,0.226714,13.4217,0.1538,22.1053,1.97
13000,0.219617,4.0711,0.1575,11.2660,1.87
13500,0.226398,8.1089,0.1615,19.0442,1.89
14000,0.217830,2.7184,0.1653,10.3014,1.99
14500,0.224558,1.6158,0.1685,6.6183,1.90
15000,0.223507,1.7295,0.1726,6.6640,1.87
15500,0.216937,3.8536,0.1761,11.1515,1.98
16000,0.218303,2.0189,0.1800,6.7736,1.98
16500,0.218776,1.0100,0.1824,5.6485,1.98
17000,0.215938,1.3307,0.1856,6.2384,1.93
17500,0.217988,1.7384,0.1875,11.4288,1.90
18000,0.218461,3.2415,0.1903,13.5404,1.97
18500,0.225084,3.2168,0.1939,10.5351,1.96
19000,0.216779,3.0893,0.1979,11.6146,1.99
19500,0.218513,1.5636,0.1987,7.9824,1.89
20000,0.214939,1.4107,0.2011,6.0174,1.97
20500,0.217672,1.3800,0.2034,6.4633,1.88
21000,0.214519,1.8728,0.2056,7.8944,1.99
21500,0.214256,1.7690,0.2067,7.9126,2.00
22000,0.209367,5.3745,0.2124,15.5657,1.92
22500,0.213730,5.1700,0.2136,19.2159,1.90
23000,0.210313,6.9218,0.2160,16.1473,1.91
