batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.645132,211.4702,0.0122,nan,2.06
500,0.481444,50.5137,0.0124,70.3289,1.96
1000,0.376997,44.7202,0.0141,55.5010,1.84
1500,0.324853,21.6619,0.0171,27.0406,1.94
2000,0.308558,27.3454,0.0204,40.9063,1.94
2500,0.289003,26.2375,0.0237,36.0225,1.95
3000,0.273181,19.1724,0.0271,29.5939,1.92
3500,0.269449,18.6032,0.0304,26.0859,1.96
4000,0.255677,9.4821,0.0338,26.4290,1.87
4500,0.251840,12.7102,0.0366,23.2302,1.98
5000,0.249001,9.4807,0.0395,21.0393,1.96
5500,0.243324,9.6291,0.0428,21.1618,1.96
6000,0.242693,6.6628,0.0460,17.8137,1.85
6500,0.242063,9.5810,0.0486,54.1082,1.86
7000,0.232548,9.5858,0.0512,26.4915,1.96
7500,0.236070,3.9596,0.0537,15.6368,1.87
8000,0.231970,4.5323,0.0562,17.3087,1.97
8500,0.230078,4.0456,0.0590,15.9081,1.96
9000,0.233127,5.0077,0.0616,17.6566,1.87
9500,0.238804,18.9769,0.0635,29.4667,1.99
10000,0.232496,6.2865,0.0657,19.0148,1.91
10500,0.222508,3.4783,0.0688,19.9252,1.98
11000,0.231392,4.4419,0.0708,30.1032,1.89
11500,0.230341,8.2489,0.0727,22.2912,1.87
12000,0.226398,2.3767,0.0748,13.7863,1.85
12500,0.229815,2.2919,0.0773,19.7917,1.88
13000,0.232075,5.2170,0.0790,17.6396,1.88
13500,0.226661,11.1459,0.0811,32.8609,1.87
14000,0.222456,1.6498,0.0827,9.7135,1.97
14500,0.222561,1.4929,0.0848,9.0057,1.97
15000,0.220774,4.4844,0.0870,17.4862,1.94
15500,0.222719,1.2880,0.0887,8.7632,1.97
16000,0.225084,6.0637,0.0903,21.0081,1.97
16500,0.220669,1.4447,0.0923,14.4039,1.97
17000,0.220090,4.9145,0.0938,18.3323,1.88
17500,0.221510,0.7142,0.0953,6.4484,1.88
18000,0.221457,2.9024,0.0973,12.9882,1.88
18500,0.218356,1.9179,0.0988,11.6131,1.88
19000,0.218671,2.1267,0.0998,12.0340,1.97
19500,0.219670,5.1765,0.1017,21.2856,1.97
20000,0.215885,1.7417,0.1023,10.8320,1.88
20500,0.217725,1.5291,0.1045,10.1242,1.87
21000,0.220616,0.5975,0.1050,6.9630,1.89
21500,0.223244,1.5677,0.1062,10.8917,1.89
22000,0.213467,3.4624,0.1081,17.0619,1.96
22500,0.214361,7.0697,0.1094,39.4619,1.91
23000,0.215360,2.2810,0.1094,13.7469,1.89
23500,0.216411,2.2624,0.1107,14.5249,1.96
24000,0.217672,0.8306,0.1116,8.9235,1.94
