batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.701482,352.1333,0.0122,nan,1.96
500,0.443072,50.7444,0.0127,62.0876,1.89
1000,0.384725,34.7000,0.0164,38.9193,1.91
1500,0.346247,30.3076,0.0228,44.5028,1.86
2000,0.318072,22.8588,0.0297,32.4950,1.94
2500,0.296362,28.2887,0.0368,34.5216,1.93
3000,0.276072,19.7553,0.0449,21.4238,1.86
3500,0.267977,12.3311,0.0520,18.5700,1.89
4000,0.270606,14.2896,0.0593,16.8825,1.97
4500,0.259094,10.5370,0.0658,17.6468,1.88
5000,0.256991,12.0819,0.0732,20.5017,1.92
5500,0.246005,9.7001,0.0801,17.6451,1.98
6000,0.243377,8.3748,0.0864,13.3197,1.97
6500,0.243850,22.1659,0.0936,24.4133,2.08
7000,0.234966,4.7159,0.0985,10.7114,1.98
7500,0.238015,8.9563,0.1033,20.6406,1.88
8000,0.236754,17.3169,0.1099,19.1363,1.99
8500,0.233915,5.6393,0.1152,12.9151,1.94
9000,0.232811,24.1373,0.1205,27.1330,1.88
9500,0.232023,4.0304,0.1258,21.7586,1.91
10000,0.227817,4.4689,0.1310,12.6961,1.91
10500,0.230603,5.0024,0.1355,12.3928,1.87
11000,0.223087,10.8822,0.1418,17.5526,1.89
11500,0.223770,6.3034,0.1447,16.5915,1.86
12000,0.225032,5.9548,0.1495,14.7750,1.88
12500,0.228659,2.5046,0.1527,9.5345,1.88
13000,0.222403,3.4413,0.1572,13.0404,1.87
13500,0.221405,4.4022,0.1605,14.3095,1.86
14000,0.219460,2.4701,0.1643,8.3560,1.97
14500,0.216621,1.6562,0.1674,8.4636,1.91
15000,0.225767,4.6744,0.1726,13.9959,1.88
15500,0.221089,2.2963,0.1733,9.0302,1.87
16000,0.216674,1.6506,0.1782,7.6940,1.88
16500,0.214571,4.6418,0.1817,12.8377,2.00
17000,0.217410,1.6470,0.1847,8.9908,1.94
17500,0.221142,1.6666,0.1860,7.5905,1.98
18000,0.215622,1.1057,0.1890,6.0886,1.89
18500,0.211680,1.4103,0.1911,8.9509,1.88
19000,0.213677,1.3950,0.1930,7.6556,1.93
19500,0.214834,0.8392,0.1952,5.2686,1.99
20000,0.212836,0.8836,0.1967,5.4552,1.87
20500,0.215517,2.9573,0.2003,11.2104,1.99
21000,0.217094,4.9077,0.2042,12.3930,1.98
21500,0.213152,7.8634,0.2047,12.9280,1.98
22000,0.214308,1.0370,0.2056,10.9577,1.99
22500,0.211785,0.6881,0.2069,5.1728,1.97
23000,0.216095,1.6459,0.2070,10.8648,1.90
23500,0.208579,3.8372,0.2124,12.5134,1.96
24000,0.212889,0.7650,0.2107,8.4347,1.99
24500,0.211838,1.2503,0.2150,6.4873,1.99
25000,0.211943,0.5240,0.2108,4.1867,1.99
25500,0.207843,3.7020,0.2172,12.8569,1.98
26000,0.210208,1.4139,0.2159,6.5547,2.00
26500,0.213677,0.5857,0.2161,4.7699,1.99
27000,0.211890,0.7044,0.2157,6.6435,1.87
27500,0.210734,2.5912,0.2186,12.3586,1.89
28000,0.208789,1.4612,0.2198,6.5040,1.94
28500,0.216516,0.2439,0.2182,4.1602,1.88
29000,0.208684,0.6814,0.2203,6.7568,1.87
29500,0.206423,1.1207,0.2196,6.3268,1.91
30000,0.205162,0.8532,0.2216,7.0030,1.88
30500,0.208053,2.4703,0.2264,9.1069,2.00
31000,0.215517,3.6498,0.2234,14.0192,1.88
31500,0.205004,3.0671,0.2238,12.0118,1.87
32000,0.203007,0.7518,0.2217,6.1957,1.99
32500,0.210208,0.6887,0.2246,6.4323,1.88
33000,0.207054,0.0804,0.2223,1.1278,1.89
33500,0.204479,0.4545,0.2251,4.2705,1.90
34000,0.205477,0.9897,0.2252,7.7114,1.88
34500,0.203164,0.4903,0.2242,5.0649,1.89
35000,0.206529,0.8378,0.2238,15.5066,1.99
35500,0.207685,0.8142,0.2274,6.7736,1.88
36000,0.202954,0.1141,0.2227,2.1971,1.88
36500,0.206318,0.8668,0.2255,5.4616,1.89
37000,0.203532,0.6885,0.2238,5.7907,1.88
37500,0.200746,0.2266,0.2273,3.7115,1.88
38000,0.200221,0.1980,0.2224,2.6895,1.88
38500,0.205793,0.4622,0.2224,5.2990,1.87
39000,0.202008,0.6809,0.2236,4.8791,2.00
39500,0.205950,1.0897,0.2251,7.8251,1.99
40000,0.206161,0.3215,0.2216,3.0916,1.98
40500,0.208000,0.3310,0.2214,4.5969,1.89
41000,0.203059,0.6362,0.2285,6.9466,1.95
41500,0.200168,0.3090,0.2219,4.2414,1.89
42000,0.200221,0.7614,0.2279,5.9888,1.88
42500,0.198276,0.2758,0.2276,3.1836,2.00
43000,0.202323,0.2932,0.2248,2.9738,1.87
43500,0.199643,0.2122,0.2184,3.2986,1.90
44000,0.195700,0.9382,0.2207,7.1812,1.88
44500,0.199958,0.2623,0.2187,3.1851,1.98
45000,0.200957,0.5918,0.2234,6.3121,1.90
45500,0.199485,0.1906,0.2180,3.3293,1.88
46000,0.199643,0.4426,0.2210,5.1462,1.89
46500,0.198854,0.6533,0.2202,5.7869,2.00
47000,0.196331,0.5057,0.2181,3.7281,1.99
47500,0.200641,0.1885,0.2177,3.2774,1.87
48000,0.199748,0.2748,0.2184,4.2633,1.93
48500,0.198644,0.4286,0.2154,4.2844,1.98
49000,0.200168,0.9246,0.2244,8.5003,1.88
49500,0.197803,0.5741,0.2147,9.3086,1.88
50000,0.197014,0.1742,0.2142,3.1065,1.87
50500,0.195805,0.7722,0.2140,6.7906,1.95
51000,0.193230,0.5505,0.2168,4.6607,1.88
51500,0.194912,0.0829,0.2159,1.6666,1.89
52000,0.198066,0.0680,0.2138,2.0151,1.88
52500,0.193755,0.0647,0.2133,1.4865,1.88
53000,0.194701,0.0697,0.2127,1.5978,1.90
53500,0.194491,0.0257,0.2122,0.9817,1.90
54000,0.195910,0.5199,0.2138,4.1723,2.01
54500,0.195805,0.1900,0.2113,2.2989,1.95
55000,0.194018,0.0959,0.2094,2.1155,1.89
55500,0.193703,0.0618,0.2090,1.8980,1.89
56000,0.196121,0.3713,0.2111,4.5160,2.00
56500,0.196016,0.1657,0.2094,3.6109,1.88
57000,0.196331,0.2283,0.2077,3.6120,1.94
57500,0.194964,0.1628,0.2088,5.7429,2.02
58000,0.196436,0.5058,0.2069,8.8221,1.99
58500,0.196384,0.0811,0.2079,2.7221,1.90
59000,0.196068,0.0416,0.2071,2.3957,1.99
59500,0.195700,0.4679,0.2084,5.0737,2.01
60000,0.193440,0.0191,0.2039,0.8587,1.92
60500,0.191600,0.0051,0.2058,0.1402,1.90
61000,0.193124,0.2968,0.2055,6.3086,1.98
61500,0.193703,0.4178,0.2058,4.4364,2.01
