batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.758042,188.1375,0.0115,nan,2.10
500,0.456476,52.1260,0.0119,57.9394,1.90
1000,0.380677,37.8828,0.0144,35.8331,2.00
1500,0.355814,29.4894,0.0195,27.3813,1.94
2000,0.329426,26.9026,0.0252,35.1559,1.88
2500,0.317126,59.5556,0.0310,37.1297,1.90
3000,0.302407,34.8806,0.0369,23.2278,2.00
3500,0.285849,21.4358,0.0431,24.4077,1.91
4000,0.278753,13.2023,0.0490,19.4053,1.91
4500,0.273234,20.7578,0.0546,29.4448,2.00
5000,0.259514,14.8458,0.0601,20.7316,1.89
5500,0.258410,8.1270,0.0644,10.8019,1.90
6000,0.251630,20.6868,0.0701,22.2748,1.90
6500,0.238278,6.4190,0.0760,10.2730,2.00
7000,0.242536,37.4975,0.0792,28.2005,1.91
7500,0.242063,7.7450,0.0849,14.5191,1.98
8000,0.242168,5.9275,0.0889,13.2142,1.91
8500,0.235913,9.2537,0.0936,25.1626,1.91
9000,0.232706,5.0669,0.0976,12.6444,1.91
9500,0.234336,8.9173,0.1014,14.5116,1.91
10000,0.234914,5.1195,0.1052,11.5124,1.91
10500,0.228028,19.9143,0.1101,19.7790,1.90
11000,0.229289,10.3093,0.1132,15.6814,1.95
11500,0.231077,5.0677,0.1155,10.9684,1.89
12000,0.227607,3.1898,0.1208,9.0827,1.97
12500,0.226135,3.2648,0.1236,9.5048,2.00
13000,0.220721,5.6807,0.1272,12.4309,2.01
13500,0.223297,5.9794,0.1294,13.7635,2.00
14000,0.225715,2.0063,0.1324,7.8063,1.93
14500,0.229552,6.4932,0.1366,12.3128,1.97
15000,0.226871,2.4726,0.1394,9.2486,1.93
15500,0.221299,3.4997,0.1421,10.0820,1.92
16000,0.222246,4.2264,0.1447,18.7380,1.95
16500,0.220563,2.3006,0.1476,7.5512,1.92
17000,0.222614,3.9673,0.1489,11.5212,2.01
17500,0.222298,3.6176,0.1527,10.5560,1.93
18000,0.213415,1.6435,0.1539,8.5906,1.93
18500,0.219985,2.5849,0.1568,16.8267,1.90
19000,0.214361,3.6076,0.1594,10.2168,1.93
19500,0.213625,5.3126,0.1602,12.5746,1.93
20000,0.214676,1.5842,0.1622,9.2184,1.94
20500,0.215833,3.4795,0.1649,11.7006,1.96
21000,0.219985,1.4574,0.1666,7.1078,1.93
21500,0.217988,1.0870,0.1687,6.1174,1.93
22000,0.215675,1.3551,0.1702,7.1596,2.02
22500,0.217304,1.8427,0.1713,11.4243,1.93
23000,0.220563,0.9991,0.1714,23.5139,1.94
23500,0.220984,1.6886,0.1746,12.8070,1.93
24000,0.221878,2.3861,0.1758,8.1110,1.91
24500,0.225084,0.2747,0.1765,2.6915,1.96
25000,0.212574,1.2170,0.1767,7.5936,1.93
25500,0.214624,1.0723,0.1786,5.5566,1.98
26000,0.218198,1.3656,0.1796,6.5987,2.03
26500,0.214519,1.1145,0.1793,7.0373,2.03
27000,0.216621,1.4112,0.1795,6.3075,2.02
27500,0.212311,0.6570,0.1829,5.1159,2.02
28000,0.213625,3.3583,0.1871,21.5276,1.94
28500,0.209735,2.2860,0.1830,7.6625,1.93
29000,0.211785,0.4298,0.1854,7.2464,2.02
29500,0.220038,4.2566,0.1856,12.4814,1.91
30000,0.212574,1.6107,0.1849,6.4617,2.03
30500,0.211943,1.6320,0.1892,7.4042,1.92
31000,0.212311,1.4645,0.1859,6.1037,2.02
31500,0.211049,1.6890,0.1848,7.3984,2.01
32000,0.211627,0.4662,0.1878,4.9657,1.91
32500,0.207948,1.6683,0.1889,8.4658,2.00
33000,0.212363,1.0899,0.1895,6.2102,1.94
33500,0.211680,1.7284,0.1897,8.3397,1.93
34000,0.214781,2.2817,0.1888,9.3393,2.03
34500,0.211259,1.4716,0.1931,10.0581,2.01
