batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.709577,222.4265,0.0122,nan,2.14
500,0.469617,58.1789,0.0142,52.6612,1.95
1000,0.458316,49.4772,0.0295,25.4118,1.87
1500,0.377103,31.2447,0.0584,16.2899,1.85
2000,0.356865,26.7092,0.0900,12.3009,1.86
2500,0.332948,22.7632,0.1205,15.8614,1.84
3000,0.321226,25.7708,0.1506,13.1182,1.85
3500,0.306770,64.2650,0.1802,20.8874,1.85
4000,0.297046,20.2640,0.2100,9.1015,1.85
4500,0.306245,16.9468,0.2433,15.2984,1.86
5000,0.283221,11.8501,0.2721,8.5648,1.96
5500,0.278280,18.1441,0.2969,9.5945,1.94
6000,0.278228,29.9114,0.3210,20.2602,1.85
6500,0.274285,13.3063,0.3458,8.4808,1.87
7000,0.262405,13.4310,0.3809,16.6728,1.86
7500,0.270763,15.4686,0.3970,32.1125,1.87
8000,0.272866,24.3635,0.4201,26.2817,1.87
8500,0.260513,16.6808,0.4437,12.7615,1.92
9000,0.260040,14.3153,0.4676,10.0269,1.87
9500,0.260566,34.6839,0.4927,30.3510,1.86
10000,0.262195,11.0854,0.5115,33.4183,1.86
10500,0.250736,13.1259,0.5274,11.2579,1.95
11000,0.251735,11.3131,0.5498,10.2574,1.87
11500,0.250999,8.3808,0.5691,17.3482,1.96
12000,0.250631,10.2829,0.5862,10.0383,1.85
12500,0.254468,14.7132,0.6057,12.1665,1.86
13000,0.251051,9.5763,0.6179,10.8463,1.96
13500,0.271131,9.5195,0.6368,29.2076,1.95
14000,0.241958,8.6112,0.6533,21.5759,1.95
14500,0.240643,6.2086,0.6674,6.6860,1.86
15000,0.252944,8.9635,0.6827,8.4321,1.95
15500,0.245427,4.2904,0.6945,6.4804,1.94
16000,0.240643,8.7558,0.7105,8.0812,1.87
16500,0.247635,7.7691,0.7227,14.7334,1.89
17000,0.246215,5.2236,0.7340,7.1146,1.87
17500,0.227765,4.7855,0.7472,6.8270,1.95
18000,0.234020,29.2135,0.7649,15.0686,1.88
18500,0.244270,13.3862,0.7758,17.6734,1.87
19000,0.233547,9.7336,0.7861,13.0871,1.96
19500,0.235229,6.4977,0.7796,8.7613,1.95
20000,0.235807,4.2384,0.7883,7.0843,1.96
20500,0.244796,6.3312,0.8058,8.4798,1.87
21000,0.232391,14.0508,0.8261,20.2608,1.88
21500,0.233495,3.5662,0.8225,6.3458,1.87
22000,0.227660,3.5863,0.8170,12.2359,1.97
22500,0.226346,4.5978,0.8348,27.2088,1.88
23000,0.221562,5.0166,0.8487,8.3555,1.85
23500,0.230971,6.1334,0.8503,7.7179,1.88
24000,0.229657,4.7733,0.8559,34.2631,1.95
24500,0.241958,1.8719,0.8637,9.7504,1.95
25000,0.219933,3.2397,0.8683,6.4466,1.88
25500,0.225452,6.4439,0.8888,8.3832,1.96
26000,0.224926,6.2642,0.8930,8.3360,1.88
26500,0.232128,4.1368,0.8752,10.2400,1.88
27000,0.223980,1.2353,0.8790,5.1258,1.87
27500,0.228816,17.6238,0.9110,15.5065,1.95
28000,0.237332,2.7385,0.8694,11.5112,1.97
28500,0.221510,2.9915,0.8841,5.7340,1.87
29000,0.227765,5.9317,0.9153,7.3414,1.87
29500,0.225925,6.8229,0.8963,10.5494,1.91
30000,0.227187,2.2934,0.8870,5.0360,1.96
30500,0.230130,2.0418,0.8945,4.5533,1.87
31000,0.215675,2.3430,0.8933,5.2408,1.96
31500,0.218251,2.5092,0.8940,5.6555,1.87
32000,0.224453,1.9687,0.8953,4.2324,1.91
32500,0.223875,1.8118,0.9122,4.5472,1.91
33000,0.224296,2.5688,0.8933,6.1927,1.97
33500,0.213257,3.3837,0.9009,6.8096,1.98
34000,0.212574,8.9967,0.9413,12.5914,1.91
34500,0.221037,2.7134,0.8985,6.5833,1.96
35000,0.220196,0.8710,0.9040,3.3134,1.89
35500,0.215728,1.7502,0.8993,4.9422,1.88
36000,0.218146,1.4754,0.9044,8.5231,1.97
36500,0.220196,1.5812,0.8866,5.0112,1.97
37000,0.224664,3.8862,0.9277,6.9026,1.86
37500,0.213415,4.7823,0.9282,8.0368,1.94
38000,0.216989,1.2976,0.8887,3.7993,1.96
38500,0.213572,3.0168,0.8870,5.0290,1.97
