batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.667525,201.5186,0.0122,inf,1.94
500,0.500578,53.0242,0.0123,61.5258,1.93
1000,0.374895,73.9566,0.0131,73.8880,1.85
1500,0.311817,22.2605,0.0144,42.1883,1.86
2000,0.290948,31.9234,0.0158,48.1565,1.96
2500,0.268135,16.5028,0.0172,38.7330,1.97
3000,0.262721,12.7908,0.0185,34.9713,1.86
3500,0.262616,12.4266,0.0200,37.2683,1.88
4000,0.250788,9.4919,0.0213,32.6651,1.87
4500,0.250105,6.3870,0.0226,26.5157,1.98
5000,0.248370,6.3086,0.0240,28.6983,1.95
5500,0.244165,15.5250,0.0252,42.4608,1.99
6000,0.242273,23.0095,0.0264,51.7239,1.88
6500,0.245111,8.4256,0.0277,33.9774,1.89
7000,0.239066,2.8780,0.0289,18.7014,1.88
7500,0.233389,6.1659,0.0301,30.7949,1.88
8000,0.237857,3.2408,0.0314,19.9208,1.90
8500,0.232916,13.6166,0.0323,42.4908,1.89
9000,0.234598,2.0610,0.0336,15.9451,1.89
9500,0.229868,1.7403,0.0348,15.7020,2.01
10000,0.232338,2.2833,0.0359,20.0005,2.01
10500,0.236280,1.8308,0.0369,18.9276,1.89
11000,0.233652,2.3167,0.0380,18.2687,1.92
11500,0.232759,9.5882,0.0388,38.2571,1.87
12000,0.232811,9.5689,0.0398,36.7819,1.99
12500,0.235492,1.9691,0.0409,17.8644,1.99
13000,0.233232,2.8505,0.0419,22.6945,1.89
13500,0.231550,1.7295,0.0430,15.8134,1.97
14000,0.232443,2.4582,0.0437,22.9123,1.89
14500,0.235019,0.5104,0.0447,9.9895,1.98
15000,0.227712,1.8480,0.0457,18.1741,1.87
15500,0.228448,0.8329,0.0466,10.9404,1.99
16000,0.229079,1.7791,0.0475,18.5631,1.98
16500,0.229394,1.3494,0.0482,19.3180,1.87
17000,0.227187,0.7699,0.0491,11.7118,2.00
17500,0.229920,0.8816,0.0501,11.4282,1.89
18000,0.233021,1.0730,0.0510,14.9636,1.92
18500,0.228816,0.5153,0.0517,8.9129,1.90
19000,0.227029,1.1058,0.0522,12.1583,1.87
19500,0.225242,1.0844,0.0532,12.9995,1.98
20000,0.224874,4.5949,0.0536,26.7494,1.99
20500,0.223139,0.8405,0.0545,15.8357,1.89
21000,0.222824,2.8517,0.0551,19.5318,1.98
21500,0.221142,0.7394,0.0560,9.9666,1.99
22000,0.226819,0.4536,0.0567,8.1789,1.90
22500,0.226608,2.1487,0.0570,18.3068,2.00
23000,0.223034,1.7083,0.0576,17.2801,1.89
