batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.670206,160.9566,0.0075,nan,1.44
500,0.481918,45.8563,0.0083,34.9727,1.36
1000,0.411743,88.4353,0.0129,39.1648,1.35
1500,0.346983,34.2220,0.0214,19.1148,1.32
2000,0.321804,30.6191,0.0303,20.8949,1.35
2500,0.307927,27.2827,0.0402,16.1800,1.36
3000,0.292105,21.6551,0.0503,18.6194,1.32
3500,0.289214,16.9050,0.0602,15.6227,1.36
4000,0.275810,15.3091,0.0705,12.9786,1.31
4500,0.281013,16.6990,0.0800,13.1737,1.33
5000,0.279331,17.1001,0.0894,14.0113,1.34
5500,0.275021,13.8915,0.0997,13.3387,1.35
6000,0.269765,19.6782,0.1091,12.1959,1.42
6500,0.264035,11.2135,0.1198,12.2787,1.32
7000,0.268135,15.2425,0.1293,12.7532,1.33
7500,0.257464,43.3272,0.1357,19.0103,1.36
8000,0.260460,12.1110,0.1466,12.5759,1.34
8500,0.255887,13.8880,0.1553,13.0657,1.33
9000,0.256203,13.3513,0.1631,15.8135,1.37
9500,0.259041,11.2528,0.1722,11.0135,1.39
10000,0.255257,19.7466,0.1803,14.7503,1.34
10500,0.250473,9.6494,0.1885,8.7773,1.37
11000,0.253417,22.3054,0.1958,14.8755,1.33
11500,0.253312,8.4968,0.2037,12.7014,1.34
12000,0.248633,9.7076,0.2117,9.9218,1.37
12500,0.250526,36.5864,0.2167,19.7226,1.33
13000,0.249159,11.0141,0.2257,16.6732,1.38
13500,0.251314,20.7438,0.2331,13.2413,1.35
14000,0.245427,9.8538,0.2405,8.8566,1.36
14500,0.243272,17.3155,0.2471,16.0149,1.37
15000,0.248108,9.9451,0.2539,10.8935,1.35
15500,0.247161,19.3721,0.2606,12.9862,1.35
16000,0.248108,7.9963,0.2663,9.9860,1.36
16500,0.244481,8.4880,0.2714,10.2661,1.37
17000,0.246478,7.8278,0.2784,10.4745,1.35
17500,0.242220,9.2573,0.2839,8.9892,1.36
18000,0.243745,6.8796,0.2895,10.8264,1.38
18500,0.239434,8.0125,0.2966,11.0032,1.36
19000,0.249001,8.4399,0.3032,9.1659,1.34
19500,0.242063,7.5359,0.3060,8.2500,1.34
20000,0.242378,7.3008,0.3133,9.6062,1.36
20500,0.239750,6.6070,0.3162,9.0881,1.33
21000,0.245217,5.7076,0.3205,7.1793,1.36
21500,0.241064,6.7374,0.3263,8.6441,1.37
22000,0.241800,9.7149,0.3321,10.6235,1.34
22500,0.242010,14.5171,0.3366,12.6737,1.37
23000,0.241800,26.0047,0.3391,20.1624,1.39
23500,0.240854,6.3222,0.3422,10.1420,1.38
24000,0.234178,4.2353,0.3477,9.2886,1.37
24500,0.236596,7.4746,0.3502,8.4066,1.34
25000,0.238646,8.2198,0.3535,9.4833,1.36
25500,0.237647,7.3636,0.3570,8.5769,1.37
26000,0.233179,21.5215,0.3631,15.3632,1.36
26500,0.235282,8.8067,0.3644,9.9997,1.38
27000,0.239697,25.2677,0.3681,14.7776,1.37
27500,0.232969,22.7931,0.3737,13.6401,1.37
28000,0.237489,4.4867,0.3743,12.4531,1.34
28500,0.232601,6.6157,0.3761,10.4599,1.36
29000,0.236228,8.9691,0.3822,10.0954,1.36
29500,0.238961,7.9223,0.3856,9.2878,1.38
