batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,0.887037,185.8762,0.1087,64.2951,0.92
50,0.999947,88.4982,0.1088,30.4347,0.82
100,0.892399,146.2247,0.1089,86.3876,0.81
150,0.712626,82.3555,0.1091,39.3361,0.82
200,0.593093,59.4936,0.1094,29.1626,0.82
250,0.525021,57.1102,0.1096,33.9548,0.83
300,0.486438,46.7647,0.1099,29.1778,0.84
350,0.463204,46.3405,0.1103,28.1670,0.82
400,0.441968,45.1544,0.1106,32.0341,0.83
450,0.419050,36.8082,0.1110,28.1888,0.85
500,0.409956,39.1504,0.1113,32.6110,0.81
550,0.394291,56.4318,0.1116,45.1675,0.85
600,0.390086,39.4588,0.1120,31.2082,0.82
650,0.369638,43.8533,0.1124,35.5777,0.85
700,0.361018,31.8665,0.1128,32.0259,0.82
750,0.347508,30.0331,0.1132,29.6261,0.82
800,0.342515,84.6108,0.1136,85.0396,0.81
850,0.337942,29.3672,0.1140,32.6225,0.89
900,0.326535,32.5098,0.1144,33.6367,0.82
950,0.316495,30.1040,0.1149,34.4798,0.83
1000,0.312447,27.6369,0.1153,32.1073,0.81
1050,0.312027,28.7406,0.1157,34.9661,0.84
1100,0.310187,31.8336,0.1162,36.1170,0.81
1150,0.300936,26.9975,0.1166,33.0701,0.84
1200,0.293787,24.0396,0.1170,32.8373,0.84
1250,0.295995,30.1551,0.1176,37.0379,0.81
1300,0.291842,26.0510,0.1180,34.0838,0.82
1350,0.286638,73.6988,0.1184,65.3978,0.81
1400,0.282328,24.3281,0.1189,34.7867,0.82
1450,0.284746,27.3533,0.1194,39.0137,0.84
1500,0.280225,33.4805,0.1199,37.8756,0.83
1550,0.276598,24.1483,0.1205,36.9925,0.83
1600,0.277334,20.0164,0.1209,36.5627,0.83
1650,0.270553,25.8778,0.1214,34.4825,0.82
1700,0.266295,17.7358,0.1219,28.0973,0.84
1750,0.264403,21.2597,0.1224,31.9720,0.83
1800,0.258253,19.5324,0.1229,30.7450,0.82
1850,0.260671,19.5853,0.1234,32.4276,0.86
1900,0.257727,17.6428,0.1240,29.1068,0.82
1950,0.257832,18.4163,0.1244,29.0170,0.81
2000,0.259567,21.0612,0.1249,35.1788,0.81
2050,0.257201,19.0866,0.1254,34.3137,0.83
2100,0.254310,32.5961,0.1259,44.8398,0.82
2150,0.249685,16.9385,0.1264,29.2312,0.84
2200,0.248423,29.9505,0.1269,39.0173,0.83
2250,0.248318,18.6760,0.1274,33.1000,0.84
2300,0.243902,17.1651,0.1279,37.7116,0.87
2350,0.245006,21.6414,0.1283,33.2086,0.82
2400,0.244901,16.6711,0.1288,33.8049,0.81
2450,0.244901,27.7591,0.1293,40.8139,0.81
2500,0.238804,18.0544,0.1298,34.5538,0.80
2550,0.241169,24.3087,0.1302,36.5781,0.81
2600,0.242273,13.1999,0.1307,28.0420,0.86
2650,0.236228,12.8712,0.1312,29.6950,0.82
2700,0.235387,17.6532,0.1317,31.2053,0.83
2750,0.232180,13.1276,0.1321,27.6805,0.83
2800,0.234230,13.5289,0.1326,27.6233,0.82
2850,0.232391,51.2215,0.1329,62.6142,0.86
2900,0.231918,14.6209,0.1335,30.9128,0.82
2950,0.231760,15.0672,0.1339,28.9636,0.84
3000,0.230709,10.3653,0.1343,24.8717,0.81
3050,0.229342,10.6894,0.1348,23.7063,0.84
3100,0.223192,13.7064,0.1351,32.5482,0.82
3150,0.226188,12.5003,0.1356,33.8933,0.83
3200,0.224033,10.7467,0.1360,27.6786,0.82
3250,0.227082,13.0287,0.1364,30.1722,0.82
3300,0.223665,11.2218,0.1369,33.1507,0.83
3350,0.223823,46.0853,0.1371,57.0416,0.86
3400,0.224506,10.2667,0.1376,24.2945,0.82
3450,0.225189,9.4877,0.1380,27.7363,0.83
3500,0.225084,15.6667,0.1384,32.5563,0.82
3550,0.222298,12.6448,0.1388,33.7292,0.83
3600,0.221142,12.5363,0.1392,30.6036,0.82
3650,0.223297,13.8564,0.1395,47.5858,0.85
3700,0.223560,9.2940,0.1400,28.3053,0.82
3750,0.220196,9.8568,0.1403,42.2088,0.83
3800,0.219828,11.5002,0.1406,30.9225,0.83
3850,0.216937,8.5472,0.1410,28.3256,0.82
3900,0.219565,11.4223,0.1413,32.1771,0.84
3950,0.216884,12.2631,0.1417,30.3999,0.83
4000,0.214045,10.9777,0.1420,36.7387,0.84
4050,0.217567,10.9660,0.1424,31.3072,0.83
4100,0.217672,8.5053,0.1427,26.0717,0.83
4150,0.217620,10.0925,0.1430,29.3838,0.86
4200,0.216148,10.5674,0.1433,28.3483,0.83
4250,0.213520,9.9768,0.1437,31.3161,0.83
4300,0.215728,7.3403,0.1440,23.2481,0.82
4350,0.216937,9.3144,0.1443,26.6485,0.83
4400,0.209683,7.5928,0.1447,25.2544,0.82
4450,0.211995,7.9085,0.1450,26.4519,0.84
4500,0.212784,6.7392,0.1452,22.1236,0.82
4550,0.212731,8.0355,0.1455,41.2308,0.83
