batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.674306,200.0290,0.0122,inf,1.55
500,0.596983,59.8479,0.0124,54.5315,1.53
1000,0.543314,55.3410,0.0137,36.5620,1.50
1500,0.504258,49.8588,0.0155,29.0926,1.53
2000,0.480341,42.4518,0.0172,24.2540,1.54
2500,0.449064,38.3725,0.0189,20.7556,1.46
3000,0.437027,32.2896,0.0206,19.7771,1.53
3500,0.419786,34.7272,0.0222,20.4217,1.53
4000,0.416842,28.0134,0.0240,18.4047,1.54
4500,0.409640,28.3976,0.0257,18.7591,1.54
5000,0.409903,32.0628,0.0275,21.1758,1.55
5500,0.405540,33.7446,0.0291,21.5419,1.49
6000,0.400231,56.0252,0.0305,26.5753,1.56
6500,0.405856,22.9625,0.0323,19.3030,1.50
7000,0.402754,25.3726,0.0341,19.0586,1.56
7500,0.391926,59.2323,0.0352,26.1458,1.55
8000,0.394712,22.0042,0.0373,18.3919,1.55
8500,0.394502,19.1548,0.0388,17.7708,1.49
9000,0.392925,26.0874,0.0407,20.1819,1.48
9500,0.387931,19.4636,0.0423,17.2451,1.54
10000,0.386144,16.4057,0.0442,16.2059,1.50
10500,0.382832,16.8140,0.0454,18.3834,1.54
11000,0.382307,17.0351,0.0472,16.6977,1.56
11500,0.382990,23.2355,0.0483,19.1438,1.49
12000,0.378890,29.2847,0.0500,19.8179,1.49
12500,0.374579,21.2299,0.0520,18.6441,1.56
13000,0.373476,20.9150,0.0535,18.7853,1.49
13500,0.377576,13.8742,0.0553,15.8001,1.47
14000,0.377050,16.5002,0.0566,17.0455,1.49
14500,0.374579,41.0280,0.0576,24.5262,1.54
15000,0.369954,15.2829,0.0599,16.2626,1.56
15500,0.375526,13.9622,0.0612,15.9298,1.55
16000,0.370479,15.6335,0.0634,17.0063,1.50
16500,0.370006,14.5083,0.0651,15.7800,1.49
17000,0.364172,9.7543,0.0666,13.1108,1.48
17500,0.370690,19.9972,0.0678,20.2079,1.53
18000,0.367799,11.0038,0.0698,14.3348,1.55
18500,0.360650,10.0675,0.0711,13.4109,1.49
19000,0.362279,10.7941,0.0732,14.1141,1.55
19500,0.362279,10.3858,0.0748,14.5230,1.51
20000,0.366011,13.3817,0.0762,16.4101,1.55
20500,0.357286,22.8345,0.0774,20.9265,1.50
21000,0.351293,14.3009,0.0797,16.6936,1.49
21500,0.353711,37.8464,0.0799,22.6880,1.48
22000,0.356865,10.6360,0.0834,15.5258,1.52
22500,0.357811,8.0684,0.0850,12.5366,1.51
23000,0.360334,10.5601,0.0861,14.2674,1.48
23500,0.352344,34.4812,0.0868,24.5061,1.48
24000,0.356497,31.4825,0.0884,26.5274,1.56
24500,0.343934,9.0482,0.0904,13.5624,1.49
