batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.687237,246.6683,0.0122,225.2572,1.92
500,0.805509,159.6837,0.0122,104.8649,1.80
1000,0.671993,68.6579,0.0122,68.2629,1.24
1500,0.637300,56.7435,0.0122,60.1087,1.21
2000,0.608127,57.3911,0.0122,59.9208,1.33
2500,0.590675,72.4338,0.0122,66.6106,1.26
3000,0.579952,62.9311,0.0122,60.7554,1.25
3500,0.568598,54.1610,0.0122,56.7677,1.25
4000,0.558715,58.9364,0.0122,53.0644,1.24
4500,0.546468,50.5236,0.0122,51.4674,1.24
5000,0.543577,54.6928,0.0122,52.8328,1.82
5500,0.536848,57.2344,0.0122,53.6589,1.49
6000,0.536323,69.3527,0.0122,56.1777,1.81
6500,0.534430,64.2917,0.0122,53.5859,1.83
7000,0.524075,56.7409,0.0122,50.8989,1.26
7500,0.523444,44.4936,0.0122,44.9889,1.48
8000,0.516768,51.1395,0.0122,45.8178,1.27
8500,0.512668,52.8475,0.0122,48.2240,1.27
9000,0.506833,50.2169,0.0122,44.0439,1.26
9500,0.509146,53.5577,0.0122,44.8885,1.30
10000,0.505835,40.8815,0.0122,40.1750,1.28
10500,0.503101,51.0568,0.0122,45.8176,1.26
11000,0.507937,43.4795,0.0122,40.4149,1.28
11500,0.499527,46.9821,0.0122,43.6402,1.33
12000,0.495637,42.8458,0.0122,39.6336,1.84
12500,0.496110,39.1997,0.0122,39.1936,1.28
13000,0.494113,45.1726,0.0122,40.7585,1.29
13500,0.494691,97.9392,0.0122,62.6953,1.29
14000,0.493114,96.8842,0.0122,56.9810,1.27
14500,0.492746,44.0649,0.0122,41.9023,1.85
15000,0.491011,89.4607,0.0122,56.5154,1.80
15500,0.487174,53.7887,0.0122,48.3881,1.87
16000,0.488698,93.2000,0.0122,58.7778,1.80
16000,0.487489,44.4402,0.0122,39.9143,2.12
16500,0.486964,49.9514,0.0122,42.6379,1.24
17000,0.484756,88.4020,0.0122,57.5853,1.25
17500,0.479868,43.3304,0.0122,41.2849,1.25
18000,0.478553,44.8001,0.0122,42.1093,1.27
18500,0.476924,44.4322,0.0122,41.9383,1.24
19000,0.473560,45.3739,0.0122,42.1939,1.27
19500,0.473717,38.5766,0.0122,38.3661,1.24
20000,0.469933,37.3055,0.0122,39.9049,1.32
20500,0.467935,40.0272,0.0122,40.1915,1.25
21000,0.468146,88.7395,0.0122,58.0563,1.25
21500,0.469197,87.9255,0.0122,60.8013,1.27
22000,0.462363,45.3242,0.0122,43.1884,1.29
22500,0.462311,43.0033,0.0121,43.4691,1.26
23000,0.463415,38.5308,0.0121,39.5898,1.31
23500,0.464361,38.5753,0.0121,39.4564,1.31
24000,0.454268,39.2292,0.0121,39.4667,1.27
24500,0.459052,38.7645,0.0121,39.9835,1.28
25000,0.455372,59.0761,0.0121,48.0116,1.28
25500,0.454899,37.4121,0.0121,40.4165,1.26
26000,0.452166,39.4611,0.0121,44.0324,1.26
