batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.680614,231.5236,0.0075,202.0303,2.04
500,0.612542,62.9442,0.0076,55.1054,1.33
1000,0.542578,102.2027,0.0079,47.5093,1.34
1500,0.508621,47.8899,0.0086,27.8597,1.44
2000,0.480761,38.0056,0.0091,25.0889,1.32
2500,0.457212,51.6040,0.0096,31.0355,1.34
3000,0.439550,45.0454,0.0099,29.4514,1.31
3500,0.433347,45.8835,0.0103,29.4417,1.33
4000,0.412216,32.7770,0.0106,26.2019,1.35
4500,0.412216,40.1972,0.0109,29.2412,1.37
5000,0.409535,29.5575,0.0113,26.1463,1.33
5500,0.401230,30.4714,0.0116,27.5448,1.30
6000,0.395343,74.0051,0.0118,38.2622,1.36
6500,0.399075,28.4584,0.0122,26.1506,1.34
7000,0.395711,26.4355,0.0125,24.0172,1.36
7500,0.393766,32.7449,0.0128,28.2704,1.36
8000,0.391716,29.5671,0.0131,28.7292,1.34
8500,0.387721,33.3003,0.0133,29.8832,1.34
9000,0.387405,21.2202,0.0136,24.3472,1.36
9500,0.386249,28.3116,0.0139,27.3981,1.36
10000,0.383200,22.3019,0.0141,24.3085,1.42
10500,0.384830,23.2961,0.0144,26.4044,1.41
11000,0.379678,20.8922,0.0147,25.2838,1.41
11500,0.379889,56.1278,0.0147,38.3382,1.36
12000,0.378364,18.5082,0.0150,23.6611,1.34
12500,0.376577,18.6508,0.0153,24.9980,1.36
13000,0.376840,19.6826,0.0155,25.9903,1.34
13500,0.376997,19.6404,0.0156,24.3625,1.31
14000,0.376997,20.2811,0.0158,24.8014,1.35
14500,0.375053,56.7068,0.0158,36.9774,1.37
15000,0.373108,21.2823,0.0161,26.6953,1.34
15500,0.369376,18.7054,0.0162,24.4278,1.35
16000,0.374159,19.0613,0.0164,24.8531,1.39
16000,0.373476,49.3260,0.0162,38.2348,2.11
16500,0.370269,16.0301,0.0165,25.0433,1.29
17000,0.369376,14.6524,0.0165,23.1585,1.29
17500,0.366432,18.1637,0.0167,24.9495,1.29
18000,0.368797,55.5296,0.0165,38.8865,1.29
18500,0.370742,18.6516,0.0168,27.0563,1.26
19000,0.368219,17.5827,0.0169,25.5291,1.32
19500,0.368955,16.2343,0.0169,25.0443,1.31
20000,0.367746,13.0058,0.0173,24.6103,1.34
20500,0.365749,14.4464,0.0171,23.2030,1.32
21000,0.367956,14.7406,0.0170,24.5654,1.38
21500,0.370217,19.9398,0.0171,28.5120,1.29
22000,0.363068,14.2316,0.0172,24.9902,1.39
22500,0.366274,18.7583,0.0172,28.8176,1.31
23000,0.365538,15.0750,0.0172,24.7137,1.31
23500,0.365013,18.9824,0.0172,27.5529,1.34
24000,0.365013,14.9553,0.0173,26.1493,1.29
24500,0.363383,11.3794,0.0172,21.7816,1.38
25000,0.365118,10.1912,0.0176,24.1040,1.35
25500,0.362752,45.0006,0.0171,40.3417,1.30
26000,0.362647,11.9922,0.0173,23.3284,1.35
26500,0.364119,18.4172,0.0173,28.4150,1.38
27000,0.364960,16.9614,0.0173,28.1370,1.37
27500,0.361859,13.4850,0.0172,25.0325,1.29
28000,0.362542,13.0965,0.0173,24.1956,1.30
28500,0.363120,12.5608,0.0173,25.2937,1.34
29000,0.361859,15.7234,0.0173,25.4490,1.33
29500,0.362279,12.7565,0.0173,24.5167,1.35
30000,0.362279,26.1978,0.0172,30.4875,1.30
