batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.716095,221.5356,0.0122,162.3168,1.91
100,0.829163,112.4620,0.0122,118.6640,1.83
200,0.766611,86.9083,0.0122,60.2986,1.96
300,0.709420,77.6560,0.0122,55.4407,1.81
400,0.681613,77.1476,0.0122,53.7886,1.79
500,0.667368,138.8044,0.0122,87.3792,1.71
600,0.672151,140.4451,0.0122,81.6656,1.69
700,0.666159,66.7483,0.0122,48.7400,2.09
800,0.657906,58.7030,0.0122,46.6473,1.82
900,0.653963,60.2249,0.0122,46.6606,1.86
1000,0.652019,60.8245,0.0122,45.6266,1.87
