batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.703479,157.0723,0.0122,nan,2.59
500,0.469399,123.3442,0.0127,121.8142,2.43
1000,0.396311,40.9975,0.0162,40.6931,2.44
1500,0.381866,40.5766,0.0225,28.0510,2.60
2000,0.335727,72.0113,0.0292,38.9299,2.59
2500,0.312327,57.2160,0.0362,29.3006,2.45
3000,0.298750,23.3425,0.0425,39.3161,2.56
3500,0.276753,52.7421,0.0495,62.4331,2.59
4000,0.276423,52.1926,0.0569,23.7069,2.47
4500,0.263217,11.9242,0.0630,15.5543,2.58
5000,0.253683,13.8284,0.0692,19.4700,2.61
5500,0.250753,23.4754,0.0757,20.6669,2.48
6000,0.242169,23.0460,0.0818,22.4030,2.49
6500,0.240890,10.6188,0.0876,13.3665,2.60
7000,0.238537,13.0588,0.0934,19.6591,2.46
7500,0.234493,22.7563,0.0984,24.5734,2.49
8000,0.234287,7.6099,0.1044,13.3868,2.62
8500,0.223969,14.8569,0.1103,17.6212,2.58
9000,0.228220,9.1332,0.1141,13.9759,2.62
9500,0.217407,6.9337,0.1207,12.6721,2.47
10000,0.224093,4.2586,0.1254,10.9105,2.46
10500,0.221411,5.4998,0.1290,10.7036,2.61
11000,0.217903,9.7475,0.1349,39.1396,2.59
11500,0.223639,5.4329,0.1397,11.9157,2.61
12000,0.215963,3.3483,0.1439,10.2545,2.50
12500,0.216458,10.9576,0.1481,18.3294,2.47
13000,0.217284,5.3041,0.1518,16.2115,2.46
13500,0.216211,19.1453,0.1572,19.5640,2.61
14000,0.214065,5.2061,0.1604,15.0373,2.48
14500,0.212950,5.9377,0.1646,12.3227,2.50
15000,0.211919,16.5097,0.1687,22.2662,2.59
15500,0.207874,4.7087,0.1715,10.2752,2.60
16000,0.206017,3.7687,0.1750,11.3460,2.48
16500,0.214684,2.8174,0.1777,9.2455,2.50
17000,0.205646,2.8742,0.1810,8.5395,2.64
17500,0.208369,0.6868,0.1840,4.2495,2.61
18000,0.210515,3.5622,0.1868,11.1209,2.48
18500,0.208246,1.7671,0.1898,7.8892,2.59
19000,0.207503,1.9987,0.1937,8.1349,2.49
19500,0.203211,1.7342,0.1957,5.6897,2.48
20000,0.206223,1.8844,0.1981,9.7160,2.50
20500,0.201643,1.5567,0.1995,6.6723,2.58
21000,0.199950,4.4423,0.2022,17.0420,2.49
21500,0.200198,5.0539,0.2056,12.4873,2.48
22000,0.203871,2.5197,0.2061,9.3096,2.59
22500,0.202055,1.9709,0.2083,10.9391,2.54
23000,0.202963,1.7146,0.2107,7.9504,2.61
23500,0.199744,1.3354,0.2113,7.6945,2.47
24000,0.201023,0.9089,0.2094,12.6883,2.50
24500,0.204573,1.2386,0.2149,6.1548,2.49
25000,0.197309,0.5138,0.2125,4.1284,2.56
25500,0.198382,1.6390,0.2191,7.7474,2.50
26000,0.201477,1.6584,0.2204,11.2377,2.60
26500,0.199579,3.4804,0.2230,13.1976,2.46
27000,0.197103,4.1246,0.2253,11.3598,2.56
27500,0.196938,5.3512,0.2269,12.8949,2.61
28000,0.197516,0.9903,0.2242,5.5892,2.52
28500,0.198176,2.3965,0.2250,9.0435,2.60
29000,0.199084,1.3628,0.2273,9.3287,2.48
29500,0.202427,0.9635,0.2263,6.6115,2.48
30000,0.198135,3.7250,0.2306,10.4488,2.51
30500,0.198671,1.2379,0.2294,6.4791,2.62
31000,0.191655,1.2146,0.2303,6.1586,2.51
31500,0.191449,3.7777,0.2347,13.4247,2.51
32000,0.199084,1.1369,0.2328,8.3877,2.48
32500,0.193100,1.4302,0.2310,6.1800,2.61
33000,0.193347,1.9480,0.2367,15.3252,2.62
33500,0.192233,1.5598,0.2354,7.7633,2.48
34000,0.193100,1.0692,0.2317,7.0590,2.57
34500,0.194751,0.8001,0.2323,5.4872,2.50
35000,0.189839,0.1727,0.2330,2.3221,2.63
35500,0.193925,0.7931,0.2347,7.0352,2.52
36000,0.192357,0.2181,0.2281,3.1637,2.48
36500,0.191449,0.8647,0.2344,9.8748,2.60
37000,0.194131,0.6486,0.2330,6.4129,2.50
37500,0.194090,0.4169,0.2346,4.7525,2.61
38000,0.195287,0.0939,0.2287,1.2394,2.60
38500,0.196277,0.4143,0.2351,3.3631,2.48
39000,0.195658,1.0330,0.2376,6.1337,2.60
39500,0.186497,1.8071,0.2407,8.1401,2.52
40000,0.191614,0.3304,0.2349,3.5027,2.50
40500,0.191779,1.2549,0.2412,8.4016,2.49
41000,0.187941,1.9297,0.2397,10.7194,2.54
41500,0.191366,0.3914,0.2334,4.8662,2.51
42000,0.187900,0.2690,0.2332,4.7107,2.50
42500,0.191284,0.8055,0.2327,4.8182,2.56
43000,0.187982,0.9937,0.2335,10.1425,2.61
43500,0.184805,0.2658,0.2333,4.3514,2.54
44000,0.189716,0.6072,0.2375,6.1136,2.56
44500,0.187363,0.1795,0.2331,2.5668,2.50
45000,0.189385,0.6445,0.2268,7.7859,2.62
45500,0.187198,0.1815,0.2343,2.0938,2.61
46000,0.191036,0.4564,0.2320,7.2410,2.59
46500,0.186166,0.3375,0.2331,2.9987,2.56
47000,0.186208,0.3643,0.2318,4.9164,2.52
47500,0.183855,0.2000,0.2354,2.8445,2.61
48000,0.184351,0.2428,0.2305,3.3399,2.62
48500,0.185878,0.2074,0.2321,3.1834,2.61
49000,0.182081,0.1282,0.2317,2.3015,2.62
49500,0.184722,1.1769,0.2283,6.9632,2.49
50000,0.182535,1.4042,0.2286,13.0467,2.59
50500,0.180513,0.1527,0.2288,3.2909,2.46
51000,0.185795,0.0678,0.2288,4.7616,2.61
51500,0.183690,0.8505,0.2284,4.8702,2.49
52000,0.184681,0.3995,0.2293,4.1781,2.50
52500,0.183608,0.2579,0.2333,3.9913,2.63
53000,0.183979,0.5059,0.2262,6.1935,2.60
53500,0.185878,0.4649,0.2264,7.3960,2.47
54000,0.181338,0.1109,0.2275,2.0912,2.61
54500,0.183773,0.8956,0.2317,7.2111,2.46
55000,0.181008,0.2253,0.2263,3.2613,2.63
55500,0.184103,1.0145,0.2324,9.6829,2.48
56000,0.180554,0.4141,0.2322,5.1048,2.62
56500,0.182824,0.1842,0.2234,2.4856,2.55
57000,0.180554,0.3016,0.2249,4.7141,2.47
57500,0.180513,0.0670,0.2223,2.2779,2.50
58000,0.183360,0.7100,0.2286,7.1871,2.61
58500,0.181586,0.5608,0.2299,4.7242,2.57
59000,0.184722,0.0815,0.2228,1.6256,2.49
59500,0.181792,0.1032,0.2262,1.7568,2.48
60000,0.180636,0.0692,0.2204,1.5837,2.62
60500,0.185878,0.0853,0.2198,1.8835,2.60
61000,0.180636,0.0613,0.2190,2.1864,2.49
61500,0.184309,0.0497,0.2193,1.3440,2.53
62000,0.182617,0.1585,0.2176,3.9548,2.60
62500,0.183525,0.4655,0.2264,5.8391,2.50
63000,0.178367,0.1844,0.2175,4.9187,2.58
63500,0.179316,0.1991,0.2168,3.8423,2.49
64000,0.179976,0.1540,0.2189,2.8381,2.50
64500,0.179316,0.0756,0.2164,2.1034,2.61
65000,0.178532,0.0481,0.2162,1.9353,2.62
65500,0.179316,0.0246,0.2098,1.1938,2.53
66000,0.178986,0.0248,0.2170,0.4807,2.63
66500,0.179192,0.0442,0.2222,1.2041,2.63
67000,0.180182,0.1592,0.2200,3.0702,2.48
67500,0.178944,0.4472,0.2196,5.5215,2.49
68000,0.180059,0.0106,0.2127,0.6133,2.48
68500,0.178779,0.1523,0.2130,4.9943,2.52
69000,0.180678,0.0100,0.2125,0.3044,2.47
69500,0.179728,0.0662,0.2174,1.7127,2.56
70000,0.180265,0.2512,0.2189,4.6950,2.47
70500,0.179481,0.0355,0.2139,1.4137,2.50
71000,0.178490,0.0391,0.2108,1.3124,2.50
71500,0.177706,0.2397,0.2167,3.9733,2.61
72000,0.178903,0.2646,0.2110,3.0515,2.57
72500,0.181214,0.0480,0.2110,1.5605,2.51
73000,0.179357,0.0301,0.2119,1.2453,2.61
73500,0.177706,0.0029,0.2095,0.0753,2.50
74000,0.178201,0.3728,0.2092,6.5607,2.50
74500,0.177335,1.1718,0.2177,9.4747,2.59
75000,0.177046,0.1109,0.2107,3.2822,2.47
75500,0.175478,0.0544,0.2107,1.6412,2.61
76000,0.176592,0.0145,0.2159,1.0620,2.62
76500,0.173662,0.3757,0.2084,5.7383,2.56
77000,0.176262,0.0047,0.2077,0.2048,2.48
77500,0.176138,0.1710,0.2096,4.1274,2.52
78000,0.176344,0.0469,0.2076,2.0629,2.50
78500,0.177954,0.0900,0.2137,2.1810,2.55
79000,0.177748,0.0662,0.2153,1.7658,2.51
79500,0.177417,0.0512,0.2086,1.7960,2.50
80000,0.178821,0.0176,0.2082,0.5849,2.51
80500,0.177128,0.1152,0.2146,2.4670,2.49
81000,0.176344,0.1751,0.2050,4.9769,2.51
81500,0.176344,0.1264,0.2142,3.0649,2.63
82000,0.177211,0.0889,0.2139,2.2233,2.61
82500,0.176386,0.4286,0.2137,5.1738,2.50
83000,0.174652,0.0032,0.2046,0.0909,2.61
83500,0.174735,0.0532,0.2115,1.9191,2.51
84000,0.176344,0.0057,0.2039,0.1612,2.50
84500,0.173621,0.3189,0.2042,3.7908,2.61
85000,0.173538,0.0191,0.2046,1.0988,2.51
85500,0.174982,0.0793,0.2115,1.6795,2.52
86000,0.174322,0.0265,0.2060,1.1388,2.54
86500,0.174198,0.0942,0.2029,2.9653,2.50
87000,0.173703,0.0555,0.2120,2.0509,2.60
87500,0.173951,0.0155,0.2056,0.6626,2.50
88000,0.173703,0.0890,0.2116,2.2392,2.50
88500,0.173786,0.0668,0.2022,2.0100,2.50
89000,0.175684,0.0210,0.2045,0.9175,2.62
89500,0.174157,0.0048,0.2024,0.1113,2.49
90000,0.174776,0.3381,0.2026,7.0906,2.52
90500,0.174198,0.0015,0.2021,0.0394,2.61
91000,0.173125,0.0347,0.2096,1.4359,2.62
91500,0.174075,0.0764,0.2105,2.7925,2.64
92000,0.174528,0.3510,0.2054,5.8412,2.49
92500,0.172960,0.0227,0.2037,0.6254,2.53
93000,0.173414,0.0730,0.2090,1.8910,2.51
93500,0.173373,0.3906,0.2023,5.4578,2.62
