batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.669886,205.1521,0.0122,nan,2.68
500,0.464364,40.3271,0.0127,48.9585,2.47
1000,0.404936,39.2985,0.0162,37.4160,2.42
1500,0.347489,36.0462,0.0225,40.2287,2.44
2000,0.337048,29.8242,0.0293,28.6786,2.57
2500,0.325121,22.4534,0.0364,23.2264,2.58
3000,0.299162,26.2882,0.0428,32.2410,2.43
3500,0.282902,16.2571,0.0495,17.3144,2.57
4000,0.261813,25.2617,0.0568,18.7071,2.51
4500,0.275845,16.9688,0.0633,16.5409,2.46
5000,0.255210,17.1920,0.0705,20.6674,2.48
5500,0.254220,42.1411,0.0766,24.7159,2.57
6000,0.245388,7.1535,0.0837,13.1676,2.58
6500,0.242417,18.9802,0.0898,21.4876,2.43
7000,0.236639,11.0321,0.0950,15.4515,2.47
7500,0.235525,40.8447,0.1004,43.0567,2.53
8000,0.235360,18.3405,0.1067,19.8279,2.47
8500,0.232966,7.8504,0.1118,15.5032,2.49
9000,0.230531,6.2518,0.1181,14.1525,2.58
9500,0.228468,5.8226,0.1235,16.0569,2.46
10000,0.222195,7.0216,0.1280,13.1939,2.45
10500,0.224712,38.3483,0.1329,36.7913,2.48
11000,0.226404,6.1932,0.1389,14.8290,2.56
11500,0.226363,28.1477,0.1428,23.1638,2.46
12000,0.217077,5.3269,0.1473,11.6318,2.46
12500,0.216953,2.3518,0.1508,10.9001,2.48
13000,0.214477,4.8358,0.1565,10.7110,2.58
13500,0.218109,4.2421,0.1607,17.4811,2.46
14000,0.218976,3.9991,0.1651,11.2943,2.44
14500,0.214023,16.3957,0.1705,26.8638,2.54
15000,0.210598,2.7364,0.1720,9.9876,2.48
15500,0.213734,4.1406,0.1771,9.6372,2.48
16000,0.215096,2.3931,0.1812,8.5319,2.60
16500,0.209938,2.1060,0.1833,10.3991,2.47
17000,0.205563,3.7956,0.1881,9.6237,2.60
17500,0.207874,2.5434,0.1907,8.7631,2.59
18000,0.211630,2.0438,0.1947,9.2291,2.48
18500,0.203417,7.8587,0.1975,17.9905,2.49
19000,0.203623,2.1803,0.1993,9.1148,2.45
19500,0.204738,7.0455,0.2051,16.8325,2.60
20000,0.207833,2.6688,0.2062,10.4199,2.58
20500,0.210887,5.1900,0.2077,12.4548,2.56
21000,0.208906,1.4447,0.2115,7.1756,2.58
21500,0.207709,2.1611,0.2147,9.8840,2.60
22000,0.202096,4.7980,0.2188,14.8005,2.60
22500,0.201271,4.3400,0.2218,10.4843,2.60
23000,0.204779,2.0099,0.2220,13.9043,2.47
23500,0.207338,4.0991,0.2239,15.0460,2.49
24000,0.203541,3.2386,0.2270,9.0330,2.59
24500,0.202963,1.6620,0.2275,7.3499,2.60
25000,0.199662,1.3788,0.2296,7.0082,2.56
25500,0.206966,5.1987,0.2360,15.0281,2.60
26000,0.200198,0.8142,0.2329,3.5360,2.59
26500,0.206306,1.7906,0.2350,7.4725,2.58
27000,0.204490,6.7654,0.2406,12.7121,2.59
27500,0.199373,1.4971,0.2379,7.2735,2.47
28000,0.200281,0.6481,0.2406,4.2273,2.58
28500,0.203046,2.9817,0.2455,12.0858,2.49
29000,0.200487,1.9416,0.2452,7.6729,2.50
29500,0.203293,0.7047,0.2437,12.3714,2.47
30000,0.201436,0.4486,0.2451,3.8524,2.59
30500,0.202179,0.8877,0.2470,5.3129,2.49
31000,0.199744,1.0756,0.2467,6.7201,2.60
31500,0.195493,0.6324,0.2486,5.1700,2.48
32000,0.196690,1.5871,0.2526,12.0376,2.56
32500,0.196979,1.0394,0.2498,7.1465,2.50
