batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.670051,179.1697,0.0122,nan,2.65
500,0.466097,46.3128,0.0127,61.0694,2.53
1000,0.395898,77.6014,0.0161,55.2418,2.53
1500,0.360076,34.9742,0.0227,30.1845,2.56
2000,0.348974,26.9485,0.0288,24.2063,2.40
2500,0.309892,59.2480,0.0361,35.7325,2.43
3000,0.286245,26.6210,0.0428,23.6370,2.38
3500,0.279518,19.6616,0.0498,21.4596,2.54
4000,0.265197,18.7181,0.0568,15.2025,2.41
4500,0.257274,15.2048,0.0630,23.1144,2.38
5000,0.256118,29.2515,0.0698,35.8207,2.54
5500,0.250836,12.8287,0.0767,15.5570,2.40
6000,0.241633,7.4261,0.0822,12.2235,2.54
6500,0.242334,10.0229,0.0887,16.0567,2.55
7000,0.237918,11.0077,0.0945,52.9589,2.42
7500,0.233544,12.5732,0.0995,15.6055,2.49
8000,0.231026,5.4276,0.1052,11.0531,2.38
8500,0.227972,11.9739,0.1112,13.2297,2.41
9000,0.232471,7.8403,0.1168,13.3262,2.41
9500,0.222360,5.0531,0.1210,9.9592,2.45
10000,0.223887,4.6186,0.1257,11.8538,2.41
10500,0.219182,25.0609,0.1319,25.0906,2.42
11000,0.217449,6.2458,0.1363,16.8094,2.54
11500,0.218357,5.1849,0.1399,10.9060,2.44
12000,0.210598,5.9389,0.1443,15.6901,2.56
12500,0.220173,8.2878,0.1500,12.5897,2.42
13000,0.211588,21.7633,0.1548,21.1889,2.41
13500,0.213858,4.2625,0.1574,14.9604,2.43
14000,0.210309,2.4236,0.1613,8.9716,2.45
14500,0.215344,2.4099,0.1641,9.3438,2.55
15000,0.215798,2.6922,0.1686,8.2230,2.42
15500,0.210103,0.9293,0.1695,5.5327,2.55
16000,0.211465,3.7001,0.1759,10.1688,2.44
16500,0.208782,4.4527,0.1791,10.3780,2.41
17000,0.206430,3.0653,0.1812,10.0696,2.55
17500,0.204944,3.0616,0.1851,10.5347,2.58
18000,0.207255,4.0471,0.1897,9.7052,2.55
18500,0.206842,15.9706,0.1923,19.7678,2.54
19000,0.204408,1.7467,0.1936,7.1445,2.57
19500,0.199331,0.8267,0.1925,8.6896,2.52
20000,0.199992,2.2984,0.1984,8.7611,2.56
20500,0.204820,1.8410,0.1970,10.2634,2.56
21000,0.199744,2.1928,0.2034,8.4590,2.42
21500,0.201312,4.7118,0.2084,11.0471,2.57
22000,0.200570,1.3987,0.2078,7.0386,2.41
22500,0.202303,1.3269,0.2105,6.7539,2.43
23000,0.205233,1.9418,0.2144,7.2514,2.54
23500,0.198547,0.8277,0.2118,5.9954,2.44
24000,0.196690,4.0250,0.2174,11.9591,2.55
24500,0.201023,1.3767,0.2148,6.5527,2.57
25000,0.203500,3.2373,0.2205,9.7487,2.47
25500,0.200074,2.1184,0.2187,8.4281,2.50
26000,0.200858,1.6378,0.2199,8.5076,2.44
26500,0.197598,1.8041,0.2193,7.5585,2.44
27000,0.192398,1.9730,0.2252,8.2163,2.42
27500,0.199043,0.9347,0.2233,4.8532,2.43
28000,0.196360,0.7548,0.2240,6.5383,2.43
28500,0.198630,0.6346,0.2248,4.0545,2.45
29000,0.195658,1.2284,0.2270,6.7789,2.43
29500,0.196443,3.6938,0.2315,11.7089,2.43
30000,0.196112,1.1119,0.2258,7.9212,2.44
30500,0.198382,1.8197,0.2294,8.3659,2.49
31000,0.193265,0.3921,0.2298,4.0977,2.43
31500,0.197763,0.4709,0.2313,4.3984,2.43
32000,0.195493,3.7178,0.2346,12.4896,2.59
32500,0.194255,0.4812,0.2317,8.9935,2.45
33000,0.195246,1.1961,0.2359,7.0451,2.41
33500,0.197763,2.0368,0.2308,17.6173,2.56
34000,0.193017,1.2310,0.2318,6.3133,2.57
34500,0.192233,1.6247,0.2372,6.8721,2.56
35000,0.190624,0.7602,0.2338,5.8778,2.56
35500,0.191779,1.6472,0.2386,8.8934,2.44
36000,0.191573,0.5419,0.2365,4.0462,2.56
36500,0.191408,0.5538,0.2341,5.2759,2.42
37000,0.190747,0.6256,0.2332,5.5120,2.51
37500,0.188189,0.1182,0.2266,2.1264,2.49
38000,0.188849,1.1088,0.2393,6.9733,2.56
38500,0.191243,0.9367,0.2366,5.5683,2.56
39000,0.193430,0.6560,0.2348,5.0001,2.42
39500,0.191408,1.7663,0.2364,8.6498,2.56
40000,0.189303,0.3710,0.2319,4.2583,2.43
40500,0.188024,0.2567,0.2308,3.3043,2.57
41000,0.189839,0.2072,0.2342,3.5697,2.57
41500,0.194297,0.6849,0.2359,6.0331,2.45
42000,0.190459,0.1922,0.2312,2.2607,2.43
42500,0.187446,0.3984,0.2321,4.4939,2.51
43000,0.188147,0.1215,0.2248,2.5274,2.42
43500,0.186084,0.6248,0.2369,10.9829,2.45
44000,0.189674,0.1348,0.2304,2.4715,2.42
44500,0.186827,0.6471,0.2300,6.7967,2.55
45000,0.189097,0.5446,0.2294,4.9655,2.55
45500,0.188560,1.5131,0.2358,8.9315,2.57
46000,0.187446,0.3432,0.2305,4.1255,2.41
46500,0.186166,0.8537,0.2364,9.9417,2.41
47000,0.184805,1.0450,0.2293,6.3073,2.46
47500,0.189592,0.1527,0.2345,2.1136,2.43
48000,0.186579,0.0905,0.2212,1.6025,2.58
48500,0.185093,0.1725,0.2209,3.2704,2.45
49000,0.188601,0.1811,0.2343,2.2041,2.43
49500,0.188684,0.2373,0.2340,3.6547,2.44
50000,0.182287,0.1470,0.2283,3.0699,2.48
50500,0.186538,0.4282,0.2242,3.3343,2.43
51000,0.186208,0.2141,0.2265,2.7592,2.56
51500,0.181709,0.0881,0.2237,1.9050,2.58
52000,0.182906,0.8282,0.2322,8.1602,2.56
52500,0.183401,0.1918,0.2286,3.0163,2.42
53000,0.181792,0.1871,0.2259,3.2605,2.46
53500,0.183236,0.7219,0.2307,5.3508,2.43
54000,0.179563,0.0412,0.2248,1.7406,2.58
54500,0.180843,0.2385,0.2207,4.4766,2.56
55000,0.182535,0.1145,0.2206,2.3498,2.47
55500,0.181503,0.0652,0.2236,1.7703,2.43
56000,0.179646,0.2447,0.2223,3.5096,2.58
56500,0.183319,0.4129,0.2203,4.5110,2.53
57000,0.181998,0.7858,0.2277,5.0806,2.45
57500,0.179357,0.0878,0.2194,2.3926,2.45
58000,0.179151,3.7096,0.2126,10.8348,2.49
58500,0.180554,1.0119,0.2274,6.7846,2.57
59000,0.181132,0.0670,0.2206,1.3726,2.57
59500,0.180719,0.0876,0.2202,1.8806,2.55
60000,0.179522,0.0279,0.2109,1.3244,2.44
60500,0.180843,0.2483,0.2217,3.7628,2.58
61000,0.179109,0.1648,0.2253,2.7964,2.43
61500,0.180059,0.4003,0.2148,3.1744,2.46
62000,0.180141,0.0312,0.2173,0.8623,2.57
62500,0.179316,0.0336,0.2174,1.2300,2.45
63000,0.181173,0.0151,0.2174,0.3901,2.41
63500,0.179770,0.0030,0.2081,0.1005,2.45
64000,0.179316,0.0832,0.2137,2.4978,2.45
64500,0.178490,0.0097,0.2146,0.2013,2.41
65000,0.179440,0.0690,0.2121,2.1606,2.60
65500,0.178532,0.2117,0.2145,3.8233,2.58
66000,0.178367,0.0228,0.2151,0.9801,2.45
66500,0.177541,0.0281,0.2132,1.0800,2.47
67000,0.181751,0.0528,0.2186,1.0890,2.45
67500,0.179935,0.0647,0.2103,1.6324,2.58
68000,0.177459,0.3506,0.2121,5.5381,2.47
68500,0.180554,0.3940,0.2197,8.3734,2.45
69000,0.178284,0.0922,0.2184,1.6979,2.53
69500,0.178779,0.1043,0.2124,3.0179,2.57
70000,0.177913,0.1995,0.2124,3.1305,2.47
70500,0.175684,0.0016,0.2096,0.0315,2.44
71000,0.175354,0.0190,0.2141,0.4000,2.45
71500,0.175725,0.0162,0.2104,0.5500,2.46
72000,0.174281,0.0066,0.2023,0.4207,2.47
