batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.664768,158.7990,0.0122,nan,2.82
500,0.681647,81.4641,0.0122,137.1220,2.54
1000,0.433040,35.8143,0.0155,33.6394,2.56
1500,0.358673,42.2946,0.0214,33.5816,2.55
2000,0.327638,22.9280,0.0283,24.5680,2.71
2500,0.302423,25.6270,0.0351,22.9519,2.65
3000,0.300483,55.7021,0.0415,37.3567,2.56
3500,0.279394,21.2321,0.0486,22.9983,2.71
4000,0.270810,20.0232,0.0549,19.2860,2.56
4500,0.258636,16.2372,0.0616,33.8460,2.72
5000,0.250671,14.7437,0.0683,21.8199,2.56
5500,0.245553,8.5030,0.0749,12.2631,2.67
6000,0.230160,31.0553,0.0812,23.6376,2.58
6500,0.240890,10.1592,0.0872,15.9842,2.57
7000,0.228509,15.6782,0.0926,19.0480,2.58
7500,0.235360,7.6377,0.0987,16.0116,2.68
8000,0.229128,7.7784,0.1037,10.8756,2.71
8500,0.226734,24.4579,0.1094,18.1848,2.73
9000,0.224465,5.1412,0.1152,13.5420,2.72
9500,0.220833,12.5794,0.1196,14.8251,2.72
10000,0.220007,4.9312,0.1241,11.9008,2.59
10500,0.223020,6.2477,0.1300,15.2669,2.58
11000,0.216417,7.2836,0.1335,22.2707,2.67
11500,0.210598,4.9612,0.1388,15.7982,2.59
12000,0.213652,6.3114,0.1423,13.1806,2.68
12500,0.214436,4.1394,0.1477,18.3337,2.61
13000,0.218728,7.4706,0.1521,12.7015,2.57
13500,0.206595,4.1381,0.1556,11.7372,2.61
14000,0.213198,6.7924,0.1597,11.8238,2.58
14500,0.206801,4.0329,0.1626,8.8849,2.73
15000,0.206925,3.7659,0.1664,11.7765,2.72
15500,0.211052,2.1723,0.1692,7.2323,2.58
16000,0.204903,5.0953,0.1733,12.0289,2.72
16500,0.201684,12.7280,0.1775,19.7554,2.67
17000,0.206100,5.1054,0.1796,13.5007,2.71
17500,0.208617,1.2939,0.1826,5.9734,2.60
18000,0.206842,4.6929,0.1854,15.7018,2.69
18500,0.203046,1.9279,0.1875,7.3168,2.59
19000,0.203954,8.8434,0.1923,17.2366,2.58
19500,0.203665,4.5010,0.1932,13.3584,2.60
20000,0.203046,2.4293,0.1956,9.1929,2.73
20500,0.204862,2.6765,0.1980,10.5078,2.71
21000,0.201106,1.3623,0.1982,7.2164,2.58
21500,0.199290,1.8934,0.2018,6.8824,2.60
22000,0.202633,2.3813,0.2033,8.5997,2.73
22500,0.196277,2.9426,0.2071,9.5808,2.72
23000,0.202385,1.4506,0.2071,7.4168,2.69
23500,0.197804,3.3454,0.2105,17.7324,2.59
24000,0.200611,1.5604,0.2101,7.7216,2.66
24500,0.196360,3.9443,0.2117,11.3750,2.73
25000,0.197351,1.4559,0.2129,8.9480,2.72
25500,0.194792,1.0322,0.2122,5.8242,2.62
26000,0.200033,1.7634,0.2163,7.8814,2.58
26500,0.197639,1.9869,0.2146,10.6112,2.75
27000,0.197351,2.2192,0.2193,7.5531,2.63
27500,0.199703,1.6256,0.2176,7.7426,2.63
28000,0.202055,1.9650,0.2206,9.0954,2.58
28500,0.193843,0.3116,0.2186,2.8893,2.62
29000,0.193017,2.6643,0.2250,8.3599,2.66
29500,0.193884,1.1430,0.2228,6.1310,2.73
30000,0.193306,0.3424,0.2241,3.0014,2.64
30500,0.190912,4.1746,0.2281,16.1508,2.60
31000,0.196401,1.0451,0.2287,5.9107,2.65
31500,0.191490,0.9182,0.2285,7.0586,2.63
32000,0.189592,1.2670,0.2267,8.9769,2.63
32500,0.191408,0.8591,0.2263,6.4677,2.60
33000,0.197103,1.3858,0.2281,8.7064,2.72
33500,0.193471,0.3190,0.2289,3.0968,2.72
34000,0.192481,0.7757,0.2308,5.4649,2.62
34500,0.188808,1.3869,0.2275,7.2292,2.73
35000,0.190541,1.9743,0.2322,7.5786,2.72
35500,0.190417,0.8792,0.2324,6.2743,2.59
36000,0.188601,4.2961,0.2336,14.8761,2.68
36500,0.190211,0.2959,0.2293,2.8884,2.62
37000,0.187446,2.5668,0.2339,10.2665,2.61
37500,0.188808,0.5373,0.2274,5.0117,2.61
38000,0.187982,0.4937,0.2290,3.9521,2.58
38500,0.186208,0.8032,0.2324,5.4375,2.59
39000,0.187817,2.8475,0.2343,10.9509,2.60
39500,0.188478,0.8433,0.2323,6.1461,2.68
40000,0.188106,0.5197,0.2283,4.4560,2.72
40500,0.186992,0.6264,0.2329,5.9751,2.59
41000,0.183195,0.7573,0.2253,6.1337,2.59
41500,0.184227,0.3904,0.2289,3.3038,2.74
42000,0.187363,0.6167,0.2264,5.8742,2.75
42500,0.183897,0.1036,0.2261,1.7525,2.60
43000,0.184268,1.2678,0.2278,6.3074,2.73
43500,0.183443,0.1412,0.2269,2.0519,2.74
44000,0.183525,1.3354,0.2333,36.2279,2.61
44500,0.182659,0.1389,0.2237,1.9856,2.61
45000,0.182287,0.9442,0.2274,6.6119,2.72
45500,0.185217,2.3960,0.2299,9.7976,2.61
46000,0.183732,1.5481,0.2305,9.2118,2.61
46500,0.182865,1.5099,0.2302,8.2310,2.76
47000,0.184640,0.1301,0.2219,2.4984,2.72
47500,0.183071,1.5008,0.2257,10.0214,2.65
48000,0.180430,0.2614,0.2159,4.0984,2.60
48500,0.179646,0.6856,0.2234,5.0924,2.59
49000,0.179935,0.5737,0.2283,10.0422,2.60
49500,0.182700,0.1628,0.2271,2.5970,2.68
50000,0.181255,0.6952,0.2221,3.6771,2.67
50500,0.180595,0.0602,0.2217,1.1699,2.75
51000,0.179646,0.8623,0.2223,6.6466,2.68
51500,0.179687,0.2913,0.2213,4.4880,2.62
52000,0.179770,0.0874,0.2192,1.7749,2.72
52500,0.183732,0.3959,0.2254,8.6609,2.61
53000,0.181338,0.5141,0.2214,6.0534,2.75
53500,0.179151,0.1465,0.2204,2.2985,2.71
54000,0.180636,0.2509,0.2232,3.6911,2.65
54500,0.179605,1.4126,0.2258,8.9633,2.66
55000,0.178119,0.3022,0.2164,3.8078,2.59
55500,0.180224,0.1600,0.2160,1.8093,2.60
56000,0.181173,0.8843,0.2168,9.2645,2.59
56500,0.179687,0.1114,0.2151,2.4518,2.73
57000,0.177830,0.3537,0.2175,6.2404,2.67
57500,0.179316,0.8828,0.2162,8.1000,2.66
58000,0.180306,0.1496,0.2153,3.1842,2.60
58500,0.176798,0.0202,0.2132,0.4796,2.73
59000,0.176716,0.1585,0.2141,2.6697,2.60
59500,0.175973,0.0759,0.2153,2.5278,2.60
60000,0.174982,0.5959,0.2107,3.3931,2.61
60500,0.177954,0.0935,0.2115,2.2462,2.75
61000,0.177046,0.6350,0.2171,7.0554,2.67
61500,0.179274,0.0416,0.2120,1.2645,2.58
62000,0.178160,0.0124,0.2103,0.3033,2.73
