batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.620569,180.9496,0.0122,nan,2.82
500,0.547315,63.8596,0.0124,62.6068,2.72
1000,0.403739,43.7528,0.0156,34.8786,2.54
1500,0.349098,31.4637,0.0215,29.2731,2.59
2000,0.316289,57.6500,0.0279,32.2527,2.54
2500,0.294004,21.2162,0.0347,22.1021,2.56
3000,0.282448,17.5639,0.0416,22.1603,2.64
3500,0.272502,18.6692,0.0475,19.9683,2.57
4000,0.264578,17.3850,0.0543,18.9508,2.65
4500,0.254344,10.7242,0.0614,12.1075,2.57
5000,0.241798,12.3693,0.0682,17.4407,2.72
5500,0.240766,14.9023,0.0743,27.2460,2.65
6000,0.235979,11.4191,0.0813,15.6006,2.72
6500,0.230407,11.8365,0.0860,16.1058,2.59
7000,0.233420,16.6345,0.0929,18.0912,2.58
7500,0.225950,7.7941,0.0988,22.1540,2.57
8000,0.227106,7.7979,0.1044,14.6718,2.61
8500,0.223226,8.2146,0.1094,15.6581,2.71
9000,0.221163,4.2725,0.1156,10.2853,2.64
9500,0.222814,8.7665,0.1207,18.5348,2.58
10000,0.221947,7.2008,0.1256,13.5963,2.73
10500,0.213734,5.2561,0.1308,10.4194,2.72
11000,0.215509,7.2614,0.1359,17.9420,2.73
11500,0.210061,4.7967,0.1405,10.9742,2.59
12000,0.211465,12.3319,0.1453,18.1732,2.57
12500,0.218934,4.4989,0.1493,11.1041,2.60
13000,0.221039,2.9150,0.1533,9.3161,2.58
13500,0.217407,9.5306,0.1584,15.5624,2.58
14000,0.210103,5.4920,0.1618,14.0318,2.59
14500,0.213363,2.9353,0.1653,10.1325,2.57
15000,0.211423,10.8304,0.1705,18.1611,2.58
15500,0.207544,4.0123,0.1726,11.0333,2.58
16000,0.209154,18.9804,0.1781,26.0676,2.68
16500,0.205316,2.5413,0.1805,7.8888,2.59
17000,0.205563,2.2401,0.1828,7.6653,2.72
17500,0.210433,6.6897,0.1869,12.1881,2.73
18000,0.207627,2.6974,0.1912,9.3962,2.65
18500,0.204738,4.5598,0.1917,11.3715,2.59
19000,0.198795,1.6886,0.1964,8.7159,2.74
19500,0.207833,9.7233,0.1974,18.8610,2.60
20000,0.198300,4.6309,0.2024,13.4642,2.57
20500,0.201890,1.5213,0.2039,6.9861,2.69
21000,0.201890,2.4083,0.2074,25.9246,2.74
21500,0.205027,2.6567,0.2084,8.6856,2.68
22000,0.197681,3.4349,0.2096,11.1642,2.60
22500,0.201766,3.1694,0.2126,10.7277,2.74
23000,0.196360,2.4129,0.2167,8.4349,2.58
23500,0.196979,0.9928,0.2170,6.5631,2.71
24000,0.201601,2.1247,0.2188,6.9674,2.68
24500,0.196731,2.8777,0.2221,15.6069,2.62
25000,0.202262,6.5563,0.2255,14.5056,2.60
25500,0.204077,1.9362,0.2240,8.9714,2.75
26000,0.195741,1.9993,0.2262,7.9786,2.61
26500,0.197268,6.7231,0.2308,21.4043,2.66
27000,0.198671,1.1426,0.2280,5.9274,2.60
27500,0.196855,0.3108,0.2290,10.0319,2.61
28000,0.196443,1.5863,0.2310,7.4901,2.59
28500,0.201643,0.8735,0.2335,4.9807,2.59
29000,0.195700,5.1087,0.2377,15.3431,2.73
29500,0.197804,1.2483,0.2362,7.1285,2.65
30000,0.197722,0.7183,0.2361,6.7691,2.75
30500,0.195246,0.7824,0.2361,4.2307,2.75
31000,0.197020,1.3170,0.2380,6.4333,2.68
31500,0.199043,1.3028,0.2396,6.5057,2.74
32000,0.193925,0.7272,0.2413,4.8720,2.72
32500,0.195163,3.5374,0.2466,11.9473,2.62
33000,0.192274,0.5378,0.2414,3.9832,2.59
33500,0.192976,0.7950,0.2436,4.3725,2.61
34000,0.190500,1.5326,0.2433,8.4894,2.59
34500,0.194462,1.0061,0.2431,7.6265,2.63
35000,0.187239,0.8434,0.2459,5.7855,2.74
35500,0.187239,0.4810,0.2432,4.8211,2.60
36000,0.196566,1.0349,0.2455,7.4178,2.67
36500,0.189551,0.5428,0.2464,4.0155,2.61
37000,0.193265,1.9245,0.2481,7.2980,2.59
37500,0.195039,0.9757,0.2483,5.4998,2.64
38000,0.192233,2.0098,0.2534,7.6518,2.74
38500,0.194668,0.7850,0.2460,6.4653,2.64
39000,0.185671,1.0454,0.2499,7.7333,2.74
39500,0.188725,2.3608,0.2545,13.3648,2.63
40000,0.187859,0.9301,0.2468,6.9411,2.59
40500,0.191614,0.7737,0.2473,5.4055,2.61
41000,0.188106,0.7858,0.2534,6.4459,2.60
41500,0.186084,0.7930,0.2513,5.0981,2.67
42000,0.187157,2.6260,0.2566,16.6782,2.75
42500,0.186084,1.3266,0.2561,7.6676,2.68
43000,0.188519,0.4318,0.2498,3.2714,2.67
43500,0.187528,0.9112,0.2484,7.0865,2.64
44000,0.188766,0.6508,0.2418,6.3672,2.62
44500,0.189468,0.9326,0.2514,5.7962,2.71
45000,0.182535,1.4135,0.2511,4.7426,2.59
45500,0.189757,0.3163,0.2495,5.0641,2.60
46000,0.187322,2.1504,0.2512,10.4149,2.69
46500,0.188106,1.5089,0.2562,7.6003,2.60
47000,0.187239,4.0666,0.2484,11.9124,2.66
47500,0.188230,0.5094,0.2507,7.2197,2.64
48000,0.189427,1.8702,0.2508,8.2273,2.66
48500,0.182659,0.5457,0.2485,4.4741,2.73
49000,0.183649,3.8511,0.2564,18.0441,2.74
49500,0.183649,0.6129,0.2483,5.3979,2.72
50000,0.186620,0.3180,0.2511,2.7367,2.65
50500,0.185795,0.4730,0.2535,4.6672,2.61
51000,0.182287,0.5875,0.2557,4.3944,2.72
51500,0.186703,0.5294,0.2467,4.3588,2.76
52000,0.186579,0.7457,0.2489,14.7911,2.76
52500,0.188395,1.0327,0.2496,7.3924,2.62
53000,0.183773,0.2708,0.2379,4.8779,2.59
53500,0.184722,0.6036,0.2555,4.9803,2.65
54000,0.190335,0.3225,0.2461,2.6094,2.67
54500,0.185052,0.3047,0.2447,3.8608,2.60
55000,0.182989,0.1593,0.2462,2.3018,2.61
55500,0.182370,0.5676,0.2443,5.8774,2.70
56000,0.182741,0.2119,0.2355,3.8041,2.63
56500,0.183319,0.3904,0.2466,4.7896,2.60
57000,0.183938,0.1818,0.2417,2.9509,2.64
57500,0.181173,1.0030,0.2449,8.9239,2.63
58000,0.183732,0.1313,0.2424,3.0185,2.74
58500,0.180224,1.3649,0.2480,10.6528,2.57
59000,0.182906,0.1625,0.2411,2.9060,2.73
59500,0.184144,0.1846,0.2389,2.7146,2.61
60000,0.181668,0.3089,0.2422,4.5400,2.75
60500,0.182782,0.0826,0.2397,1.4017,2.61
61000,0.178490,0.6457,0.2475,6.6587,2.60
61500,0.180801,0.1561,0.2412,3.6023,2.61
62000,0.180925,0.4800,0.2366,4.1826,2.63
62500,0.180100,0.7493,0.2396,6.2366,2.63
63000,0.180554,0.6193,0.2478,5.0250,2.61
63500,0.180306,0.1056,0.2432,1.9252,2.66
64000,0.177665,0.4699,0.2445,5.0003,2.73
64500,0.178779,0.0915,0.2337,1.8278,2.76
65000,0.177128,0.9684,0.2344,7.9375,2.74
65500,0.181668,0.3972,0.2425,5.3570,2.75
66000,0.179109,0.7252,0.2344,5.3392,2.74
