batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.601667,167.7207,0.0122,nan,2.81
500,0.720069,84.3789,0.0122,98.3957,2.69
1000,0.725641,70.6054,0.0122,11.2359,2.68
1500,0.698857,72.4360,0.0148,30.2277,2.70
2000,0.465602,38.3798,0.0229,21.2597,2.54
2500,0.416037,39.9243,0.0293,32.1419,2.55
3000,0.361809,23.9904,0.0360,15.1201,2.56
3500,0.333581,25.5208,0.0435,16.8579,2.55
4000,0.314968,20.0945,0.0496,12.9612,2.62
4500,0.292765,30.5542,0.0556,19.1929,2.56
5000,0.285667,23.4341,0.0611,19.4601,2.59
5500,0.271677,15.5197,0.0679,14.6375,2.56
6000,0.264166,25.4870,0.0742,18.0613,2.70
6500,0.265074,20.1599,0.0785,15.6279,2.62
7000,0.263299,13.6542,0.0848,16.7039,2.70
7500,0.244687,9.1718,0.0901,11.7689,2.69
8000,0.243614,14.4633,0.0960,18.2167,2.59
8500,0.236474,7.7174,0.1020,11.4106,2.56
9000,0.236103,9.9042,0.1068,15.6513,2.59
9500,0.235566,13.8758,0.1119,15.7124,2.61
10000,0.234988,9.7401,0.1160,17.8297,2.62
10500,0.234823,6.0569,0.1212,11.5848,2.70
11000,0.231810,13.6231,0.1258,14.1850,2.68
11500,0.222153,11.1225,0.1306,18.3514,2.57
12000,0.218109,4.8246,0.1348,9.8167,2.70
12500,0.229623,29.0939,0.1384,20.8851,2.70
13000,0.223515,3.9938,0.1432,10.3547,2.62
13500,0.228055,20.5363,0.1466,18.1911,2.59
14000,0.227023,9.8814,0.1511,15.9517,2.58
14500,0.222607,19.7350,0.1546,22.3653,2.70
15000,0.220131,15.5826,0.1584,19.1780,2.68
15500,0.221246,1.8338,0.1622,6.5793,2.58
16000,0.221411,2.6230,0.1649,8.5420,2.67
16500,0.215385,2.2175,0.1687,11.6244,2.68
17000,0.215509,4.1888,0.1721,11.6137,2.58
17500,0.215592,13.8290,0.1746,21.0892,2.57
