batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.702489,177.9145,0.0122,nan,2.66
500,0.447196,39.1931,0.0127,50.8052,2.40
1000,0.414263,38.3244,0.0161,39.6517,2.43
1500,0.351203,28.8430,0.0225,23.2636,2.42
2000,0.328298,22.7828,0.0293,21.8844,2.40
2500,0.304816,31.6097,0.0364,25.1964,2.41
3000,0.292105,22.2237,0.0439,20.7669,2.41
3500,0.281045,35.1402,0.0499,23.9867,2.42
4000,0.278115,16.7819,0.0575,19.8267,2.42
4500,0.267550,11.5458,0.0645,14.3798,2.47
5000,0.259832,11.3866,0.0712,18.3280,2.55
5500,0.244233,16.0567,0.0768,17.3908,2.43
6000,0.247287,12.9844,0.0835,17.6544,2.46
6500,0.238372,8.7745,0.0894,18.3554,2.44
7000,0.247782,8.6421,0.0954,14.5588,2.45
7500,0.236887,6.2817,0.1009,9.6190,2.57
8000,0.236474,10.3376,0.1069,13.9650,2.44
8500,0.230696,8.3161,0.1122,16.2006,2.45
9000,0.233750,8.8967,0.1164,14.6366,2.43
9500,0.228798,8.6806,0.1232,17.2367,2.46
10000,0.224547,6.2607,0.1284,13.2318,2.43
10500,0.222030,3.7194,0.1339,9.6244,2.50
11000,0.227395,11.4057,0.1387,15.4179,2.59
11500,0.221906,4.4853,0.1421,21.1504,2.56
12000,0.215757,20.2687,0.1473,30.4320,2.43
12500,0.218811,3.4513,0.1507,12.0347,2.57
13000,0.217077,3.3981,0.1558,15.2447,2.45
13500,0.218563,3.6153,0.1604,10.6112,2.44
14000,0.222814,4.0164,0.1638,10.9206,2.44
14500,0.217284,5.1022,0.1676,14.3525,2.57
15000,0.211052,1.4961,0.1684,6.7145,2.52
15500,0.209938,2.6632,0.1754,7.5222,2.49
16000,0.216830,2.4874,0.1792,9.9096,2.49
16500,0.209566,2.7883,0.1821,14.2229,2.58
17000,0.212950,3.4747,0.1854,9.8636,2.43
17500,0.214477,2.4133,0.1881,7.2535,2.46
18000,0.209979,3.2203,0.1915,10.6994,2.59
18500,0.207627,9.4657,0.1950,17.0406,2.46
19000,0.208741,3.5698,0.1990,11.2759,2.46
19500,0.207296,3.3875,0.1989,12.1000,2.56
20000,0.203500,2.8232,0.2009,8.2151,2.48
20500,0.211877,3.4611,0.2067,15.2974,2.46
21000,0.203582,2.9405,0.2092,9.0155,2.44
21500,0.205563,1.6863,0.2090,6.0689,2.46
22000,0.204242,2.3741,0.2137,8.2786,2.56
22500,0.204242,2.4304,0.2130,8.5900,2.45
23000,0.196649,2.7655,0.2160,9.2623,2.45
23500,0.206017,2.8742,0.2181,12.5511,2.45
24000,0.201808,2.4643,0.2173,9.5943,2.43
24500,0.197887,1.9635,0.2188,8.9718,2.46
25000,0.197928,1.4319,0.2194,7.8014,2.50
25500,0.198877,1.3630,0.2215,8.1165,2.45
26000,0.200074,5.3822,0.2258,27.5883,2.48
26500,0.202757,0.9589,0.2241,6.1152,2.45
27000,0.197763,6.4419,0.2284,18.1342,2.45
27500,0.196360,1.8896,0.2277,9.9501,2.58
28000,0.203995,1.1127,0.2265,6.2469,2.48
28500,0.201931,1.5752,0.2303,7.4845,2.57
29000,0.197433,1.2139,0.2285,7.6996,2.58
29500,0.198547,0.6727,0.2300,5.2000,2.48
30000,0.197433,0.6292,0.2311,4.4265,2.48
