batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,0.905039,234.0793,0.1087,89.8442,1.95
500,0.629896,64.3919,0.1089,31.0186,1.62
1000,0.404110,44.5342,0.1120,37.7390,1.66
1500,0.327679,35.2325,0.1175,39.9820,1.67
2000,0.300854,42.6941,0.1239,50.9348,1.62
2500,0.271264,28.1628,0.1312,39.9768,1.66
3000,0.258801,18.3050,0.1388,31.9717,1.66
3500,0.249144,23.1379,0.1469,31.8194,1.65
4000,0.240395,62.9682,0.1550,66.7226,1.67
4500,0.234039,17.9916,0.1636,29.7489,1.68
5000,0.228055,10.7023,0.1722,26.8952,1.67
5500,0.224588,17.4640,0.1810,35.9102,1.69
6000,0.225703,15.8817,0.1898,32.4131,1.68
6500,0.225001,15.1736,0.1986,30.2560,1.68
7000,0.219966,15.1668,0.2075,39.8461,1.71
7500,0.215427,19.8589,0.2167,69.8642,1.67
8000,0.211547,9.7734,0.2256,26.4099,1.67
8500,0.208411,6.0053,0.2342,26.4198,1.68
9000,0.210185,8.8353,0.2434,29.8415,1.69
9500,0.207214,12.2019,0.2522,37.1065,1.68
10000,0.205811,15.2678,0.2609,47.1486,1.69
10500,0.201643,10.2395,0.2703,47.3560,1.68
11000,0.204449,8.2173,0.2789,27.4746,1.67
11500,0.200735,6.7778,0.2878,25.1953,1.66
12000,0.204531,10.7182,0.2967,32.8914,1.68
12500,0.202633,8.3444,0.3054,35.5825,1.68
13000,0.201312,10.2660,0.3143,32.8244,1.70
13500,0.198341,10.6335,0.3228,33.5764,1.68
14000,0.200157,40.4789,0.3312,74.8764,1.70
14500,0.196731,6.0856,0.3403,23.7566,1.68
15000,0.200570,11.4676,0.3486,48.2440,1.68
15500,0.200157,6.7112,0.3569,29.6390,1.68
16000,0.196443,12.6996,0.3658,41.5532,1.70
16500,0.198630,7.1570,0.3738,41.1662,1.68
17000,0.197351,7.1101,0.3820,29.4569,1.70
17500,0.196979,5.1530,0.3905,49.0326,1.71
18000,0.197722,6.1453,0.3986,40.5094,1.69
18500,0.197144,7.5218,0.4064,30.9591,1.70
19000,0.195576,11.8795,0.4151,80.8159,1.70
19500,0.194462,37.1465,0.4224,71.9421,1.69
20000,0.196649,7.9789,0.4305,29.4005,1.71
20500,0.193554,30.7289,0.4384,69.8461,1.69
