batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,0.906195,187.1089,0.1087,62.4262,1.16
500,0.568982,58.4748,0.1093,26.8891,1.05
1000,0.376542,46.2832,0.1126,39.5896,1.06
1500,0.316000,23.2332,0.1180,31.1191,1.05
2000,0.281334,33.6392,0.1244,42.5744,1.06
2500,0.260286,28.3344,0.1317,47.6185,1.05
3000,0.241591,13.1467,0.1395,30.1318,1.07
3500,0.236887,14.0543,0.1479,27.9654,1.06
4000,0.228798,17.6680,0.1563,39.6893,1.06
4500,0.222566,13.5111,0.1651,30.8952,1.05
5000,0.221122,44.1680,0.1742,59.2178,1.07
5500,0.220090,8.5413,0.1835,26.8722,1.07
6000,0.216953,8.1075,0.1928,42.2196,1.07
6500,0.215798,9.3198,0.2019,29.9778,1.05
7000,0.210268,12.4892,0.2116,39.9212,1.06
7500,0.210020,20.3080,0.2207,54.6042,1.06
8000,0.208246,8.4774,0.2304,29.8942,1.09
