batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,0.903883,145.6582,0.1087,44.7608,1.17
500,0.562791,76.1486,0.1094,45.6716,1.04
1000,0.381165,38.6460,0.1126,35.3647,1.06
1500,0.309686,31.0157,0.1181,35.3561,1.07
2000,0.276464,23.3674,0.1245,31.9537,1.07
2500,0.258883,22.7578,0.1315,31.8643,1.06
3000,0.249185,26.6584,0.1393,36.7834,1.07
3500,0.234988,18.9080,0.1475,42.2950,1.06
4000,0.231439,13.1223,0.1560,27.3493,1.04
4500,0.221246,13.3365,0.1647,30.4131,1.05
5000,0.218604,8.6177,0.1735,27.9404,1.04
5500,0.217531,41.5893,0.1821,70.1467,1.09
6000,0.213693,40.6284,0.1910,63.3058,1.05
6500,0.212620,7.2955,0.2002,27.9296,1.07
7000,0.212455,9.2035,0.2088,29.3166,1.08
7500,0.212290,9.2821,0.2178,31.1702,1.06
8000,0.208988,19.0040,0.2263,43.6950,1.08
8500,0.207379,6.9000,0.2350,28.5582,1.09
9000,0.202757,6.5887,0.2436,25.9285,1.07
9500,0.206265,5.6747,0.2518,27.1374,1.07
10000,0.203376,7.6604,0.2604,32.4214,1.07
10500,0.199992,4.9054,0.2684,22.9680,1.09
11000,0.204862,11.1273,0.2762,44.8894,1.05
11500,0.201560,5.6048,0.2841,38.1089,1.05
12000,0.203789,8.5359,0.2919,39.7784,1.06
12500,0.202427,3.9369,0.2991,49.4092,1.08
13000,0.199125,6.6324,0.3066,32.9883,1.10
13500,0.201023,5.2738,0.3137,53.4573,1.09
14000,0.199785,5.4423,0.3208,35.0571,1.09
14500,0.200611,9.1936,0.3275,38.4979,1.09
15000,0.198795,3.0557,0.3342,65.8007,1.08
15500,0.199455,4.5835,0.3405,31.9324,1.11
16000,0.198754,4.5082,0.3468,27.1094,1.18
16500,0.197763,6.1821,0.3529,31.5375,1.07
17000,0.199827,19.5786,0.3583,53.9138,1.11
17500,0.197185,6.6567,0.3642,56.6753,1.09
18000,0.199043,3.7870,0.3694,27.1705,1.06
18500,0.199249,3.1095,0.3747,21.2454,1.11
19000,0.198712,17.5655,0.3793,59.0680,1.10
19500,0.200776,3.8285,0.3844,44.8016,1.08
20000,0.198135,2.4977,0.3892,25.1950,1.07
20500,0.197392,2.6791,0.3933,28.9454,1.10
21000,0.200363,3.7290,0.3976,32.9689,1.06
21500,0.197516,1.6722,0.4017,16.1278,1.08
22000,0.198052,2.4931,0.4054,32.3237,1.06
22500,0.197433,1.4710,0.4090,30.2297,1.08
23000,0.196277,2.6477,0.4125,27.4302,1.07
23500,0.197557,2.8991,0.4158,39.3484,1.06
24000,0.197392,2.4137,0.4188,21.8707,1.07
24500,0.199290,14.2770,0.4214,69.3639,1.08
25000,0.193801,2.3650,0.4245,27.9178,1.07
25500,0.194668,1.6007,0.4270,21.7201,1.09
26000,0.195370,2.5729,0.4294,22.1105,1.08
26500,0.196277,1.5220,0.4316,58.6966,1.09
27000,0.196649,1.5330,0.4337,32.7060,1.08
27500,0.194792,0.9701,0.4354,21.0640,1.07
28000,0.193347,1.2316,0.4375,18.7746,1.10
28500,0.193966,2.0810,0.4391,30.4241,1.08
29000,0.191036,2.2737,0.4407,24.4597,1.09
29500,0.191779,4.8089,0.4422,67.0227,1.08
30000,0.189551,1.2061,0.4433,23.5256,1.09
30500,0.189055,2.6911,0.4447,23.7844,1.10
31000,0.191078,1.6596,0.4456,48.4070,1.08
31500,0.189014,2.4506,0.4467,26.2840,1.08
32000,0.191449,1.3620,0.4475,17.9543,1.07
32500,0.189344,1.2301,0.4483,19.5561,1.08
33000,0.189055,8.1491,0.4487,45.6928,1.07
33500,0.187405,1.1717,0.4496,27.0992,1.05
34000,0.188766,1.7037,0.4504,21.2628,1.08
34500,0.189262,0.9710,0.4508,13.7751,1.09
35000,0.188436,1.3052,0.4512,27.8349,1.06
35500,0.188849,1.2109,0.4516,25.6742,1.06
36000,0.188849,2.0941,0.4520,23.6727,1.08
36500,0.188849,2.5119,0.4523,27.7238,1.09
37000,0.188065,1.0339,0.4525,45.5258,1.08
37500,0.188560,0.5164,0.4525,8.4497,1.09
38000,0.186125,0.4753,0.4526,10.3660,1.11
38500,0.185011,0.7943,0.4529,18.3972,1.09
39000,0.187652,1.0675,0.4530,20.0895,1.12
39500,0.188106,0.5801,0.4528,12.3538,1.11
40000,0.186373,0.8525,0.4529,13.4048,1.11
40500,0.186166,1.1475,0.4531,17.4089,1.10
41000,0.187157,1.7952,0.4532,33.9842,1.12
41500,0.186827,0.6298,0.4529,18.5063,1.09
42000,0.189344,0.1220,0.4527,4.4674,1.12
42500,0.188519,5.0535,0.4524,63.2256,1.08
43000,0.187487,1.5697,0.4528,37.6491,1.12
43500,0.189344,0.8238,0.4528,36.2167,1.11
44000,0.188436,0.6958,0.4526,12.5700,1.09
44500,0.189716,1.2718,0.4526,21.7159,1.08
45000,0.187817,2.3688,0.4522,24.4520,1.13
45500,0.188024,2.4466,0.4521,44.1163,1.11
46000,0.187735,0.7436,0.4521,16.5042,1.09
46500,0.187157,0.2492,0.4521,6.9858,1.07
47000,0.186538,0.4113,0.4519,9.9477,1.09
47500,0.185630,0.8173,0.4520,32.5164,1.08
48000,0.185836,0.6450,0.4520,18.2349,1.08
48500,0.186208,2.0925,0.4519,46.9765,1.10
49000,0.185382,0.3335,0.4515,8.4983,1.09
49500,0.185093,1.4351,0.4517,34.0098,1.11
50000,0.183236,0.0802,0.4512,2.9731,1.07
