batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.682349,224.1967,0.0122,212.7396,1.34
500,0.573223,132.5297,0.0124,85.3124,1.21
1000,0.508726,58.5008,0.0137,37.6200,1.20
1500,0.520080,52.9455,0.0157,30.5074,1.23
2000,0.479342,46.3208,0.0175,26.2988,1.23
2500,0.458474,40.2527,0.0193,22.0328,1.21
3000,0.449537,31.5788,0.0211,19.4775,1.23
3500,0.436817,32.7099,0.0228,19.4441,1.23
4000,0.423938,36.0260,0.0246,21.3691,1.23
4500,0.418997,30.9878,0.0263,19.1638,1.20
5000,0.413057,29.9795,0.0280,19.6478,1.22
5500,0.405646,27.9867,0.0297,19.8894,1.24
6000,0.405751,26.3899,0.0316,18.4581,1.23
6500,0.401072,59.0980,0.0329,27.7896,1.21
7000,0.401756,26.0706,0.0347,19.4323,1.25
7500,0.398076,52.4857,0.0363,31.7656,1.22
8000,0.399863,21.9119,0.0385,17.1930,1.23
8500,0.396026,57.4072,0.0397,25.7779,1.23
9000,0.396552,56.2661,0.0412,25.7964,1.22
9500,0.390612,24.3466,0.0436,18.2623,1.24
10000,0.386617,16.9091,0.0456,17.6503,1.23
10500,0.385828,14.2654,0.0468,13.9012,1.23
11000,0.388667,19.6886,0.0489,17.2202,1.23
11500,0.387090,27.7197,0.0500,18.6067,1.22
12000,0.382201,17.6682,0.0521,17.5759,1.23
12500,0.380519,16.0994,0.0539,14.9479,1.23
13000,0.379836,17.1061,0.0555,17.0782,1.24
13500,0.373581,14.1649,0.0578,16.0959,1.22
14000,0.378890,10.9858,0.0589,11.9750,1.24
14500,0.372267,13.3675,0.0607,14.7963,1.25
15000,0.376314,13.1893,0.0628,15.4686,1.27
15500,0.370374,13.5533,0.0649,16.8815,1.24
16000,0.366747,51.1181,0.0650,27.0715,1.24
16500,0.373265,12.1051,0.0680,15.9322,1.25
17000,0.367588,14.9736,0.0692,15.5877,1.24
17500,0.368061,42.9555,0.0705,24.8783,1.24
18000,0.361123,12.0943,0.0733,14.4095,1.23
18500,0.363331,10.8668,0.0747,14.1673,1.25
19000,0.364382,8.2365,0.0775,12.9197,1.26
19500,0.361280,41.4474,0.0776,24.7312,1.24
20000,0.358968,11.4127,0.0803,15.1987,1.22
20500,0.356760,12.5107,0.0822,14.6925,1.24
21000,0.360439,11.3061,0.0839,15.1739,1.25
21500,0.356497,12.2938,0.0857,14.9576,1.24
22000,0.356182,9.4186,0.0872,12.5656,1.25
22500,0.353185,23.3846,0.0882,18.7952,1.25
23000,0.344354,9.1488,0.0908,12.5740,1.23
23500,0.347666,10.6785,0.0928,13.7399,1.25
24000,0.356865,11.4055,0.0947,15.0572,1.24
24500,0.341989,36.8473,0.0953,27.3350,1.27
25000,0.343513,10.9374,0.0980,14.1329,1.25
25500,0.345301,17.6296,0.0989,17.3891,1.22
26000,0.350715,8.6613,0.1021,13.0997,1.25
26500,0.345353,8.7235,0.1039,13.0715,1.25
27000,0.346667,8.8320,0.1050,12.9568,1.24
27500,0.341779,7.8857,0.1072,12.9859,1.26
28000,0.339098,8.7962,0.1091,13.1912,1.25
28500,0.343146,12.1877,0.1103,15.2250,1.24
29000,0.341201,38.3534,0.1106,22.7439,1.25
29500,0.341516,7.9395,0.1138,13.0603,1.27
30000,0.333316,9.4673,0.1158,13.9021,1.24
30500,0.333526,8.4316,0.1178,13.3899,1.25
31000,0.334157,9.3556,0.1194,13.5393,1.25
31500,0.337521,8.8987,0.1217,13.0867,1.25
32000,0.337679,38.1979,0.1214,23.6761,1.22
32500,0.338310,8.1332,0.1254,12.8653,1.26
33000,0.327534,8.7690,0.1273,13.7987,1.23
33500,0.331056,8.7177,0.1291,13.0477,1.24
34000,0.330372,9.9160,0.1306,13.9488,1.24
34500,0.335156,9.0887,0.1327,13.8631,1.23
35000,0.329426,9.4478,0.1339,13.9112,1.25
35500,0.328059,32.5345,0.1341,21.0138,1.24
36000,0.329216,38.9239,0.1359,25.9222,1.26
36500,0.327849,18.6005,0.1386,16.9496,1.23
37000,0.328059,9.0491,0.1420,14.3356,1.23
37500,0.326062,17.3091,0.1422,15.9246,1.26
38000,0.325431,17.8701,0.1440,16.3185,1.25
38500,0.327744,6.4576,0.1474,12.3114,1.27
39000,0.324958,7.3899,0.1492,12.0752,1.26
39500,0.323644,6.9234,0.1504,12.1964,1.24
40000,0.325326,9.1935,0.1526,14.1112,1.24
40500,0.319123,7.8530,0.1538,12.5119,1.24
41000,0.320385,7.8253,0.1557,12.9560,1.25
41500,0.318387,34.5679,0.1557,22.1940,1.23
42000,0.321278,9.0407,0.1597,13.0870,1.23
42500,0.321384,27.7169,0.1604,22.7533,1.23
43000,0.315391,7.8883,0.1634,12.7396,1.25
43500,0.319439,5.5795,0.1657,11.2142,1.23
44000,0.320542,6.8317,0.1666,12.3736,1.26
44500,0.313183,6.3501,0.1686,11.8769,1.25
45000,0.321068,6.8933,0.1707,10.9019,1.25
45500,0.314024,5.6368,0.1725,10.8686,1.24
46000,0.313078,8.2655,0.1745,11.8526,1.24
46500,0.316442,5.0194,0.1766,10.3124,1.24
47000,0.317809,5.8913,0.1785,11.6184,1.24
47500,0.311186,7.8307,0.1796,12.7426,1.24
48000,0.318808,7.0354,0.1815,12.5857,1.25
48500,0.316180,5.4144,0.1829,10.6093,1.26
49000,0.316495,7.5776,0.1858,12.9957,1.23
49500,0.310923,7.0410,0.1866,12.4983,1.25
50000,0.315286,6.7691,0.1889,10.8438,1.26
50500,0.314813,8.0403,0.1905,12.9216,1.24
51000,0.308768,5.6131,0.1927,10.9723,1.27
51500,0.311974,6.1549,0.1938,10.7717,1.26
52000,0.313078,4.7345,0.1978,11.5674,1.25
52500,0.314182,9.3371,0.1979,14.0975,1.25
53000,0.309346,25.5358,0.1981,21.2818,1.24
53500,0.312973,5.5652,0.2018,10.7876,1.26
54000,0.313499,8.1059,0.2036,12.8572,1.24
54500,0.311291,5.0253,0.2052,10.8395,1.25
55000,0.309083,6.9460,0.2066,12.5216,1.28
55500,0.308558,7.9713,0.2081,12.8811,1.24
56000,0.306718,5.8774,0.2105,10.7801,1.24
56500,0.308242,6.8610,0.2115,12.9542,1.24
57000,0.304615,9.6432,0.2136,15.0623,1.23
57500,0.310450,5.8597,0.2172,12.6560,1.24
58000,0.309977,4.7417,0.2169,10.5756,1.25
58500,0.307138,5.5006,0.2189,10.6516,1.23
59000,0.306034,7.2205,0.2205,12.8818,1.25
59500,0.307559,6.8533,0.2222,12.8453,1.27
60000,0.304458,4.2332,0.2259,11.2027,1.25
60500,0.310397,6.8908,0.2255,12.6821,1.24
61000,0.302618,7.0167,0.2271,12.3671,1.25
61500,0.305141,6.7976,0.2286,12.3776,1.24
62000,0.303669,6.6736,0.2303,11.4038,1.25
62500,0.304458,29.1045,0.2292,21.2558,1.26
63000,0.303249,5.1997,0.2336,10.6836,1.24
63500,0.304931,6.0615,0.2361,11.1830,1.26
64000,0.304668,6.0155,0.2369,11.6808,1.26
64500,0.301304,13.2179,0.2374,14.6083,1.25
65000,0.306350,5.5988,0.2407,11.5754,1.24
65500,0.302775,3.2918,0.2442,10.6327,1.23
66000,0.305246,5.0224,0.2437,11.3085,1.25
66500,0.300831,25.1156,0.2437,21.8578,1.24
67000,0.300778,29.5207,0.2440,21.3982,1.23
67500,0.299989,7.9549,0.2488,12.6908,1.25
68000,0.303038,5.5350,0.2508,12.3467,1.23
68500,0.304037,27.5526,0.2489,21.9495,1.25
69000,0.299201,4.8571,0.2534,10.0954,1.23
69500,0.301566,5.8206,0.2557,11.9028,1.23
70000,0.297939,5.3652,0.2567,10.8003,1.25
70500,0.299148,24.1748,0.2565,20.5790,1.26
71000,0.298097,30.0637,0.2568,24.2143,1.23
71500,0.295679,4.1096,0.2613,9.5792,1.26
72000,0.300147,4.6322,0.2631,12.0703,1.26
72500,0.303196,4.5192,0.2640,10.9432,1.25
73000,0.302407,5.8653,0.2664,11.5675,1.26
73500,0.296468,26.8631,0.2658,24.8159,1.24
74000,0.299306,4.3138,0.2692,10.9658,1.24
74500,0.299832,6.8335,0.2707,10.8852,1.23
75000,0.296836,4.1760,0.2725,9.7555,1.24
75500,0.294575,7.1235,0.2733,12.6580,1.24
76000,0.298150,7.2050,0.2752,13.1081,1.24
76500,0.303143,7.2653,0.2766,13.3203,1.28
77000,0.301041,7.9126,0.2788,14.3279,1.26
77500,0.299832,6.1625,0.2793,12.9059,1.26
78000,0.297939,8.4130,0.2809,13.5062,1.25
78500,0.299148,4.6155,0.2822,11.1768,1.28
79000,0.298886,5.2197,0.2831,10.8117,1.24
79500,0.298202,5.7657,0.2850,14.6574,1.24
80000,0.295942,6.7719,0.2862,13.1731,1.25
80500,0.296678,25.5226,0.2858,26.6893,1.26
81000,0.299043,4.3859,0.2895,10.5951,1.24
81500,0.292893,5.9414,0.2902,12.6672,1.25
82000,0.295732,6.7923,0.2914,13.2102,1.26
82500,0.296783,5.9312,0.2928,11.9587,1.26
83000,0.295153,8.3580,0.2951,13.9573,1.26
83500,0.296310,5.1518,0.2949,11.6554,1.26
84000,0.296941,7.8700,0.2967,12.9734,1.27
84500,0.298465,4.3751,0.3003,9.9079,1.25
85000,0.296415,6.2773,0.2994,12.6512,1.24
85500,0.297571,5.7799,0.3005,12.3528,1.26
86000,0.299411,7.5208,0.3009,20.2343,1.25
86500,0.298255,5.3616,0.3045,12.4495,1.26
87000,0.293261,32.8139,0.3000,28.3604,1.26
87500,0.294575,13.5960,0.3026,17.1011,1.23
88000,0.295889,6.9429,0.3048,12.5593,1.27
88500,0.298413,8.7201,0.3059,13.8218,1.26
89000,0.297414,nan,0.3049,nan,1.25
89500,0.294575,7.0755,0.3071,13.7785,1.26
90000,0.295784,5.9260,0.3074,nan,1.26
90500,0.295311,6.8126,0.3076,nan,1.24
91000,0.294680,6.1559,0.3078,nan,1.26
91500,0.294365,nan,0.3088,nan,1.26
92000,0.295732,9.1773,0.3080,nan,1.26
92500,0.297466,nan,0.3082,nan,1.26
93000,0.295574,nan,0.3061,nan,1.26
93500,0.297677,nan,0.3078,nan,1.26
94000,0.293944,nan,0.3077,nan,1.27
94500,0.299937,5.2513,0.3090,12.1945,1.23
95000,0.298780,nan,0.3066,nan,1.24
95500,0.297571,nan,0.3083,nan,1.23
96000,0.297098,nan,0.3084,nan,1.26
96500,0.294523,nan,0.3080,nan,1.25
