batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.696016,186.5485,0.0122,inf,1.45
500,0.573749,132.2570,0.0125,99.4792,1.20
1000,0.526545,45.3525,0.0144,30.9011,1.19
1500,0.497372,49.9949,0.0175,24.7969,1.22
2000,0.476398,50.3937,0.0206,23.3684,1.22
2500,0.452008,36.1445,0.0237,17.1801,1.23
3000,0.442809,80.7898,0.0263,32.4612,1.19
3500,0.421520,34.5097,0.0295,18.6846,1.21
4000,0.423570,35.9437,0.0325,18.5235,1.20
4500,0.416632,30.8515,0.0359,17.3199,1.20
5000,0.411638,26.0961,0.0388,15.4471,1.21
5500,0.409010,25.4244,0.0417,15.4225,1.20
6000,0.407012,20.7480,0.0447,15.1805,1.26
6500,0.408431,33.5792,0.0478,18.3595,1.23
7000,0.402386,19.9487,0.0503,13.7349,1.23
7500,0.407380,24.1158,0.0541,18.1501,1.24
8000,0.389508,22.1824,0.0566,14.2379,1.23
8500,0.387143,20.1373,0.0597,14.7856,1.23
9000,0.387563,19.2507,0.0621,13.8878,1.24
9500,0.386564,21.2494,0.0655,14.2167,1.22
10000,0.389403,16.6896,0.0684,14.3584,1.21
10500,0.387878,16.7801,0.0716,13.5671,1.21
11000,0.380677,17.3892,0.0741,13.7630,1.24
11500,0.373949,24.1656,0.0767,15.7461,1.24
12000,0.377365,15.9990,0.0804,12.8391,1.25
12500,0.379310,14.8755,0.0832,13.0781,1.21
13000,0.372267,24.5934,0.0857,15.1598,1.25
13500,0.377839,14.4979,0.0890,14.0538,1.21
14000,0.363909,19.3960,0.0920,15.4175,1.21
14500,0.360545,24.9909,0.0946,15.7717,1.22
15000,0.363383,17.8560,0.0981,14.4899,1.21
15500,0.359809,41.1638,0.0998,22.1344,1.22
16000,0.357233,13.3708,0.1041,12.4461,1.22
16500,0.353711,13.1638,0.1075,12.7667,1.25
17000,0.352397,14.0880,0.1103,13.1876,1.24
17500,0.356602,39.7766,0.1121,21.5596,1.24
18000,0.353501,8.9290,0.1166,11.7853,1.24
18500,0.354815,14.9847,0.1196,13.5031,1.21
19000,0.352607,10.1120,0.1229,11.8737,1.22
19500,0.351714,12.2134,0.1259,12.0372,1.23
20000,0.350347,9.7299,0.1306,13.1824,1.21
20500,0.348665,15.5106,0.1324,14.8883,1.23
