batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.685082,197.1478,0.0122,inf,2.07
500,0.483389,44.9520,0.0123,60.6137,1.96
1000,0.370374,42.0056,0.0131,58.3292,1.87
1500,0.313972,44.2679,0.0144,63.9287,1.86
2000,0.293839,17.3579,0.0158,40.7684,1.86
2500,0.277229,53.5135,0.0171,67.3884,1.90
3000,0.267136,45.4144,0.0185,66.4468,1.88
3500,0.259935,47.1268,0.0198,66.4039,1.99
4000,0.249474,10.2084,0.0212,32.8724,1.88
4500,0.249106,8.1442,0.0225,30.2148,1.97
5000,0.246110,6.3076,0.0238,32.8334,1.96
5500,0.243587,7.1338,0.0251,33.5930,1.98
6000,0.243482,3.8894,0.0263,27.0986,1.98
6500,0.240643,3.1287,0.0275,21.7328,1.86
7000,0.245585,5.5739,0.0288,27.5328,1.88
7500,0.239014,3.8248,0.0299,28.2172,1.95
8000,0.238383,2.6317,0.0311,19.9580,1.97
8500,0.240118,7.4654,0.0323,35.0897,1.98
9000,0.238436,2.6480,0.0335,18.3578,1.97
9500,0.237437,3.9745,0.0345,25.5180,1.97
10000,0.232391,3.2228,0.0356,21.7297,1.96
10500,0.231865,2.8612,0.0367,21.8365,1.87
11000,0.233968,2.3076,0.0376,22.0936,1.87
11500,0.237752,2.4360,0.0388,20.8716,1.86
12000,0.232023,1.7389,0.0398,18.3694,1.88
12500,0.228028,9.3113,0.0407,36.2742,1.88
13000,0.233337,7.6325,0.0418,37.2531,1.97
13500,0.235124,3.2687,0.0431,24.2976,1.87
14000,0.234441,1.8660,0.0439,17.2323,1.87
14500,0.226398,1.4561,0.0450,16.1324,1.87
15000,0.227292,1.5328,0.0461,18.2512,1.88
15500,0.232338,4.4580,0.0469,25.5143,1.88
16000,0.229237,2.2053,0.0478,23.9610,1.87
16500,0.231444,7.8551,0.0485,37.1614,1.89
17000,0.228606,5.6546,0.0495,31.0581,1.99
17500,0.232548,1.0152,0.0506,12.6136,1.88
18000,0.231392,1.3765,0.0517,14.7075,1.99
18500,0.230078,1.3657,0.0524,13.2407,1.99
19000,0.233757,1.1493,0.0534,13.2452,1.93
19500,0.228396,0.7216,0.0542,11.5172,1.99
20000,0.228028,6.2846,0.0548,31.2740,1.87
20500,0.229237,1.3265,0.0561,15.9582,1.90
21000,0.226451,4.6830,0.0566,28.1397,1.89
21500,0.226346,0.5646,0.0577,10.3375,1.92
22000,0.228501,2.0605,0.0588,16.6816,1.90
22500,0.229394,1.4029,0.0596,16.6992,1.98
23000,0.226871,1.3269,0.0602,16.1318,1.89
23500,0.229710,0.7429,0.0611,13.5857,1.89
24000,0.224506,0.5213,0.0617,14.1426,2.00
24500,0.227660,2.7103,0.0624,19.5743,1.88
25000,0.224348,0.3467,0.0632,7.9502,1.89
25500,0.227292,1.4029,0.0641,14.9212,2.00
26000,0.229552,1.2513,0.0652,18.1588,1.98
26500,0.225189,0.6163,0.0658,11.5973,1.99
27000,0.230025,3.8243,0.0663,26.5701,1.99
27500,0.223402,1.0175,0.0673,14.5721,1.98
28000,0.221772,4.5350,0.0678,29.6263,1.99
28500,0.225452,1.3229,0.0687,12.5435,1.89
29000,0.225978,2.4316,0.0694,19.4251,1.88
29500,0.221299,1.8597,0.0701,17.5249,1.89
30000,0.227502,0.7613,0.0708,12.1418,1.92
30500,0.226241,2.5526,0.0713,22.5775,1.89
31000,0.220616,0.8167,0.0722,9.5770,2.00
31500,0.221720,1.2552,0.0729,18.9722,1.98
32000,0.224664,0.6250,0.0736,9.8859,2.00
32500,0.221878,1.8249,0.0741,18.7283,1.98
33000,0.225189,0.5480,0.0747,9.4047,1.97
33500,0.225189,0.2833,0.0750,5.9594,1.90
34000,0.226556,0.6384,0.0761,12.7056,1.90
34500,0.225925,1.3673,0.0767,16.4518,1.89
35000,0.227923,0.1887,0.0768,3.6515,1.88
35500,0.221562,0.4492,0.0780,8.4271,1.87
36000,0.226083,0.8009,0.0787,11.5277,1.88
36500,0.220774,0.4263,0.0786,7.3147,1.88
37000,0.222508,0.4225,0.0796,9.6961,1.93
37500,0.225399,1.4577,0.0801,15.0071,1.99
38000,0.226714,0.5106,0.0813,8.4877,2.00
38500,0.222456,0.2911,0.0817,7.7537,1.99
39000,0.222824,0.9968,0.0821,14.6173,1.98
39500,0.221510,1.0536,0.0824,12.5270,1.99
40000,0.227660,0.3427,0.0832,7.3700,1.88
40500,0.223139,0.7290,0.0838,8.4349,1.98
41000,0.226030,0.5783,0.0846,10.5632,1.90
41500,0.222876,0.6429,0.0847,9.3887,1.88
42000,0.225557,0.2947,0.0857,6.6785,1.99
42500,0.222876,1.4368,0.0856,17.3570,1.99
43000,0.220353,0.7966,0.0860,10.3524,1.98
43500,0.224558,0.3617,0.0869,8.1186,1.89
44000,0.222666,0.3300,0.0872,7.4643,1.90
44500,0.224243,0.4822,0.0881,9.4496,1.89
45000,0.223402,0.2911,0.0885,6.2830,1.90
45500,0.224716,0.3858,0.0883,11.0338,1.97
46000,0.217725,0.3340,0.0890,7.6572,1.89
46500,0.223455,0.6631,0.0894,11.9506,1.91
47000,0.223770,0.4750,0.0899,12.6956,1.90
47500,0.216884,1.2672,0.0904,14.8016,1.98
48000,0.221457,0.7932,0.0898,10.3359,1.99
48500,0.223139,1.2974,0.0910,15.4156,1.99
49000,0.222876,0.3550,0.0913,8.2082,1.98
49500,0.218198,0.1611,0.0920,5.2988,1.97
50000,0.220511,0.1193,0.0923,3.4950,2.01
50500,0.218251,0.1485,0.0927,5.4870,1.88
51000,0.222246,0.8552,0.0929,13.7677,1.87
51500,0.221247,0.1610,0.0932,5.2581,1.94
52000,0.218303,0.2211,0.0936,7.1001,1.96
52500,0.223560,0.3199,0.0945,7.3033,2.00
53000,0.220563,0.8482,0.0949,14.2408,1.98
53500,0.220511,0.3416,0.0952,11.0445,1.99
54000,0.222403,1.2533,0.0955,13.0555,1.88
54500,0.221825,0.1706,0.0953,5.1897,1.90
55000,0.218251,1.6174,0.0959,15.8964,1.99
55500,0.217094,0.5026,0.0967,8.9791,2.00
56000,0.216937,0.5740,0.0966,20.9395,1.89
56500,0.220563,0.5329,0.0972,10.1594,1.89
57000,0.222035,1.1428,0.0973,13.9044,1.99
57500,0.221194,1.2002,0.0980,14.9293,1.90
58000,0.221142,0.1180,0.0978,4.3536,1.99
58500,0.219249,0.4196,0.0990,7.4557,1.98
59000,0.220090,0.4034,0.0984,6.2615,1.99
59500,0.218093,0.1687,0.0987,5.6730,2.05
60000,0.220984,0.2281,0.0995,8.2343,2.00
60500,0.212994,1.2261,0.0994,19.8027,1.99
61000,0.218776,0.3336,0.0982,7.8610,1.93
61500,0.215885,0.2429,0.0994,4.9477,1.92
62000,0.218303,0.7133,0.1003,15.7579,1.99
62500,0.218566,0.3500,0.0998,11.8025,1.99
63000,0.215938,0.6527,0.1009,9.9611,2.00
63500,0.215780,0.1913,0.1013,6.0379,1.90
64000,0.220511,0.3655,0.1009,6.1668,1.93
64500,0.220406,0.4344,0.1007,7.9567,1.99
65000,0.219039,0.1994,0.1018,7.4175,1.99
65500,0.219880,0.2535,0.1015,6.8624,2.00
66000,0.219617,0.0463,0.1017,1.6634,1.88
66500,0.217567,0.1558,0.1026,4.9116,2.00
67000,0.220931,0.4274,0.1019,9.2216,1.90
67500,0.215833,0.2542,0.1010,6.8846,2.00
68000,0.215465,0.0561,0.1021,2.2449,1.89
68500,0.219617,0.5726,0.1037,12.3909,1.99
69000,0.222614,0.4144,0.1034,9.7205,1.89
69500,0.220774,0.3975,0.1027,11.9830,2.00
70000,0.220826,0.2419,0.1030,6.8901,1.97
70500,0.220774,0.2116,0.1038,7.9136,1.99
71000,0.219197,0.0544,0.1033,2.8964,2.00
71500,0.222456,0.3889,0.1043,4.6574,2.00
72000,0.219565,0.1302,0.1050,3.9988,1.99
72500,0.221194,0.2592,0.1045,6.2285,2.00
73000,0.216463,0.5510,0.1053,11.4460,1.92
73500,0.219197,0.4317,0.1044,7.3734,2.01
74000,0.216831,0.2271,0.1042,7.4391,1.90
74500,0.217672,0.3738,0.1058,10.5005,1.91
75000,0.215412,0.8066,0.1059,11.4627,2.00
75500,0.217410,0.0938,0.1050,5.0508,2.00
