batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.723560,193.2427,0.0122,nan,2.75
500,0.498370,54.7977,0.0123,76.4853,2.66
1000,0.379048,30.7487,0.0129,52.0899,2.66
1500,0.325799,63.7760,0.0141,75.3977,2.45
2000,0.291264,18.4425,0.0153,41.6737,2.46
2500,0.273865,18.1407,0.0164,38.9227,2.50
3000,0.264613,14.0708,0.0177,38.9117,2.49
3500,0.257201,8.0578,0.0188,32.0785,2.48
4000,0.254100,13.1066,0.0199,41.9754,2.60
4500,0.250210,37.5729,0.0210,63.3000,2.49
5000,0.244008,8.6881,0.0220,31.7251,2.66
5500,0.249369,10.6602,0.0230,43.1801,2.50
6000,0.237332,6.8496,0.0239,30.9290,2.67
6500,0.240749,6.1027,0.0250,27.8006,2.50
7000,0.238856,5.2973,0.0259,30.9090,2.65
7500,0.231707,2.7418,0.0268,19.6127,2.68
8000,0.232128,5.7544,0.0277,32.3961,2.68
8500,0.231550,6.5103,0.0285,32.8365,2.63
9000,0.231865,2.6778,0.0294,20.9796,2.66
9500,0.231602,4.6600,0.0303,25.8642,2.48
10000,0.228396,5.3742,0.0310,34.6055,2.50
10500,0.232601,2.0831,0.0319,38.4143,2.49
11000,0.229762,4.5911,0.0327,32.5890,2.64
11500,0.227975,15.7216,0.0334,46.6472,2.67
12000,0.223455,6.2740,0.0342,37.4601,2.62
12500,0.224506,1.5122,0.0350,17.2455,2.55
13000,0.222824,1.3968,0.0357,14.7217,2.66
13500,0.219670,1.6042,0.0365,17.0094,2.51
14000,0.229815,1.2918,0.0372,15.4796,2.68
14500,0.223823,9.3956,0.0378,43.0975,2.67
15000,0.220931,1.5039,0.0385,14.9250,2.67
15500,0.218356,1.1672,0.0393,13.9398,2.70
16000,0.218356,1.1966,0.0400,15.8078,2.68
16500,0.219512,1.4021,0.0406,19.8837,2.52
17000,0.219144,0.4826,0.0412,8.2194,2.50
17500,0.220721,1.6280,0.0417,18.3399,2.51
18000,0.220248,1.2259,0.0424,18.2565,2.51
18500,0.221983,1.6130,0.0430,16.5355,2.54
19000,0.219985,0.8814,0.0434,11.9998,2.52
19500,0.219565,0.4568,0.0440,8.5025,2.52
20000,0.219407,3.9713,0.0447,25.9234,2.52
20500,0.214308,2.3571,0.0453,17.5692,2.54
21000,0.213415,3.1955,0.0456,21.5383,2.53
21500,0.216043,1.3529,0.0462,13.5016,2.51
22000,0.220616,1.9638,0.0467,23.5953,2.68
22500,0.215728,0.8453,0.0472,10.3743,2.51
23000,0.217672,0.9251,0.0477,12.0762,2.51
23500,0.219933,0.6374,0.0482,24.2534,2.52
24000,0.214624,0.3532,0.0487,9.6830,2.51
24500,0.215675,0.4670,0.0490,9.0717,2.52
25000,0.212994,0.7547,0.0495,10.5645,2.63
25500,0.213310,2.3293,0.0500,21.0402,2.51
26000,0.217094,0.4458,0.0500,7.0277,2.53
26500,0.213993,0.5849,0.0510,11.9519,2.52
27000,0.216148,1.0272,0.0511,11.9034,2.52
27500,0.212942,1.1101,0.0515,18.2632,2.67
28000,0.217147,3.0826,0.0517,31.2712,2.68
28500,0.214256,1.0345,0.0522,10.9732,2.67
29000,0.215938,1.3564,0.0526,16.6613,2.69
29500,0.218513,0.1846,0.0528,5.2105,2.69
30000,0.214781,0.9390,0.0531,13.6016,2.68
30500,0.219722,0.8780,0.0536,12.4045,2.68
31000,0.210629,1.8518,0.0536,18.3793,2.69
31500,0.214098,0.5716,0.0540,11.1677,2.52
32000,0.210208,0.4092,0.0543,8.8591,2.52
32500,0.214413,0.4904,0.0541,11.3636,2.51
33000,0.208474,0.2114,0.0546,5.7674,2.49
33500,0.212153,0.1759,0.0549,5.0453,2.50
34000,0.210681,0.3655,0.0553,10.0291,2.67
34500,0.213677,0.7593,0.0549,12.6286,2.52
35000,0.212311,0.4161,0.0551,7.7134,2.68
35500,0.215307,0.8779,0.0557,13.2249,2.50
36000,0.213415,0.3815,0.0559,9.3429,2.67
36500,0.213835,0.1134,0.0556,4.7130,2.70
37000,0.211207,0.4141,0.0563,8.5449,2.68
37500,0.208211,0.3427,0.0565,7.4590,2.63
38000,0.211259,0.9993,0.0568,17.2559,2.52
38500,0.208684,0.4716,0.0569,20.4522,2.62
39000,0.207002,0.2556,0.0570,12.6835,2.68
39500,0.210418,0.3272,0.0569,20.6416,2.68
40000,0.210944,3.6786,0.0574,30.8364,2.65
40500,0.211943,0.1256,0.0574,3.7796,2.50
41000,0.208526,0.2475,0.0574,5.4342,2.70
41500,0.207475,0.0691,0.0575,3.0033,2.55
42000,0.209315,0.8379,0.0576,19.0758,2.67
42500,0.208000,0.2874,0.0576,6.6295,2.67
43000,0.208579,0.1861,0.0577,4.8740,2.68
43500,0.206529,0.2609,0.0578,6.3983,2.50
44000,0.208474,0.8519,0.0578,15.9829,2.52
44500,0.209420,0.3251,0.0580,9.6732,2.62
45000,0.208736,0.4224,0.0578,9.4077,2.52
45500,0.208789,0.2596,0.0582,13.4442,2.52
46000,0.205635,0.0473,0.0579,1.9631,2.70
46500,0.210734,0.1600,0.0579,6.4356,2.50
47000,0.205898,0.5396,0.0581,11.8809,2.55
47500,0.208474,0.3456,0.0581,20.4801,2.55
48000,0.208789,0.0121,0.0581,0.4036,2.51
48500,0.205582,0.0819,0.0582,3.7945,2.51
49000,0.206003,0.2011,0.0585,5.7651,2.51
49500,0.205688,0.0418,0.0583,2.2075,2.68
50000,0.202796,0.1363,0.0582,6.2077,2.51
50500,0.204163,0.1843,0.0583,6.7322,2.68
51000,0.204847,0.0212,0.0582,1.7316,2.69
51500,0.204268,0.0908,0.0585,4.3696,2.69
52000,0.204531,0.0727,0.0583,3.1514,2.53
52500,0.203900,0.2083,0.0583,12.3455,2.53
53000,0.204847,0.2291,0.0583,9.0196,2.67
53500,0.201745,2.4065,0.0582,31.3664,2.69
54000,0.205740,0.2589,0.0583,9.0952,2.66
54500,0.203585,0.2765,0.0581,6.0588,2.69
55000,0.203795,0.7611,0.0584,13.6417,2.51
55500,0.206056,0.1307,0.0579,6.0799,2.50
56000,0.206108,0.2533,0.0580,10.8384,2.67
56500,0.204584,0.1186,0.0578,7.9178,2.69
57000,0.204479,0.5415,0.0583,10.3266,2.64
57500,0.202376,0.1526,0.0583,5.9542,2.67
58000,0.202744,0.3155,0.0582,6.4332,2.59
58500,0.200063,0.2222,0.0581,12.2791,2.52
59000,0.201220,0.0239,0.0572,2.0698,2.68
59500,0.203270,0.0144,0.0579,1.8850,2.68
60000,0.202691,0.0106,0.0579,0.6429,2.50
60500,0.204373,0.0142,0.0578,1.1273,2.69
61000,0.202481,0.0317,0.0579,3.0652,2.51
61500,0.200326,0.0513,0.0578,4.2180,2.66
62000,0.201325,0.1375,0.0575,8.3353,2.54
62500,0.200904,0.2135,0.0576,19.9535,2.51
63000,0.200273,0.5862,0.0578,12.3587,2.50
63500,0.198644,0.0131,0.0579,1.1405,2.49
64000,0.199905,0.0225,0.0576,1.5593,2.50
64500,0.199643,0.0108,0.0578,0.8117,2.53
65000,0.198486,0.0205,0.0574,1.2088,2.54
65500,0.199222,0.0588,0.0573,5.5363,2.48
66000,0.199695,0.0026,0.0574,0.2069,2.69
66500,0.200326,0.0032,0.0573,0.2077,2.50
67000,0.201062,0.0940,0.0577,7.3724,2.70
67500,0.200221,0.0016,0.0571,0.0905,2.69
68000,0.198171,0.0378,0.0574,3.5112,2.50
68500,0.199432,0.0006,0.0575,0.0318,2.53
69000,0.198696,0.0023,0.0571,0.1558,2.69
69500,0.197487,0.0019,0.0571,0.0986,2.52
70000,0.197119,0.0181,0.0570,1.8273,2.51
70500,0.196751,0.0047,0.0569,0.4701,2.68
71000,0.197750,0.0760,0.0570,5.4205,2.52
71500,0.199853,0.0277,0.0572,2.7041,2.68
72000,0.197645,0.0986,0.0574,7.4382,2.54
72500,0.197803,0.0040,0.0569,0.3505,2.59
73000,0.196699,0.0017,0.0563,0.0810,2.52
73500,0.197014,0.0239,0.0571,1.5855,2.68
74000,0.195017,0.0004,0.0571,0.0171,2.68
74500,0.195858,0.0007,0.0569,0.0275,2.68
75000,0.197960,0.0020,0.0569,0.1400,2.53
75500,0.195753,0.1352,0.0571,7.1204,2.56
76000,0.197593,0.0022,0.0568,0.1108,2.52
76500,0.195332,0.0007,0.0568,0.0325,2.51
77000,0.196646,0.0014,0.0566,0.1691,2.53
77500,0.196331,0.0473,0.0567,5.7627,2.50
78000,0.195227,0.1238,0.0567,5.2820,2.63
78500,0.196804,0.0064,0.0568,0.7495,2.68
79000,0.196384,0.0005,0.0564,0.0282,2.53
79500,0.196857,0.0113,0.0565,1.5725,2.53
80000,0.196121,0.0048,0.0564,0.8853,2.51
80500,0.197067,0.0086,0.0569,0.5454,2.68
81000,0.197593,0.2470,0.0568,9.0895,2.68
81500,0.197172,0.0017,0.0564,0.1051,2.52
82000,0.197908,0.0008,0.0563,0.0530,2.51
82500,0.197172,0.0453,0.0564,4.1218,2.49
83000,0.198276,0.0223,0.0567,2.3611,2.70
83500,0.197803,0.0014,0.0563,0.1258,2.52
84000,0.198223,0.0023,0.0557,0.0886,2.52
84500,0.196857,0.0012,0.0562,0.1183,2.53
85000,0.196436,0.0039,0.0564,0.3239,2.50
85500,0.195069,0.0034,0.0565,0.2803,2.50
86000,0.196331,0.0016,0.0564,0.2444,2.69
86500,0.194596,0.0004,0.0561,0.0255,2.57
87000,0.194544,0.0118,0.0564,1.2838,2.54
87500,0.195122,0.0024,0.0566,0.2460,2.57
88000,0.194859,0.0041,0.0560,0.4178,2.67
88500,0.194912,0.0051,0.0564,0.4523,2.68
89000,0.194123,0.0031,0.0564,0.1760,2.69
