batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.689287,210.7149,0.0122,nan,2.05
500,0.452902,58.4595,0.0127,58.7811,1.96
1000,0.390822,33.0883,0.0162,34.5444,1.87
1500,0.342042,69.6562,0.0225,46.8167,1.98
2000,0.329636,25.3727,0.0294,22.1135,1.86
2500,0.304247,25.7644,0.0370,22.4720,1.86
3000,0.289214,17.7062,0.0441,18.3352,1.86
3500,0.277649,48.4016,0.0503,36.0959,1.88
4000,0.253732,17.5033,0.0573,20.2386,1.90
4500,0.259882,11.7019,0.0646,16.3793,1.97
5000,0.257990,12.0658,0.0720,15.8795,2.00
5500,0.248476,7.5364,0.0774,18.6639,1.87
6000,0.248476,9.9102,0.0837,15.0412,1.88
6500,0.243482,9.7897,0.0892,16.7520,1.86
7000,0.243324,5.4926,0.0954,15.8933,1.89
7500,0.243850,14.8360,0.1006,19.6489,1.87
8000,0.241852,7.7856,0.1068,72.7744,1.95
8500,0.238120,17.2526,0.1123,27.6420,1.95
9000,0.234598,4.8569,0.1164,11.8424,1.87
9500,0.230919,7.5270,0.1220,27.6475,1.87
10000,0.230761,19.4142,0.1270,24.6811,1.98
10500,0.232759,2.8012,0.1316,11.2236,1.89
11000,0.228974,3.0673,0.1357,10.7791,1.96
11500,0.228185,5.1899,0.1401,16.4337,1.92
12000,0.231444,5.8146,0.1446,15.1450,1.96
12500,0.222719,5.2466,0.1485,27.3470,1.89
13000,0.231077,1.8806,0.1522,7.9822,1.87
13500,0.230919,1.4185,0.1563,6.9974,1.87
14000,0.226083,1.8512,0.1594,9.8761,1.97
14500,0.225873,1.2112,0.1615,6.8484,1.98
15000,0.225189,5.6466,0.1662,15.0426,1.92
15500,0.225294,1.3464,0.1683,5.9649,1.98
16000,0.223349,5.6633,0.1723,12.4755,1.88
16500,0.221457,1.1019,0.1751,6.5643,1.87
17000,0.221089,1.8317,0.1757,8.6413,1.89
17500,0.223717,1.8710,0.1806,8.9475,1.88
18000,0.218303,1.9863,0.1830,8.3489,1.89
18500,0.217199,2.1034,0.1834,8.0363,1.98
19000,0.218146,2.1168,0.1877,23.8673,1.89
19500,0.221089,3.6125,0.1898,12.5357,1.89
20000,0.220984,2.1609,0.1905,9.0013,1.87
20500,0.215044,1.5980,0.1906,7.1653,1.97
21000,0.223402,2.3975,0.1959,12.2419,1.89
21500,0.220301,1.9121,0.1967,9.4422,1.90
22000,0.221142,1.5131,0.1989,15.0581,1.89
22500,0.217883,5.3930,0.2015,16.1132,1.97
23000,0.218198,1.3735,0.2010,9.2367,1.98
23500,0.216306,2.4203,0.2023,9.7241,1.98
24000,0.215465,0.9669,0.2016,5.6531,1.90
24500,0.217199,1.0461,0.2046,8.9304,1.89
25000,0.213625,2.4484,0.2056,10.0360,1.96
25500,0.218513,1.3205,0.2047,8.0820,1.90
26000,0.219722,0.7657,0.2079,5.3114,1.88
26500,0.217147,4.7506,0.2114,13.8458,1.93
27000,0.216674,1.3772,0.2094,8.1708,1.93
27500,0.216779,0.7967,0.2103,5.6542,1.97
28000,0.217515,0.8660,0.2097,6.5651,1.98
28500,0.212363,0.8201,0.2105,5.6693,1.92
29000,0.213572,0.8210,0.2126,5.3451,1.97
29500,0.219933,0.6346,0.2095,5.7019,1.88
30000,0.209157,1.2320,0.2118,6.8494,1.97
30500,0.215097,0.6555,0.2150,5.1853,1.92
31000,0.222876,0.8399,0.2121,6.0850,1.99
31500,0.219775,0.4666,0.2131,4.6752,1.98
32000,0.216779,1.1798,0.2187,7.9338,1.98
32500,0.216253,0.8000,0.2151,5.5762,1.98
