batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.700957,216.9391,0.0122,nan,1.95
500,0.987069,nan,0.3114,nan,1.85
1000,0.987069,nan,0.3246,nan,1.98
1500,0.987069,nan,0.3184,nan,1.98
2000,0.987069,nan,0.3529,nan,1.90
2500,0.987069,nan,0.3443,nan,1.97
3000,0.987069,nan,0.3529,nan,1.97
3500,0.987069,nan,0.3596,nan,1.85
4000,0.987069,nan,0.3756,nan,1.87
4500,0.987069,nan,0.3885,nan,1.94
5000,0.987069,nan,0.3709,nan,1.86
5500,0.987069,nan,0.4100,nan,1.87
6000,0.987069,nan,0.4103,nan,2.00
6500,0.987069,nan,0.4100,nan,1.99
7000,0.987069,nan,0.4161,nan,1.88
7500,0.987069,nan,0.4108,nan,1.88
8000,0.987069,nan,0.4034,nan,1.88
8500,0.987069,nan,0.4034,nan,1.93
9000,0.987069,nan,0.4033,nan,1.98
9500,0.987069,nan,0.4161,nan,1.87
10000,0.987069,nan,0.3981,nan,1.96
10500,0.987069,nan,0.4034,nan,1.89
11000,0.987069,nan,0.4103,nan,1.98
11500,0.987069,nan,0.3999,nan,1.88
12000,0.987069,nan,0.4174,nan,1.90
12500,0.987069,nan,0.4053,nan,1.88
13000,0.987069,nan,0.4027,nan,1.87
13500,0.987069,nan,0.4161,nan,1.88
14000,0.987069,nan,0.3999,nan,1.89
14500,0.987069,nan,0.4208,nan,1.88
15000,0.987069,nan,0.3978,nan,1.90
15500,0.987069,nan,0.4066,nan,1.99
