batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.706686,161.9671,0.0122,nan,2.07
500,0.462784,59.9657,0.0124,72.3542,1.93
1000,0.375210,30.0203,0.0141,47.3069,1.86
1500,0.338047,25.8526,0.0172,35.8042,1.85
2000,0.297098,25.0358,0.0205,54.0493,1.86
2500,0.289161,28.4007,0.0237,35.6396,1.85
3000,0.286953,17.7020,0.0270,32.6571,1.86
3500,0.269765,19.3025,0.0303,28.7323,1.97
4000,0.270500,35.2892,0.0333,49.9451,1.93
4500,0.257675,17.6239,0.0367,35.7592,1.98
5000,0.254258,11.6797,0.0395,23.4910,1.85
5500,0.249579,7.3116,0.0430,34.6137,1.90
6000,0.247004,32.4728,0.0454,43.4381,1.86
6500,0.241695,7.4041,0.0485,32.9756,1.86
7000,0.242641,7.7726,0.0510,22.7129,1.97
7500,0.239960,6.7211,0.0534,20.0720,1.86
8000,0.237227,3.4596,0.0561,34.6928,1.86
8500,0.237122,8.2221,0.0588,34.4701,1.87
9000,0.233968,12.0644,0.0617,28.6775,1.85
9500,0.227712,3.1562,0.0634,14.7777,1.86
10000,0.234336,3.2002,0.0660,26.8512,1.97
10500,0.233442,3.1693,0.0682,12.8897,1.90
11000,0.232811,2.5049,0.0703,13.1267,1.87
11500,0.226293,4.6947,0.0726,23.7911,1.99
12000,0.234336,3.9988,0.0745,15.6159,1.87
12500,0.232496,3.3676,0.0765,13.2325,1.87
13000,0.228185,10.3325,0.0791,29.5299,1.88
13500,0.229605,2.2196,0.0805,10.7524,1.98
14000,0.229237,1.7737,0.0823,10.7001,1.86
14500,0.229447,5.4009,0.0848,18.2151,2.02
15000,0.230814,1.8884,0.0859,11.9389,1.87
15500,0.230288,0.8160,0.0880,9.9984,1.97
16000,0.229447,1.5560,0.0897,9.3384,1.99
16500,0.222614,1.1542,0.0912,10.0362,1.97
17000,0.225767,1.4272,0.0931,8.1878,1.87
17500,0.227292,2.4548,0.0944,17.0390,1.98
18000,0.219775,1.2198,0.0957,10.2334,1.99
18500,0.220931,1.3665,0.0977,10.9119,1.99
19000,0.222456,1.2759,0.0989,11.7737,1.89
19500,0.221299,0.8707,0.1005,9.8907,1.94
20000,0.219670,1.3490,0.1018,10.5414,1.88
20500,0.219144,1.7749,0.1032,11.2772,2.00
21000,0.216201,2.6986,0.1047,15.2753,1.88
21500,0.213888,1.0814,0.1055,10.3378,1.87
22000,0.216411,2.4263,0.1071,12.8211,1.88
22500,0.216095,0.7793,0.1072,8.3391,1.93
23000,0.218513,0.5397,0.1080,6.3988,1.99
23500,0.211838,0.9838,0.1096,7.9011,1.88
24000,0.214571,0.6444,0.1103,5.8565,2.00
24500,0.217515,2.4707,0.1119,22.2800,1.87
25000,0.216621,0.4442,0.1121,4.6721,1.98
25500,0.219670,1.5521,0.1135,7.7877,2.00
26000,0.218619,0.5923,0.1136,7.4219,1.89
26500,0.215202,0.3643,0.1152,6.2299,1.98
27000,0.215465,0.9833,0.1147,9.1336,1.94
29000,0.210313,0.8187,0.1175,7.4371,1.87
29500,0.210366,0.7314,0.1187,6.3063,1.89
30000,0.216306,0.2229,0.1179,3.8486,1.89
30500,0.213677,0.2135,0.1190,2.8043,1.99
31000,0.214781,2.2366,0.1204,14.2636,2.00
31500,0.213310,0.3264,0.1193,5.3458,1.89
32000,0.214939,0.7252,0.1200,9.1865,1.88
32500,0.213835,0.1702,0.1195,2.8395,1.88
33000,0.214781,0.2777,0.1205,4.5920,1.99
33500,0.211680,0.4818,0.1201,8.6708,1.89
34000,0.211365,0.8408,0.1222,7.5200,1.87
34500,0.211943,0.1803,0.1211,4.2881,1.87
35000,0.215675,1.1617,0.1222,8.9106,1.89
35500,0.212994,0.3137,0.1218,5.5055,1.99
36000,0.212416,1.5824,0.1217,12.5530,2.00
36500,0.209788,0.2089,0.1228,4.1801,1.99
37000,0.210418,0.2726,0.1226,4.3628,1.98
37500,0.210261,0.1006,0.1227,3.6959,1.89
38000,0.209420,0.5002,0.1244,5.9266,1.91
38500,0.211785,0.2227,0.1236,4.2647,1.89
39000,0.213783,0.1109,0.1237,3.6546,1.96
39500,0.212836,0.1782,0.1229,4.9827,1.90
40000,0.212731,0.3474,0.1227,4.4652,1.98
40500,0.214151,0.9174,0.1253,9.8651,1.89
41000,0.210892,0.3482,0.1240,6.1769,1.88
41500,0.213047,0.1693,0.1233,4.9129,1.89
42000,0.211102,0.1602,0.1234,4.1156,1.90
42500,0.207632,0.1270,0.1229,3.4064,2.00
43000,0.211417,0.2861,0.1233,6.6161,2.00
43500,0.208000,0.1980,0.1227,2.5458,1.99
44000,0.207790,0.1991,0.1233,5.2302,1.99
44500,0.205635,0.2309,0.1232,5.1960,2.00
45000,0.206266,0.1918,0.1237,5.4260,1.89
45500,0.203532,0.0676,0.1225,2.0168,1.87
46000,0.206739,0.2240,0.1225,5.2779,1.89
46500,0.206266,0.1300,0.1230,2.8835,1.98
47000,0.202849,0.2405,0.1231,6.2223,1.89
47500,0.201114,0.0385,0.1223,2.8822,2.00
48000,0.201745,0.0067,0.1217,0.2089,1.99
48500,0.202744,0.2755,0.1226,3.6628,2.00
49000,0.204111,0.1534,0.1237,2.4734,1.96
49500,0.201587,0.3201,0.1229,4.8204,1.87
50000,0.204058,0.0164,0.1225,0.5260,1.90
50500,0.205582,0.8834,0.1232,7.0321,1.88
51000,0.205477,0.0505,0.1214,1.6243,1.86
51500,0.207265,0.1760,0.1219,5.5908,1.97
52000,0.205582,0.0178,0.1218,0.9161,1.88
52500,0.203848,0.1053,0.1211,7.8830,1.90
53000,0.204531,0.0156,0.1222,0.6351,1.89
53500,0.204636,0.3751,0.1240,6.9725,2.00
54000,0.206213,0.0122,0.1201,0.7278,1.91
54500,0.203112,0.0397,0.1211,1.9769,1.99
55000,0.202218,0.0734,0.1216,3.1134,1.95
55500,0.204636,0.0661,0.1218,1.4929,1.99
56000,0.204847,0.0148,0.1200,0.6489,1.91
56500,0.200063,0.0420,0.1210,2.1277,1.89
57000,0.200694,0.4990,0.1202,9.5808,1.89
57500,0.203322,0.2528,0.1199,5.0453,2.01
58000,0.201114,0.0525,0.1199,2.3292,1.92
58500,0.200904,1.0369,0.1203,8.2803,1.98
59000,0.201167,0.0752,0.1195,8.2509,1.87
59500,0.202008,0.0262,0.1202,0.8667,2.01
60000,0.203480,0.0174,0.1193,0.7626,2.00
60500,0.202218,0.0383,0.1192,2.1221,2.00
61000,0.203690,0.0500,0.1190,1.6740,1.99
61500,0.202796,0.0133,0.1183,1.3538,1.90
62000,0.201955,0.1288,0.1189,3.4305,2.01
62500,0.201693,0.0105,0.1193,0.4371,1.99
63000,0.203900,0.1270,0.1178,5.2700,2.01
63500,0.201798,0.0057,0.1177,0.2481,1.90
64000,0.202271,0.0050,0.1194,0.1927,1.88
64500,0.201745,0.0088,0.1179,0.3903,1.98
65000,0.199958,0.3646,0.1173,8.4609,1.99
65500,0.200641,0.0292,0.1185,1.9571,2.00
66000,0.197330,0.0402,0.1178,1.9661,2.00
66500,0.199275,0.0085,0.1169,0.4811,2.00
67000,0.198013,0.0122,0.1178,1.1922,1.99
67500,0.199905,0.0038,0.1166,0.2043,1.97
68000,0.200168,0.0013,0.1175,0.0738,2.01
68500,0.198486,0.0448,0.1158,1.5567,1.97
69000,0.195753,0.0032,0.1170,0.1765,2.00
69500,0.196804,0.0023,0.1166,0.1085,1.90
70000,0.198486,0.0047,0.1165,0.3364,1.89
70500,0.197540,0.0030,0.1158,0.1226,2.01
71000,0.197277,0.0465,0.1157,2.7909,1.89
71500,0.196331,0.1259,0.1189,4.3245,1.89
72000,0.199169,0.0536,0.1149,2.3462,1.89
