batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.681928,257.8536,0.0122,nan,2.03
500,0.458368,44.5478,0.0131,46.6001,1.85
1000,0.407696,35.3990,0.0199,22.0906,1.87
1500,0.355761,34.4090,0.0323,27.3386,1.86
2000,0.325484,30.4538,0.0470,50.8455,1.86
2500,0.313131,20.6242,0.0611,15.6518,1.97
3000,0.289687,24.4165,0.0748,17.4921,1.97
3500,0.284640,12.7106,0.0895,10.4319,1.84
4000,0.272445,15.6188,0.1026,13.0852,1.97
4500,0.268398,12.2360,0.1165,11.7013,1.86
5000,0.258148,20.8349,0.1304,14.0407,1.86
5500,0.256045,11.2291,0.1426,14.2428,1.98
6000,0.251314,9.0685,0.1556,11.8445,1.97
6500,0.251945,8.0875,0.1692,24.3046,1.91
7000,0.244060,6.6837,0.1801,9.8134,1.97
7500,0.246215,9.6153,0.1899,16.9835,1.87
8000,0.235071,8.9520,0.2013,12.2805,1.89
8500,0.243482,3.8900,0.2108,7.1448,1.88
9000,0.248844,9.2114,0.2221,12.4319,1.88
9500,0.235019,7.1573,0.2301,13.6453,1.98
10000,0.236386,5.2868,0.2378,8.7140,1.86
10500,0.228816,4.1367,0.2499,9.9053,1.96
11000,0.241327,7.7083,0.2581,11.2130,1.87
11500,0.235860,6.3171,0.2631,16.1868,1.89
12000,0.230235,2.9717,0.2696,11.8148,1.89
12500,0.221352,4.5024,0.2780,8.3304,1.88
13000,0.226083,4.8959,0.2895,8.5044,1.87
13500,0.230971,2.9268,0.2923,10.2264,1.98
14000,0.230341,1.6600,0.2988,5.5511,1.85
14500,0.218671,3.9665,0.3025,8.2543,1.88
15000,0.219039,2.5390,0.3073,7.2793,1.87
15500,0.221194,1.6947,0.3128,6.0478,1.97
16000,0.223717,3.3164,0.3160,7.7280,1.99
16500,0.219039,1.6506,0.3208,7.0495,1.98
17000,0.213467,3.2168,0.3273,8.4445,1.97
17500,0.220458,2.4379,0.3306,7.8127,1.98
18000,0.215254,9.2284,0.3393,27.6054,1.99
