batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,2.054142,245.4089,0.0122,nan,2.06
500,0.577744,61.8106,0.0123,64.7072,1.88
1000,0.418156,46.8006,0.0132,54.9394,1.96
1500,0.349926,30.6585,0.0152,49.7825,1.85
2000,0.308663,34.6940,0.0172,53.9267,1.85
2500,0.295889,22.1516,0.0193,40.8098,1.96
3000,0.287479,24.5639,0.0214,48.3894,1.85
3500,0.271499,16.7283,0.0235,43.7271,1.91
4000,0.269607,43.6262,0.0255,63.2670,1.98
4500,0.259567,14.1829,0.0276,41.1097,1.96
5000,0.265507,15.1305,0.0295,42.9983,1.88
5500,0.261039,14.1970,0.0316,44.7647,1.86
6000,0.251840,7.8723,0.0334,27.9931,1.95
6500,0.253574,7.1822,0.0354,27.8779,1.97
7000,0.246531,9.0823,0.0372,32.1200,1.88
7500,0.251682,7.1915,0.0390,29.4339,1.88
8000,0.249947,7.9203,0.0408,31.4030,1.97
8500,0.245690,6.0059,0.0425,30.4141,1.99
9000,0.246478,22.5756,0.0440,51.0291,1.86
9500,0.246058,3.8869,0.0459,24.2628,1.97
10000,0.242536,9.6902,0.0475,35.0384,1.88
10500,0.247109,4.2423,0.0491,27.5164,1.86
11000,0.247056,3.5445,0.0507,25.6853,1.98
11500,0.241800,2.3773,0.0525,24.5332,1.87
12000,0.244954,4.4712,0.0537,28.8367,1.97
12500,0.248160,7.1391,0.0553,33.4138,1.85
13000,0.241537,14.5449,0.0566,41.1451,1.89
13500,0.241642,2.2430,0.0580,17.6491,1.86
14000,0.240643,3.3769,0.0592,23.8570,1.99
14500,0.232864,7.0575,0.0609,31.8553,1.87
15000,0.235650,3.8981,0.0622,24.6550,1.87
15500,0.243272,1.6597,0.0635,14.5859,1.96
16000,0.236123,2.8506,0.0648,30.0966,1.96
16500,0.241327,1.1137,0.0661,18.6199,1.90
17000,0.239592,2.1407,0.0673,19.5812,1.89
17500,0.234756,1.9281,0.0685,22.4883,1.91
18000,0.236964,5.1078,0.0698,34.5024,1.97
18500,0.233862,6.8700,0.0708,32.9591,1.86
19000,0.235755,1.4996,0.0721,15.5505,1.89
19500,0.234809,1.9121,0.0732,18.5312,1.99
20000,0.235702,1.0338,0.0744,13.7594,1.98
20500,0.235387,1.6091,0.0755,21.5657,1.86
21000,0.234966,3.6464,0.0765,22.0332,1.87
21500,0.239750,1.0522,0.0776,11.6972,1.89
22000,0.234546,1.1104,0.0786,11.8100,1.97
22500,0.235124,1.8968,0.0797,18.2640,1.97
23000,0.235807,4.7710,0.0803,28.7097,1.91
23500,0.237595,0.7612,0.0814,11.0050,1.89
24000,0.233705,1.1445,0.0825,12.3076,1.88
24500,0.235282,1.2799,0.0835,15.7914,1.96
25000,0.229762,3.6614,0.0842,27.0888,1.98
25500,0.235860,0.7100,0.0853,11.5927,1.98
26000,0.234336,1.0429,0.0859,12.2780,1.96
26500,0.234704,0.7132,0.0869,11.9717,2.08
27000,0.241116,0.4758,0.0878,8.0374,1.96
27500,0.234651,5.1552,0.0883,28.8984,1.97
28000,0.236543,0.6426,0.0897,12.1495,1.98
28500,0.231655,0.8581,0.0899,14.6519,1.95
29000,0.232653,1.1462,0.0908,15.8571,1.96
29500,0.232233,0.4368,0.0912,10.1784,1.96
30000,0.235439,0.1866,0.0923,6.2763,1.97
30500,0.232916,1.7083,0.0929,20.7335,1.95
31000,0.234598,0.6323,0.0935,10.0958,1.97
31500,0.232128,6.1497,0.0939,35.5674,1.97
32000,0.234493,1.1076,0.0949,12.3527,1.90
32500,0.235913,4.3450,0.0951,28.4075,1.90
33000,0.231970,0.3027,0.0960,7.7523,1.90
33500,0.231129,0.4870,0.0965,9.3016,1.88
34000,0.230078,1.5775,0.0969,15.3027,1.88
34500,0.230498,1.1925,0.0972,18.6402,1.90
35000,0.227817,0.8440,0.0983,12.2533,1.98
35500,0.227502,2.4292,0.0983,21.5938,1.98
36000,0.232233,0.5327,0.0990,11.8447,1.88
36500,0.231129,0.4095,0.0997,8.9036,1.87
37000,0.232548,0.6336,0.0998,9.8978,1.89
37500,0.229237,3.2973,0.1000,30.6718,1.98
38000,0.229815,0.5606,0.1004,17.6637,1.93
38500,0.230078,0.8823,0.1011,11.4924,1.88
39000,0.231129,0.7595,0.1015,12.6579,1.89
39500,0.229973,0.8973,0.1016,15.3812,1.88
40000,0.228448,0.5863,0.1016,11.9198,1.91
40500,0.228291,0.0803,0.1023,3.2080,1.88
41000,0.227607,0.1892,0.1028,5.2548,1.98
41500,0.227029,0.3082,0.1031,7.8626,1.90
42000,0.230603,0.5193,0.1031,14.0172,1.99
42500,0.227082,0.6235,0.1035,10.0330,1.98
43000,0.227712,0.2271,0.1033,5.5639,1.97
43500,0.227292,0.2166,0.1041,6.9805,1.90
44000,0.229079,0.2383,0.1041,7.9443,1.97
44500,0.224769,0.2702,0.1042,7.5557,1.97
45000,0.228921,0.2727,0.1044,8.9434,1.97
45500,0.224243,0.3210,0.1046,8.1674,1.99
46000,0.226346,0.1240,0.1047,4.0859,1.98
46500,0.225505,0.1792,0.1046,6.0716,1.88
47000,0.225767,0.7780,0.1053,11.1256,1.92
47500,0.225767,0.1255,0.1047,4.5840,1.88
48000,0.226871,0.7140,0.1056,10.5203,1.88
48500,0.224558,0.2028,0.1055,5.9904,1.88
49000,0.226503,0.3284,0.1058,10.4911,1.88
49500,0.227712,0.5111,0.1059,9.7102,2.00
50000,0.224033,0.1400,0.1060,6.7108,1.90
