batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.661165,181.6158,0.0122,nan,2.10
500,0.463362,45.5595,0.0127,52.5866,1.86
1000,0.405383,29.5273,0.0162,32.9919,1.88
1500,0.350715,72.7431,0.0225,41.9999,1.89
2000,0.319649,26.8886,0.0295,43.9999,2.00
2500,0.303038,17.0047,0.0366,17.1067,1.88
3000,0.278333,17.3088,0.0440,25.1166,1.90
3500,0.265402,16.6698,0.0506,58.7817,1.88
4000,0.262773,20.9457,0.0578,32.1034,1.90
4500,0.254205,12.7037,0.0653,24.8091,1.88
5000,0.251682,9.6966,0.0711,13.1556,1.97
5500,0.245059,8.3691,0.0784,45.9441,1.93
6000,0.244586,13.5201,0.0845,22.3406,1.92
6500,0.240118,10.0357,0.0902,16.8105,1.97
7000,0.237384,5.8518,0.0960,16.3206,2.00
7500,0.235071,22.9408,0.1021,27.2235,2.02
8000,0.231865,3.5767,0.1076,11.3800,1.88
8500,0.227397,28.0078,0.1133,26.3239,1.94
9000,0.225662,4.2819,0.1180,12.2255,1.91
9500,0.231339,4.7164,0.1231,12.0673,1.91
10000,0.224348,5.3027,0.1282,11.0592,1.91
10500,0.223034,6.1756,0.1328,13.3441,1.95
11000,0.225873,3.7512,0.1370,10.8453,1.90
11500,0.222876,3.3777,0.1427,10.2321,1.91
12000,0.224033,2.5694,0.1470,9.1240,1.91
12500,0.219354,5.2766,0.1498,12.2445,2.00
13000,0.225557,2.9156,0.1542,9.0713,1.98
13500,0.221825,1.7018,0.1579,6.1353,1.89
14000,0.213888,2.7777,0.1615,10.9702,1.93
14500,0.223507,5.5105,0.1652,13.7842,2.00
15000,0.217357,3.7709,0.1696,11.3609,1.91
15500,0.221037,2.5127,0.1704,10.0060,2.01
16000,0.215990,1.6084,0.1753,8.4750,2.02
16500,0.213625,1.3214,0.1777,5.9118,1.91
17000,0.215938,2.3992,0.1811,8.5800,1.92
17500,0.213467,1.7935,0.1839,7.6224,1.93
18000,0.218198,1.3952,0.1846,11.5638,1.92
18500,0.215833,2.3513,0.1899,9.5789,1.97
19000,0.212363,5.4568,0.1930,13.6593,2.00
19500,0.213677,1.5943,0.1932,8.8619,2.03
20000,0.211207,0.5196,0.1947,3.6510,1.91
20500,0.213835,3.9980,0.1985,16.3631,1.96
21000,0.216726,5.9271,0.2011,39.4409,2.02
21500,0.212468,1.9034,0.2009,8.3454,2.00
22000,0.208316,1.5309,0.2031,7.3469,2.02
22500,0.216516,2.3757,0.2031,10.3579,1.92
23000,0.212416,0.9038,0.2059,6.0915,1.92
23500,0.208579,1.7673,0.2062,6.2267,2.01
24000,0.213625,1.5448,0.2088,6.9979,2.02
24500,0.208106,1.2826,0.2071,38.7633,2.02
25000,0.207580,1.1818,0.2113,7.1482,1.93
25500,0.212468,3.9082,0.2152,15.1981,2.04
26000,0.207632,0.4194,0.2103,4.3939,1.93
26500,0.210366,4.4792,0.2171,11.6271,1.98
27000,0.209315,4.4790,0.2190,13.5766,2.03
27500,0.211575,0.9896,0.2153,6.7711,1.92
