batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.709472,186.3345,0.0122,nan,2.17
500,0.588362,56.5602,0.0124,54.7298,2.09
1000,0.405540,34.9395,0.0157,37.0170,1.99
1500,0.354605,28.4233,0.0222,26.0433,2.10
2000,0.310397,19.1283,0.0290,18.4976,1.97
2500,0.298465,22.1375,0.0358,21.2888,1.98
3000,0.278333,34.3603,0.0427,23.8221,2.14
3500,0.266085,16.9692,0.0502,21.8369,2.11
4000,0.255992,12.1636,0.0564,15.8486,2.07
4500,0.246846,13.3521,0.0638,17.6746,2.12
5000,0.260250,13.9860,0.0704,16.0246,1.99
5500,0.243692,24.9553,0.0764,20.6921,2.11
6000,0.237489,7.2110,0.0834,25.0323,1.99
6500,0.231234,5.8804,0.0886,10.7894,2.11
7000,0.241800,4.3287,0.0946,9.7995,2.09
7500,0.238804,8.3765,0.1006,18.8339,2.02
8000,0.236175,6.8243,0.1053,13.8630,1.99
8500,0.229184,10.0874,0.1106,17.3518,1.99
9000,0.231024,4.8119,0.1164,10.5903,2.11
9500,0.230498,3.9390,0.1212,10.5819,1.99
10000,0.228396,20.8427,0.1264,35.0768,2.00
10500,0.226135,4.3510,0.1310,12.3536,2.11
11000,0.219565,4.4939,0.1361,11.3977,2.12
11500,0.225925,5.9399,0.1390,31.0103,2.00
12000,0.217883,4.3124,0.1447,11.2425,2.08
12500,0.219144,7.3229,0.1488,15.3706,2.10
13000,0.221772,1.8774,0.1519,8.4035,1.99
13500,0.223139,2.7132,0.1556,12.8913,2.01
14000,0.214045,4.8663,0.1599,13.5742,2.02
14500,0.228501,2.6749,0.1631,13.8470,2.14
15000,0.214886,2.6435,0.1654,11.4366,1.99
15500,0.216095,13.0721,0.1697,20.7649,2.01
16000,0.218198,1.3403,0.1732,6.6120,2.01
16500,0.216989,0.7930,0.1744,4.9367,2.05
17000,0.214939,6.6022,0.1791,13.9869,2.11
17500,0.216201,2.3150,0.1805,9.0769,2.03
18000,0.210261,2.0227,0.1835,12.8779,2.07
18500,0.215990,1.2434,0.1858,6.6118,2.07
19000,0.211365,1.1897,0.1864,6.7534,2.02
19500,0.214361,1.6251,0.1895,7.6618,2.09
20000,0.209945,2.5496,0.1921,10.6079,2.02
20500,0.213572,8.8559,0.1941,18.5673,2.02
21000,0.210786,0.6450,0.1941,5.3249,2.11
21500,0.210366,1.5137,0.1984,6.6324,2.01
22000,0.207107,1.6744,0.1983,8.6873,2.03
22500,0.213099,2.4007,0.1991,9.5722,2.10
23000,0.207317,4.2896,0.2029,13.1290,2.02
23500,0.210208,0.7373,0.2007,4.8274,2.01
24000,0.208947,0.7199,0.2023,5.1979,2.01
24500,0.205057,0.8607,0.2035,7.1798,2.12
25000,0.210576,1.2840,0.2049,11.8934,2.07
25500,0.210050,0.3389,0.2066,2.9074,2.05
26000,0.205793,0.7641,0.2073,5.5322,2.00
26500,0.211312,0.4744,0.2065,4.1238,2.10
27000,0.208474,0.7577,0.2085,5.1246,2.06
27500,0.206897,0.8747,0.2103,18.1411,2.00
28000,0.209735,2.3774,0.2102,7.0862,2.01
28500,0.208631,0.3869,0.2083,4.0916,2.09
29000,0.210313,0.9786,0.2097,7.9408,2.11
29500,0.204689,0.5907,0.2113,4.5918,2.01
30000,0.203953,0.7533,0.2108,6.7323,2.00
30500,0.200904,0.3176,0.2127,2.9489,2.13
31000,0.201482,2.3805,0.2179,10.0276,2.01
31500,0.204163,0.8582,0.2119,6.7453,2.02
32000,0.209262,0.8212,0.2150,7.6955,2.11
32500,0.205582,0.3627,0.2147,3.7865,2.05
33000,0.202639,0.3488,0.2117,4.3694,2.02
33500,0.200326,0.5191,0.2144,4.3692,2.02
34000,0.204689,0.5641,0.2146,5.5475,2.07
34500,0.202113,0.6437,0.2159,5.6134,2.13
35000,0.207632,0.2482,0.2135,3.0729,2.12
35500,0.204373,2.6872,0.2207,10.6155,2.11
36000,0.206056,1.3206,0.2197,9.4792,2.11
36500,0.201220,0.2648,0.2148,3.7059,2.01
37000,0.202534,0.1157,0.2155,1.9073,2.04
37500,0.200484,0.2516,0.2152,3.3479,2.03
38000,0.204163,0.5280,0.2132,5.0845,2.01
38500,0.200431,0.3161,0.2164,4.3753,2.01
39000,0.197435,0.0958,0.2142,2.6239,2.09
39500,0.201535,1.3540,0.2112,8.4946,2.13
40000,0.199537,0.2970,0.2138,3.3578,2.00
40500,0.207107,0.1398,0.2130,2.4571,1.99
41000,0.202376,0.1728,0.2126,2.2826,2.13
41500,0.199169,0.3612,0.2142,3.6152,2.02
42000,0.198802,3.6270,0.2126,13.2275,2.11
42500,0.200063,0.1872,0.2117,3.5279,2.12
43000,0.194386,0.7571,0.2125,8.6703,2.11
43500,0.195858,0.2447,0.2116,3.8675,2.00
44000,0.196857,0.4773,0.2111,3.3070,2.11
44500,0.198276,0.2246,0.2120,3.8814,2.05
45000,0.198907,0.2076,0.2109,3.3593,2.00
45500,0.201850,0.3173,0.2094,4.8229,2.15
46000,0.196331,0.1620,0.2163,2.2458,2.02
46500,0.194439,0.4418,0.2116,6.2446,2.05
47000,0.193335,0.0909,0.2072,2.1600,2.04
47500,0.191074,0.1998,0.2098,3.2430,2.03
48000,0.194596,0.0619,0.2086,1.9632,2.00
48500,0.195437,0.5000,0.2090,6.2585,2.03
49000,0.192546,0.1175,0.2043,2.3736,2.05
