batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.687132,218.9120,0.0122,nan,2.02
500,0.493324,57.3200,0.0123,64.6081,1.83
1000,0.374054,40.2504,0.0130,53.3050,1.98
1500,0.319123,25.2483,0.0144,42.6907,1.84
2000,0.298465,20.4376,0.0158,38.8292,1.85
2500,0.274601,18.8683,0.0172,39.3601,1.88
3000,0.264508,14.1950,0.0186,32.2775,1.88
3500,0.259357,12.7628,0.0200,32.4814,1.95
4000,0.254205,10.6395,0.0213,34.5268,1.85
4500,0.252050,9.0462,0.0227,27.2919,1.86
5000,0.245217,11.8448,0.0239,35.7676,1.84
5500,0.245952,6.9327,0.0252,28.9921,1.90
6000,0.237752,5.4112,0.0264,27.0048,1.98
6500,0.237489,7.8680,0.0276,30.3027,1.99
7000,0.232969,28.8304,0.0287,50.2857,1.97
7500,0.232706,3.4050,0.0300,22.7416,1.87
8000,0.235177,3.7363,0.0313,20.8350,1.95
8500,0.231024,4.0111,0.0322,22.0365,2.00
9000,0.231444,4.5579,0.0333,25.3931,1.98
9500,0.226188,2.8843,0.0344,22.1456,1.87
10000,0.232759,5.7286,0.0354,32.0088,1.93
10500,0.222561,2.7530,0.0364,19.0744,1.89
11000,0.234336,3.2311,0.0374,23.0985,1.87
11500,0.228764,1.5451,0.0384,12.6175,1.87
12000,0.226503,5.0547,0.0393,25.1878,1.87
12500,0.228291,1.5894,0.0403,16.3346,1.99
13000,0.227344,2.2877,0.0412,20.4653,1.97
13500,0.224085,2.7868,0.0421,20.9170,1.89
14000,0.226188,0.8498,0.0430,10.3551,1.98
14500,0.226871,3.2383,0.0438,27.2919,1.89
15000,0.225978,2.6336,0.0447,21.0778,1.89
15500,0.221825,6.1999,0.0455,38.7440,1.97
16000,0.222824,2.0741,0.0464,18.4025,1.88
16500,0.218040,5.0661,0.0469,27.8577,1.87
17000,0.222035,1.8773,0.0480,16.2160,1.89
17500,0.222771,1.3110,0.0488,13.6357,1.98
18000,0.219670,5.5757,0.0493,36.2543,1.98
18500,0.219039,1.9444,0.0502,16.9306,1.90
19000,0.225452,1.1298,0.0509,14.8194,1.88
19500,0.218513,0.6510,0.0517,9.2277,1.99
20000,0.222876,2.1119,0.0522,17.8354,1.98
20500,0.220090,1.2757,0.0530,16.7804,1.89
21000,0.221878,3.2197,0.0536,31.4346,1.98
21500,0.219354,7.8625,0.0542,36.2053,1.89
22000,0.213520,4.6677,0.0549,28.4158,1.89
22500,0.219354,1.2160,0.0553,12.5353,1.90
23000,0.217883,0.4598,0.0562,9.2864,1.99
23500,0.210156,2.3806,0.0568,20.5404,1.87
24000,0.216463,1.0851,0.0574,14.1484,1.92
24500,0.210366,1.7413,0.0577,17.1830,1.98
25000,0.215622,1.1274,0.0584,13.6987,1.97
25500,0.217988,0.4070,0.0590,7.3909,1.88
26000,0.213572,4.2662,0.0594,27.8340,1.98
26500,0.215833,0.9930,0.0602,12.9283,1.98
27000,0.217830,2.1814,0.0604,20.0682,1.87
27500,0.215728,0.9046,0.0610,15.5759,1.94
28000,0.214361,0.1861,0.0614,4.7583,1.88
28500,0.213677,1.2155,0.0617,14.6771,1.98
29000,0.210786,0.3479,0.0623,5.5018,1.98
29500,0.213047,0.9938,0.0627,13.9305,1.88
30000,0.211102,0.2551,0.0631,5.9742,1.88
30500,0.214045,1.0722,0.0634,14.5545,1.97
31000,0.211680,1.3421,0.0639,15.8470,1.98
31500,0.215044,0.6155,0.0645,11.1131,1.88
32000,0.211154,1.8374,0.0646,18.3277,1.88
32500,0.213362,1.6928,0.0649,20.5253,1.88
33000,0.212784,0.7818,0.0648,12.8931,1.98
33500,0.211733,0.9887,0.0656,15.3180,1.99
34000,0.214834,0.6723,0.0660,11.2518,1.89
34500,0.213467,0.5915,0.0661,9.7948,1.99
35000,0.212574,0.4962,0.0665,9.8308,1.88
35500,0.214676,2.1865,0.0667,17.9160,1.96
36000,0.213047,0.6431,0.0668,13.3400,2.00
36500,0.215307,0.0665,0.0672,3.0489,1.94
37000,0.209893,1.2372,0.0674,13.9304,1.98
37500,0.212521,0.2291,0.0671,5.8453,1.88
38000,0.208894,0.9237,0.0679,11.2447,1.98
38500,0.212679,0.1043,0.0679,5.4413,1.99
39000,0.210366,1.8010,0.0681,20.8535,1.88
39500,0.208789,0.3173,0.0683,6.3760,1.93
40000,0.213257,0.9163,0.0686,9.2236,1.94
40500,0.213047,0.0778,0.0688,2.9366,1.87
41000,0.213677,0.3099,0.0688,7.5026,1.90
41500,0.211049,0.7567,0.0686,11.6999,1.95
42000,0.210261,0.9277,0.0692,12.7605,1.89
42500,0.209683,0.3280,0.0691,13.3204,1.90
43000,0.207948,0.1972,0.0687,5.8717,1.98
