batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.705267,195.5663,0.0075,176.9717,1.92
500,0.787794,188.9943,0.0075,189.4996,1.23
1000,0.621426,64.5470,0.0075,55.5221,1.22
1500,0.591516,74.0819,0.0075,56.5197,1.27
2000,0.572540,52.4201,0.0075,46.7532,1.24
2500,0.562815,55.0181,0.0076,44.7777,1.27
3000,0.545101,57.6806,0.0076,45.0468,1.27
3500,0.542210,66.4738,0.0076,45.6653,1.25
4000,0.521499,52.5983,0.0076,40.5347,1.24
4500,0.523024,52.4397,0.0076,39.7636,1.25
5000,0.509882,62.6147,0.0076,41.0749,1.29
5500,0.501209,52.2812,0.0076,37.5205,1.26
6000,0.495269,48.8456,0.0076,38.4984,1.24
6500,0.496110,36.8063,0.0076,33.7109,1.32
7000,0.485229,48.2731,0.0076,39.7538,1.27
7500,0.476030,41.3481,0.0076,36.5005,1.27
8000,0.469197,49.4345,0.0076,38.0527,1.26
8500,0.466411,53.8704,0.0076,42.5618,1.26
9000,0.461259,44.6161,0.0076,38.2488,1.26
9500,0.459788,44.4865,0.0076,40.4378,1.28
10000,0.450904,42.7017,0.0076,38.1169,1.26
10500,0.443124,42.6399,0.0075,38.1319,1.59
11000,0.440286,41.6676,0.0075,37.6743,1.25
11500,0.433768,34.4748,0.0075,36.4076,1.29
12000,0.434031,40.1183,0.0075,40.1941,1.30
12500,0.429352,51.7963,0.0074,44.0086,1.28
13000,0.420732,52.9806,0.0074,45.1313,1.26
13500,0.418366,37.3808,0.0074,40.6587,1.29
14000,0.414476,38.7425,0.0074,40.7108,1.33
14500,0.412742,35.4462,0.0074,39.5144,1.29
15000,0.408852,36.3907,0.0073,39.4069,1.27
15500,0.406329,29.8870,0.0073,36.9232,1.27
16000,0.404384,40.7427,0.0073,48.0285,1.34
16500,0.403595,32.6579,0.0073,40.2808,2.19
17000,0.402334,38.2533,0.0072,45.7168,1.20
17500,0.395606,39.4852,0.0072,43.8830,1.22
18000,0.393608,31.3619,0.0072,39.4328,1.26
18500,0.394712,34.5573,0.0072,43.1167,1.24
19000,0.393766,78.8513,0.0072,63.7968,1.26
19500,0.389981,29.7101,0.0072,40.0456,1.22
20000,0.390717,42.8684,0.0071,49.6968,1.24
20500,0.385355,29.7414,0.0071,43.3092,1.23
21000,0.384725,25.1535,0.0071,36.9870,1.26
21500,0.384357,32.5831,0.0071,44.6532,1.24
22000,0.380624,30.7153,0.0071,42.6596,1.27
22500,0.382359,32.7903,0.0070,45.1346,1.24
23000,0.378627,32.7370,0.0070,45.0298,1.26
23500,0.381203,36.4546,0.0070,47.1571,1.27
24000,0.382254,31.7595,0.0070,42.5332,1.27
24500,0.378627,28.5851,0.0070,41.7188,1.25
25000,0.378417,28.6569,0.0070,44.7419,1.24
25500,0.378942,30.9908,0.0070,46.7891,1.25
26000,0.379205,64.6336,0.0069,64.0200,1.25
