batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.696489,356.0173,0.0075,312.2936,1.95
500,0.793892,95.0836,0.0075,69.9024,1.23
1000,0.673518,66.4934,0.0075,62.0166,1.22
1500,0.633042,61.0608,0.0075,57.7786,1.22
2000,0.615696,54.6947,0.0075,51.3051,1.25
2500,0.588310,115.3401,0.0075,80.9888,1.21
3000,0.579216,61.4493,0.0075,52.4823,1.22
3500,0.568650,47.9847,0.0075,45.1925,1.25
4000,0.562605,57.3048,0.0075,47.7360,1.23
4500,0.551882,47.1392,0.0075,41.2481,1.23
5000,0.548465,46.0565,0.0075,41.3996,1.26
5500,0.537374,54.9513,0.0075,43.7736,1.24
6000,0.533747,58.7432,0.0075,48.1659,1.26
6500,0.531802,51.5874,0.0075,42.5980,1.24
7000,0.527334,46.6447,0.0075,39.5770,1.25
7500,0.522130,105.7367,0.0075,60.0686,1.25
8000,0.522183,53.6266,0.0075,42.5668,1.28
8500,0.514771,51.6819,0.0075,41.5383,1.25
9000,0.513404,63.0446,0.0075,46.3041,1.24
9500,0.509882,46.0073,0.0075,40.9889,1.25
10000,0.508831,46.6840,0.0075,38.9749,1.25
10500,0.507201,45.3514,0.0075,40.2126,1.26
11000,0.498423,43.6918,0.0075,37.6195,1.24
11500,0.501735,42.4857,0.0075,38.5468,1.25
12000,0.495427,42.6939,0.0075,39.3081,1.23
12500,0.488698,42.7881,0.0075,37.0841,1.24
13000,0.489540,53.3232,0.0075,40.9904,1.27
13500,0.485124,38.2967,0.0075,37.1982,1.25
14000,0.481129,43.3752,0.0075,38.4253,1.26
14500,0.482128,38.2845,0.0074,36.5820,1.27
15000,0.476976,36.5468,0.0075,38.1532,1.26
15500,0.471037,42.3583,0.0074,39.6836,1.27
16000,0.469985,38.1648,0.0074,38.4303,1.27
16500,0.467147,45.3467,0.0074,42.0191,2.36
17000,0.465938,44.5741,0.0074,41.2482,1.27
17500,0.463625,51.6371,0.0074,45.4776,1.30
18000,0.463047,39.1965,0.0074,40.5757,1.25
18500,0.454268,42.1166,0.0074,41.8795,1.25
19000,0.455425,43.1743,0.0074,43.3954,1.23
19500,0.454531,37.9112,0.0074,38.4612,1.24
20000,0.451745,78.4921,0.0073,55.5975,1.26
20500,0.447225,35.1110,0.0073,39.3598,1.23
21000,0.446541,43.8385,0.0073,43.4458,1.24
21500,0.445280,39.3205,0.0073,40.1438,1.27
22000,0.444018,47.0758,0.0073,45.3562,1.30
