batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.674884,202.5817,0.0075,197.8429,2.12
0,1.704899,225.8145,0.0075,205.9466,2.06
500,0.599611,115.7166,0.0077,74.2146,1.32
1000,0.518923,50.1789,0.0090,29.8584,1.32
1500,0.497687,48.1937,0.0108,25.0019,1.30
2000,0.463520,77.8267,0.0126,27.7097,1.33
2500,0.432611,51.2408,0.0143,24.1126,1.36
3000,0.424937,33.1536,0.0160,18.9807,1.35
3500,0.418734,29.3495,0.0178,17.3930,1.34
4000,0.409851,31.3125,0.0196,20.3293,1.37
4500,0.408537,33.6669,0.0215,19.3446,1.33
5000,0.404699,30.0496,0.0234,21.5466,1.37
5500,0.400704,22.5959,0.0253,17.4077,1.39
6000,0.400074,24.7564,0.0274,18.5925,1.47
6500,0.392609,25.3369,0.0292,17.8610,1.36
7000,0.395553,19.2283,0.0315,17.6334,1.36
7500,0.396447,62.9497,0.0328,25.9218,1.41
8000,0.396499,20.9860,0.0350,16.7401,1.46
8500,0.392294,19.3270,0.0376,17.6828,1.40
9000,0.387984,22.8031,0.0397,15.9547,1.36
9500,0.392399,22.3329,0.0416,16.1964,1.38
10000,0.383778,21.1719,0.0437,17.2853,1.41
10500,0.385093,17.7883,0.0459,15.9862,1.39
11000,0.380519,22.8794,0.0484,16.7248,1.57
11500,0.384619,17.3729,0.0506,15.8583,1.38
12000,0.376787,17.9215,0.0526,16.1516,1.38
12500,0.372740,22.8449,0.0554,18.5217,1.37
13000,0.374685,15.1492,0.0578,14.8222,1.36
13500,0.371110,19.9830,0.0600,16.8902,1.38
14000,0.371268,14.1570,0.0620,14.1114,1.39
14500,0.365065,14.8025,0.0651,15.0570,1.32
15000,0.367799,19.6854,0.0673,16.5350,1.45
15500,0.371688,13.0316,0.0693,12.7296,1.42
16000,0.365486,16.5938,0.0721,14.0645,1.38
15000,0.369376,16.0091,0.0668,14.8961,2.07
15500,0.366905,13.1576,0.0696,13.6257,1.52
16000,0.364960,13.8779,0.0719,13.3632,1.30
16500,0.364382,17.6536,0.0746,15.6720,1.36
17000,0.363488,14.1510,0.0772,14.3183,1.36
17500,0.357338,18.8518,0.0800,15.4996,1.32
18000,0.355130,17.5676,0.0823,14.7126,1.38
18500,0.356655,26.4571,0.0840,17.4909,1.33
19000,0.358757,16.6243,0.0877,14.8659,1.36
19500,0.358862,14.4753,0.0902,13.5890,1.34
20000,0.355971,12.3524,0.0928,12.8492,1.36
20500,0.352344,11.3118,0.0962,13.1595,1.44
21000,0.350610,12.3961,0.0981,13.6657,1.33
21500,0.348823,11.9128,0.1008,13.5581,1.35
