batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.689392,183.7561,0.0075,175.4982,2.09
0,1.704058,208.8664,0.0075,164.1833,2.12
500,0.799727,95.4801,0.0075,71.6433,1.35
1000,0.673045,64.1565,0.0075,57.9614,1.43
1500,0.620322,54.5490,0.0075,48.2337,1.27
2000,0.587994,56.4435,0.0075,45.6008,1.32
2500,0.567021,52.7194,0.0076,37.6273,1.27
3000,0.546257,64.7446,0.0076,42.0347,1.86
3500,0.529489,51.3455,0.0076,38.0026,1.36
4000,0.521026,50.3236,0.0076,35.3407,1.30
4500,0.509462,42.6189,0.0076,33.1474,1.30
5000,0.500946,51.0627,0.0076,33.7484,1.36
5500,0.498844,43.8901,0.0077,32.9013,1.29
6000,0.496373,43.7983,0.0077,31.5377,1.31
6500,0.488541,62.9151,0.0077,38.6360,1.35
7000,0.486175,92.3225,0.0077,47.4541,1.30
7500,0.482180,45.4531,0.0077,32.2890,1.35
8000,0.477923,57.3851,0.0077,35.9224,1.31
8500,0.476608,41.7682,0.0077,32.0950,1.33
9000,0.475925,46.7811,0.0077,32.1120,1.30
9500,0.468146,44.5262,0.0077,33.5117,1.35
10000,0.465412,46.9054,0.0077,34.0829,1.65
10500,0.462416,50.2892,0.0077,34.4389,1.34
11000,0.461680,42.5662,0.0077,32.9548,1.31
11500,0.453848,38.3016,0.0077,31.5452,1.34
12000,0.451587,44.1795,0.0077,32.9036,1.35
12500,0.452902,36.9972,0.0077,31.1710,1.40
13000,0.448276,40.6672,0.0077,33.5381,1.32
13500,0.445963,38.2800,0.0077,32.3922,1.34
14000,0.446804,57.2412,0.0076,38.1985,1.35
14500,0.446331,36.2634,0.0076,32.6214,1.63
15000,0.440549,53.3575,0.0076,38.7707,1.34
15500,0.441285,35.6565,0.0076,32.4519,1.35
16000,0.438604,40.5556,0.0076,33.4706,1.44
16500,0.440549,39.7080,0.0076,34.2161,2.00
17000,0.439130,40.0049,0.0076,34.7553,1.38
17500,0.437290,87.8991,0.0076,45.6961,1.35
18000,0.438078,38.6444,0.0076,34.4849,1.28
18500,0.435240,40.9425,0.0075,34.2317,1.31
19000,0.434819,83.8731,0.0075,47.7353,1.33
19500,0.433978,42.7939,0.0075,37.9003,1.33
20000,0.433873,40.5961,0.0075,35.6028,1.31
20500,0.434083,34.4016,0.0075,32.4574,1.33
21000,0.433978,43.2866,0.0075,37.1718,1.33
21500,0.431087,42.7624,0.0075,38.0587,1.35
22000,0.431140,38.9468,0.0075,37.6766,1.32
22500,0.430561,51.7988,0.0075,39.1269,1.33
23000,0.430824,42.1553,0.0075,38.1896,1.34
23500,0.430982,37.3372,0.0075,35.0153,1.30
24000,0.430561,50.8027,0.0075,41.4402,1.39
24500,0.430614,33.8011,0.0075,32.7137,1.34
25000,0.427723,37.2004,0.0075,36.5508,1.37
25500,0.427460,37.2383,0.0074,33.4221,1.36
26000,0.428196,38.3743,0.0075,34.7840,1.31
26500,0.427723,38.9592,0.0075,35.5711,1.29
27000,0.427881,32.4267,0.0074,31.3343,1.37
27500,0.428459,38.4275,0.0074,36.3470,1.42
28000,0.427460,41.5106,0.0074,36.9788,1.34
28500,0.426987,45.3557,0.0074,39.8046,1.35
29000,0.428038,38.7533,0.0074,35.1116,1.34
29500,0.426934,37.1058,0.0074,36.9750,1.33
30000,0.426987,39.0765,0.0074,35.4489,1.37
