batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.679983,186.9234,0.0075,197.9152,2.35
500,0.688183,77.5833,0.0075,65.9780,1.89
1000,0.596930,76.3987,0.0076,56.9406,1.29
1500,0.547992,51.9897,0.0078,38.1021,1.47
2000,0.527649,104.0603,0.0079,50.9210,1.30
2500,0.498055,41.7604,0.0081,29.8375,1.30
3000,0.491064,42.8967,0.0082,30.7033,1.46
3500,0.466937,38.4882,0.0082,28.5313,1.31
4000,0.465254,46.3354,0.0083,33.4789,1.29
4500,0.447435,39.8416,0.0084,30.5656,1.29
5000,0.440917,39.7511,0.0084,32.7762,1.32
5500,0.427197,39.0071,0.0084,32.1505,1.31
6000,0.420101,33.6783,0.0084,30.1589,1.30
6500,0.416316,34.5305,0.0084,32.2694,1.29
7000,0.409798,35.6152,0.0084,32.8244,1.34
7500,0.406960,36.5006,0.0084,36.9118,1.31
8000,0.403911,31.9994,0.0084,33.5708,1.34
8500,0.397971,72.5077,0.0084,46.8017,1.34
9000,0.392977,33.5537,0.0085,35.4177,1.38
9500,0.387300,32.6952,0.0085,34.2645,1.31
10000,0.386354,33.5667,0.0085,36.2685,1.34
10500,0.386669,43.2755,0.0084,38.9565,1.39
11000,0.386617,28.6628,0.0085,36.4579,1.36
11500,0.382044,39.7897,0.0084,38.3856,1.72
12000,0.381833,28.9853,0.0085,35.2641,1.34
12500,0.381623,27.8891,0.0085,33.8313,1.34
13000,0.379415,30.5926,0.0085,38.5101,1.32
13500,0.377576,22.8843,0.0084,32.7222,1.35
14000,0.375315,35.6389,0.0085,40.8050,1.42
14500,0.375421,27.1683,0.0085,38.1965,1.36
15000,0.372214,23.0173,0.0085,33.5893,1.31
15500,0.372267,21.1355,0.0085,34.3969,1.35
16000,0.370164,27.6684,0.0084,36.9991,1.39
16500,0.371373,25.0115,0.0085,37.3209,2.03
17000,0.370690,24.1791,0.0084,35.1722,1.33
17500,0.369165,23.6273,0.0084,36.8065,1.31
18000,0.367956,25.7074,0.0084,36.2931,1.27
18500,0.369323,25.5853,0.0084,42.3986,1.30
19000,0.370217,24.0721,0.0084,36.7361,1.30
19500,0.367693,26.5620,0.0084,37.6807,1.30
20000,0.369638,27.1521,0.0083,39.8449,1.30
20500,0.367220,22.8101,0.0083,36.7446,1.33
21000,0.364907,21.1930,0.0083,33.7436,1.31
21500,0.365801,22.5194,0.0083,37.0745,1.41
22000,0.367115,24.8225,0.0082,38.6577,1.50
22500,0.366116,25.9078,0.0083,39.6232,1.33
23000,0.366537,52.7843,0.0082,49.4233,1.32
23500,0.366011,22.1911,0.0082,37.0005,1.33
24000,0.365118,19.9034,0.0082,34.3591,1.30
24500,0.363015,20.2960,0.0082,36.0768,1.34
25000,0.364487,18.4469,0.0082,34.8477,1.57
25500,0.365381,15.2910,0.0082,31.7254,1.32
26000,0.366747,20.3179,0.0082,34.9694,1.33
26500,0.364119,19.6870,0.0082,36.9672,1.34
27000,0.365486,24.3027,0.0082,40.5236,1.32
27500,0.362700,54.2815,0.0081,53.9906,1.38
28000,0.362857,15.2515,0.0082,32.1922,1.33
28500,0.364645,29.1468,0.0081,39.2021,1.33
29000,0.364382,20.1732,0.0081,37.5642,1.37
29500,0.362910,22.1002,0.0081,37.3420,1.34
30000,0.363383,18.4047,0.0082,39.1150,1.33
