rank,config_name,d_model,num_layers,nhead,d_ff,val_per,status,duration_min
1,transformer_256d_4L_8H_512ff,256,4,8,512,0.6102817493692179,cached,
2,transformer_512d_6L_4H_1024ff,512,6,4,1024,0.6103868797308662,cached,
3,transformer_256d_4L_4H_1024ff,256,4,4,1024,0.611490748528175,cached,
4,transformer_512d_4L_4H_1024ff,512,4,4,1024,0.6154331370899916,cached,
5,transformer_512d_4L_8H_2048ff,512,4,8,2048,0.6291000841042893,cached,
6,transformer_512d_6L_8H_2048ff,512,6,8,2048,0.6436606391925989,cached,
7,transformer_256d_6L_4H_512ff,256,6,4,512,0.6492851135407905,cached,
8,transformer_512d_4L_4H_2048ff,512,4,4,2048,0.6505992430613962,cached,
9,transformer_512d_4L_8H_1024ff,512,4,8,1024,0.6513351555929352,cached,
10,transformer_512d_6L_8H_1024ff,512,6,8,1024,0.6520185029436502,cached,
11,transformer_256d_4L_8H_1024ff,256,4,8,1024,0.6537005887300252,cached,
12,transformer_512d_6L_4H_2048ff,512,6,4,2048,0.6539634146341463,cached,
13,transformer_256d_6L_4H_1024ff,256,6,4,1024,0.6623738435660219,cached,
14,transformer_256d_6L_8H_512ff,256,6,8,512,0.6627943650126157,cached,
15,transformer_256d_4L_4H_512ff,256,4,4,512,0.6644764507989908,cached,
16,transformer_256d_6L_8H_1024ff,256,6,8,1024,0.6660534062237174,cached,
