batch,val_per,train_loss,reg_loss,grad_norm,wall_time_sec
0,1.703164,338.2356,0.0075,321.9602,1.90
200,0.842935,192.2952,0.0075,220.3535,1.11
400,0.743587,89.5908,0.0075,71.7530,1.11
600,0.675410,74.5021,0.0075,62.3552,1.10
800,0.632517,67.5013,0.0075,63.6078,1.11
1000,0.616011,62.6168,0.0075,56.8695,1.13
1200,0.604815,67.5529,0.0075,60.3081,1.16
1400,0.605078,121.4141,0.0075,81.2529,1.12
1600,0.603921,126.8494,0.0075,87.2146,1.10
1800,0.603028,56.6880,0.0075,55.6894,1.15
2000,0.601766,61.1849,0.0075,54.7600,1.13
2200,0.594354,130.3767,0.0075,86.7423,1.16
2400,0.592410,52.8685,0.0075,52.0396,1.14
2600,0.600242,54.1134,0.0075,50.7467,1.17
2800,0.591726,53.4673,0.0075,49.9755,1.13
3000,0.587101,114.5978,0.0075,75.4868,1.15
3200,0.577849,54.8722,0.0075,49.6786,1.89
3400,0.581371,59.5763,0.0075,52.1204,1.14
3600,0.580004,54.3993,0.0075,50.3011,1.18
3800,0.578059,119.2746,0.0075,76.5378,1.14
4000,0.576377,63.7879,0.0075,52.8475,1.18
4200,0.575536,56.1912,0.0075,48.9904,1.13
4400,0.575431,58.3774,0.0075,53.6225,1.45
4600,0.576640,68.5675,0.0075,55.9373,1.16
4800,0.575799,58.8903,0.0075,51.1420,1.16
5000,0.575221,55.7738,0.0075,52.3092,1.18
